"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R243TDLWGXW4P3","B00XQI135E","B00XQI135E","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"Jamie",5,"Convenient Starter Yields Flavor","Very pleased with results.Incubated the batch in a yogurt maker for eight hours, which achieved the amount of tangy and creamy taste I like. Good directions.",true
"R26G87QHDULCN9","B00XQI135E","B0772RY12N","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"L. Drees",2,"Didn't Really Work","It really did not work.I made the yogurt per directions and got milk that was somewhat thicker (like a runny custard) and had a tang of yogurt flavor.Was terribly disappointed and being as it was my first try making yogurt, I was afraid I didn't do something right.So, I did round 2, same sloppy stuff.Then I got a small cup of yogurt from the grocery and tried everything the same way, and bingo, I got yogurt (good yogurt too).I won't say it didn't culture (hence 2 stars), but it really didn't do anything near what it was supposed to.",true
"R1JXTTGW8BYI6U","B00XQI135E","B00XQI13EA","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"myopinion",5,"Best tasting!","I have used many types of cultures, and have found this to be the best tasting; no ""sour"" aftertaste.It is also reasonably priced.I couldn't get it for the longest time; I am not sure why, but am very pleased to see it is back.Love making my own yogurt with great flavors of fruits and natural vanilla over purchasing the sugar-laden yogurt in the markets.",true
"R36JQA4C9EGIVL","B00XQI135E","B0772RY12N","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"mmk",1,"No bueno yogurt","Needed 2 of the small envelopes to make not even a pint came out says 1 envelope will make a quart it's not true didnt like the way it came out with one so another was used and still not great I will throw the other envelope away also the size of envelopes is small like smaller than it looks yes it just $ 5 but spend a few more bucks and get another brand",true
"RSA2E1RKRSZQ3","B00XQI135E","B0772RY12N","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"Melody Martin",1,"This came clumpy and didn't work","I tried all three packets thinking I did something wrong...... all three attempts failed. Wasted milk, wasted money, wasted time.",true
"RLQSP78M27YI9","B00XQI135E","B0772RY12N","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"K",5,"Finally one that worked","This is the first culture to actually set for me. I tried several different brands/types. The first batch took about 8hrs, and each batch since takes about 3hrs to set. My results are using whole milk in an instant pot and at an altitude of just over 6,000' (I've heard that can alter setting times.) It tastes good, just a little bit of a tang which is perfect for us. Straining it produced a really thick yogurt with more of the tart tang, for those who prefer that.",true
"R31YVWUBILV74B","B00XQI135E","B0772RY12N","Reviewed in the United States on October 31, 2020","October 31, 2020",1604124000,"Templeladee",5,"A great choice","Love this because they say it works every time and is delicious. Can’t wait to try it.",true
"R1GN9O9JNZ8E1F","B00XQI135E","B00XQI13EA","Reviewed in the United States on October 19, 2020","October 19, 2020",1603087200,"L. Holcomb",1,"Did not work at all for making yogurt","I tried this twice and feel that I probably got an old or defective package. I followed the instructions both times and my yogurt was basically soup both times. I won't buy again.",true
"R2RJTUYJZRL1VW","B00XQI135E","B00XQI13EA","Reviewed in the United States on October 5, 2020","October 5, 2020",1601877600,"Todd Hopkins",5,"Great Product","Good product. Yogurt came out perfectly textured, with delicious creamy taste",true
"R1K0K9YLXRQZAF","B00XQI135E","B00XQI13EA","Reviewed in the United States on October 1, 2020","October 1, 2020",1601532000,"Amazon Customer",5,"Great yogurt culture","Added this to a quart of boiled then cooled to lukewarm milk. Put in slightly warmed oven with the light on overnight and it produced a beautiful thick yogurt.",true
