"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3T2W3DAT9S4LH","B00Z1DBP00","B00Z1DCI7O","Reviewed in the United States on April 24, 2018","April 24, 2018",1524549600,"LihaoMai",5,"Easy to use","Delicious! Easy to use",true
"R2VGSLG1GBDJT9","B00Z1DBP00","B00Z1DBP00","Reviewed in the United States on February 4, 2018","February 4, 2018",1517727600,"Francine Brosens",5,"Five Stars","the yogurt is excellent....it's too bad , the price is getting exorbitant........",true
"R2MLYN4E6ZNNVH","B00Z1DBP00","B010XJ02NM","Reviewed in the United States on August 29, 2017","August 29, 2017",1503986400,"Wendy",5,"Best made with filtered water","We love EasiYo.Thank you.",true
"R6ON54THROH08","B00Z1DBP00","B00Z1DBP00","Reviewed in the United States on August 8, 2017","August 8, 2017",1502172000,"Hondaaloha",5,"Easy EasiYo Yogurt","Sime and easy to make great tasting yogurt.",true
"R3C5R4OA1VQEMF","B00Z1DBP00","B00PHYEQ9U","Reviewed in the United States on August 8, 2017","August 8, 2017",1502172000,"Robin Hadden",3,"OK substitute.","I originally signed up to receive deliveries of the whole milk yogurt packets. This product was discontinued so I had to choose a replacement. The low-fat version is OK, but I prefer the taste and texture of the whole milk version. If it becomes available again, I would switch back.",true
"R2XSE4HR52Y01Q","B00Z1DBP00","B00PHYESQ6","Reviewed in the United States on April 30, 2017","April 30, 2017",1493532000,"Deena K. Hardie",5,"Five Stars","Best tasting yogurt ever!",true
"R3RP2HBBCCCBW3","B00Z1DBP00","B010XJ01EM","Reviewed in the United States on February 12, 2017","February 12, 2017",1486882800,"eileen ciemniecki",5,"Great but pricey","It's great tasting. The only issue I have is how expensive it is. Of course knew the price before I purchased but really have no choices so if you like you gotta pay. Just wish there was discounts or specials or something to help with the cost",true
"R3M7BYGVH03IPS","B00Z1DBP00","B00PHYEQ9U","Reviewed in the United States on February 6, 2017","February 6, 2017",1486364400,"treysgma",5,"Five Stars","Best price buying 8.",true
"R54PNM91G04L9","B00Z1DBP00","B00Z1DBP00","Reviewed in the United States on February 1, 2017","February 1, 2017",1485932400,"JC",1,"This is almost as bad as sending sour yogurt","Unfortunately, they lost my business. I was a monthly subscriber until the last two months I received packs that were expiring the same month, or the next. This is almost as bad as sending sour yogurt. Appears I am not the only one based on reviews.",true
"R17D4FTCC4NI9D","B00Z1DBP00","B00PHYESQ6","Reviewed in the United States on January 14, 2017","January 14, 2017",1484377200,"Customer",5,"Excellent","The best yogurt available",true
"RBGOAK2KVEAF4","B00Z1DBP00","B00Z1DBPPA","Reviewed in the United States on January 10, 2017","January 10, 2017",1484031600,"Margo R.",5,"Five Stars","Love it",true
"RTC6ER9RV32PU","B00Z1DBP00","B00Z1DBPNM","Reviewed in the United States on December 28, 2016","December 28, 2016",1482908400,"t c wilke",1,"Disappointed","Either the mix isn't working or the maker isn't working - I am sooooo unhappy with the whole thing. My first few experiences were perfect and I was sold - then poof nothing worked!",true
"R19B8CB7DQOHF7","B00Z1DBP00","B00Z1DCI7O","Reviewed in the United States on December 28, 2016","December 28, 2016",1482908400,"c",5,"Five Stars","Releases more water that other flavors but it is DELICIOUS !",true
"R3LDK8CCO11NIF","B00Z1DBP00","B010XJ02NM","Reviewed in the United States on December 18, 2016","December 18, 2016",1482044400,"J. Norman",4,"Great products.","Yummy and still tart! Great products.",true
"R2ANXY65PZUF5V","B00Z1DBP00","B00PHYESQ6","Reviewed in the United States on November 2, 2016","November 2, 2016",1478066400,"Anitaeva",5,"So easy and taste great","Shake up the mix, boil some water; and I have yogurt in the morning.Just great!",true
"R36O4IVHDZPDUZ","B00Z1DBP00","","Reviewed in the United States on September 27, 2016","September 27, 2016",1474956000,"Dr. Marilyn Manning",5,"Five Stars","Very good.",true
"R1MUAQMDNWAZ3X","B00Z1DBP00","","Reviewed in the United States on September 5, 2016","September 5, 2016",1473055200,"Kfrost6361@aol.com",5,"Five Stars","Easy to make and delicious to eat. Healthy, too!",true
"R18OC1PCO0ZSWB","B00Z1DBP00","B00PHYESQ6","Reviewed in the United States on August 16, 2016","August 16, 2016",1471327200,"Melissa Roscoe",5,"Delicious and easy!","Truly the best Greek yougart we have ever eaten. Very easy to make in the EasiYo maker. I would highly recommend for those looking for a healthier lifestyle.",true
"RXNDIDYLBHCCC","B00Z1DBP00","","Reviewed in the United States on August 15, 2016","August 15, 2016",1471240800,"Auntie Patti",5,"Yum.","Best yogurt ever. Hard to find, so I appreciate the fast delivery. Will order again.",true
"R2QZL06I693XS3","B00Z1DBP00","","Reviewed in the United States on August 5, 2016","August 5, 2016",1470376800,"D. Smith",5,"Smooth and tasty","Smooth and tasty. Easy to make.",true
