"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2WH39HKGZVP8J","B010KZZZAE","","Reviewed in the United States on January 6, 2021","January 6, 2021",1609916400,"Marine C",3,"Expensive yogurt that taste exactly the same like “adult” yogurt","SummaryIt taste exactly the same as normal yogurt. I don’t understand what make it a “baby” yogurt?Pros1. It taste like yogurt.Cons1. It is expensive like all baby products, except there is nothing special about how to make it “baby”",true
"R11BP88V28AV6H","B010KZZZAE","","Reviewed in the United States on December 19, 2020","December 19, 2020",1608361200,"Amazon Customer",5,"Best and only individually portioned plain yogurt for kids","This is the only plain yogurt I've found that's individually packed for babies/kids. I can always add fresh fruit to plain yogurt so I never purchase sweetened yogurt. This has been our go to kids yogurt for years. Usually I can only find it at Whole Foods.",true
"R2AKBVUQS6JGUV","B010KZZZAE","","Reviewed in the United States on December 16, 2020","December 16, 2020",1608102000,"Amazon Customer",5,"Best","The Only yogurt my toddler boy willing to eat",true
"R1XF0K0P0BS390","B010KZZZAE","","Reviewed in the United States on November 23, 2020","November 23, 2020",1606114800,"yu ye",5,"My baby really like it","Pretty good flavor.",true
"R8UK7OZB6MOI1","B010KZZZAE","","Reviewed in the United States on November 5, 2020","November 5, 2020",1604559600,"Maria_89",5,"Freshed and delicious flavor baby girl loved the","My friend looked for this yogurts everywhere I was lucky to find them and order for her they arrived so fast hours after it was order and fresh!!! Her baby girl loved them 😋😋",true
"RXAC4W3Z7TZOP","B010KZZZAE","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"Frank",5,"Not much sugar","Other yogurt likely have lots of sugar in it, this one is more plain and have the original flavor of yogurt, not artificial taste.",true
"R3UPUVFMLH1KES","B010KZZZAE","","Reviewed in the United States on July 2, 2020","July 2, 2020",1593669600,"Winnie Edlin",4,"My baby doesn’t like it","I know that it is no sugar and healthy for my baby, but she doesn’t like it.",true
"R3UO7J6KEQGH6W","B010KZZZAE","","Reviewed in the United States on June 11, 2020","June 11, 2020",1591855200,"wiem",4,"My kids favourite-Organic","Tasty but pricey",true
"R3NPAV9481RO3Z","B010KZZZAE","","Reviewed in the United States on December 7, 2019","December 7, 2019",1575702000,"Jason C.",3,"Plain simple and tasty","My baby loves it",true
"R2VL7VB8SSNWYR","B010KZZZAE","","Reviewed in the United States on January 24, 2019","January 24, 2019",1548313200,"JGReviews",4,"My 1 year old likes it","My son likes this yogurt and it's one of his favorite foods. He's really picky, so it's great that he will almost always eat this healthy yogurt.",true
"R19ESMA964QRR3","B010KZZZAE","","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"JL",2,"nope","my baby dont like these",true
"R2YUEG9RJ14TL","B010KZZZAE","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Nana",5,"Best quality for baby introduction to solid food 👌","My son loves this plain yogurt. I like its quality, good for me to make a homemade yogurt for my baby with the level of sugar that suits him.",true
"R2GGFJMP3QH0HQ","B010KZZZAE","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Brandie Davis-White aka My Urban Books",5,"What I needed","What I needed",true
"R1O46VO060MNOS","B010KZZZAE","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Johanne",5,"Creamy goodness","Child like it it is a win, the thickness is just right for a baby",true
"RW5D2FCYMKQ9Z","B010KZZZAE","","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"Alpinestarninja",5,"Amazing!!!","I love the plain yoghurt; the fruit ones have so much added sugar! It's better to add fresh fruits to this yoghurt!",true
"R1RKHTSLREACI","B010KZZZAE","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"NO NAME THIS TIME",5,"My six month old loves it","My six month old loves it. No sugar is always good",true
"R2KHOKJXG0XTEU","B010KZZZAE","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Natalia",4,"Not for my baby","My baby didn’t like it",true
"R3T6CZ6OQAEPEU","B010KZZZAE","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Allen",5,"Allen","My kids love it, I have a 6 years old and a 10 months, they both love the yogurt.",true
"R1OFLTBKEX56OK","B010KZZZAE","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Singa",1,"Refund.","Delivered opened. And I ask refund.",true
"R390CFGP6TX19D","B010KZZZAE","","Reviewed in the United States on January 22, 2021","January 22, 2021",1611298800,"Sail",5,"Good quality product","Pain Yogurt & Good quality. Don’t find these in other stores except Whole Foods.",false
