"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2LKAAFLOQKH13","B011YJQBRG","","Reviewed in the United States on August 13, 2021","August 13, 2021",1628834400,"Janice",2,"Too liquidy.Almost like Kefir.","This is very watery and almost like kefir.It tastes ok but I want greek yogurt, not kefir.",true
"R1SV40NXRTHRY2","B011YJQBRG","","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Sue Ellen",5,"Best Yogurt I know.","Some people know how to make ""Really Good"" food.",true
"R36O6KO6Z5WEL9","B011YJQBRG","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Kim Quinn",5,"Best yogurt","Best yogurt ever!No after taste!Creamy and low in sugar",true
"R3QVKMW3ZQU9EJ","B011YJQBRG","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Anissa",1,"Money in the garbage!","Disgusting nobody liked it",true
"R24ECI8EUZ26KQ","B011YJQBRG","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"vicki andrew",1,"Gritty Texture","Not a smooth creamy texture like I am use to and prefer, had a gritty feel to it.Also no real fruit / berry flavor.Will NOT be buying again",true
"R2FFXNXG3JYV9I","B011YJQBRG","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Jeannie Duncan",5,"Yummy","Yummy",true
"R1WW45LU88F98L","B011YJQBRG","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Amazon Customer",4,"Healthy and delicious berry flavor","- Purchased the berry flavor- Lower sugar makes it sweet but not too sweet- will buy again",true
"RAW0RU8C44O54","B011YJQBRG","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"als.josh",3,"tried it","once was enough",true
"RCFRD8OIJVZST","B011YJQBRG","","Reviewed in the United States on December 5, 2020","December 5, 2020",1607151600,"Francesca",5,"Best Yoghurt - not candy bar in a cup","This is my favorite yoghurt brand hands down. Healthy. Not too sweet, not too tart. Creamy and mild flavoring. Ipreferwhole milk version but they have nice plant based version and also double cream version. Haven’t tried low fat versions.",true
"R3U2FW2I1TLAJH","B011YJQBRG","","Reviewed in the United States on November 28, 2020","November 28, 2020",1606546800,"Adrienne",2,"Liberte is more of my cup of yogurt","I like Liberte yogurt but I wanted to find a replacement because they were so impinge on the fruit at the bottom. I wanted a whole milk yogurt so I tried this. I know it says less sugar but there isn't enough. There's not enough of the berry flavor either. It's very light and bland. I will pass on this brand.",true
"R20PE1NSZ52AU9","B011YJQBRG","","Reviewed in the United States on April 30, 2020","April 30, 2020",1588226400,"Thoughty",5,"Delicious","My fav yogurts, nicely balanced flavor and macronutrients.",true
"R2ZW9KBPGSF0E7","B011YJQBRG","","Reviewed in the United States on April 19, 2020","April 19, 2020",1587276000,"Jenny Gallligan",5,"Amazing","My favorite.. So yummy",true
"R1EUUOU1MH4P43","B011YJQBRG","","Reviewed in the United States on March 20, 2020","March 20, 2020",1584684000,"resonator3",5,"Low Sugar and delicious","Low Sugar and delicious!",true
"R1VTGUNIRSI6UK","B011YJQBRG","","Reviewed in the United States on February 18, 2020","February 18, 2020",1582009200,"Joseph T Klein",5,"Good taste.","Great.",true
"R3AVPFXM8WLDKV","B011YJQBRG","","Reviewed in the United States on September 28, 2019","September 28, 2019",1569650400,"Kaylyn",5,"The best yogurt I have had outside of Europe","Smooth, thick, fruity and flavorful.Not grainy like most Greek versions and not overly sweet like mass market yogurt.I am buying more yogurt than ever before.It is THAT good.",true
"R1RMBP4R4CVIIO","B011YJQBRG","","Reviewed in the United States on February 2, 2019","February 2, 2019",1549090800,"ariana",5,"Amazing taste and quality yogurt","I love Siggi’s, especially flavors like these available at reasonable prices through AmazonFresh. This really is the promise of large-scale, clean eating on a budget. Siggi’s seems to be one of the more ethical brands in the sea of yogurt companies.",true
"R19NZWIMG6NJ8I","B011YJQBRG","","Reviewed in the United States on May 21, 2018","May 21, 2018",1526882400,"Oleg",5,"Five Stars","great yogurt",true
"R2CE5CAE496EXL","B011YJQBRG","","Reviewed in the United States on May 15, 2018","May 15, 2018",1526364000,"MAURA",5,"Great quality and flavor. Not super sweet! Thick texture. Filling.","Great quality and flavor. Not super sweet! Thick texture. Filling.",true
"R2852CGV0V7UBL","B011YJQBRG","","Reviewed in the United States on March 6, 2018","March 6, 2018",1520319600,"Ellie",5,"fairly low sugar and great taste. Hesitate to say anything more because it ...","High protein, fairly low sugar and great taste. Hesitate to say anything more because it may sell out and I won't be able to buy it through Fresh.",true
"R1ATFMZ9K0EPXR","B011YJQBRG","","Reviewed in the United States on November 18, 2017","November 18, 2017",1510988400,"Christy L. Gomez",5,"Best yogurt ever.","Siggi's is my favorite yogurt.It has a great consistency and tastes delicious.I add berries and a 1/2 perfect bar to mine, and it's the best snack :)",true
