"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RGMM1MBQWGOCP","B012PNMB7O","","Reviewed in the United States on June 6, 2021","June 6, 2021",1622959200,"Beachgal",1,"Failed 4 times","I was not happy at all with this. I never got any four to work. I used unsweetened almond almond milk with one packet, 2 times and it failed both times,I tried it with soy milk and it was liquid yogurt and the 4th I tried with coconut milk and it was smelly milk.I was told this would work in my instant pot and it failed. I’m annoyed and I wasted money, and I can’t return. Not a happy buyer.",true
"R3P0N7H1P4Q51","B012PNMB7O","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Jenn",1,"Turned light pink (mold).","Turned light pink (mold). I sanitized everything in the dishwasher (everything used was stainless steel) but who knows what might of contaminated it or if it came contaminated!? Will try a second round using store bought yogurt and soy milk and see if I get the same pink. If I don't then will try one more round with the CulturesForHealth starter culture.If it works the 2nd time with the CulturesForHealth starter culture. I will update my review and star rating.",true
"R10FUX9HX1OMQ9","B012PNMB7O","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"LD",1,"No success","I have tried two batches of yogurt and have not had success. I am thinking the cultures are dead. I make yogurt all of the time - just thought I would try a different product.",true
"R36RN6E9VN89FZ","B012PNMB7O","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Ramesh Ramsaran",1,"poor quality","The culture sent to meseems to have expired. It seemed to have no life. Wasted my other ingredients",true
"R22CM9S975CGES","B012PNMB7O","","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Hillary Fenner",1,"Didn t work for me!","Product never worked for me. Could have been my yogurt maker or the milk substitutes I used.But I tried different types of alternative milks and vegan gelatine but nothing K tried worked",true
"R82M4RMLYE9XK","B012PNMB7O","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Ingrid Lyhs",5,"very good","very good item, safe and fast delivery. I am very happy! Thanks a lot.",true
"R87RXE46AIAI5","B012PNMB7O","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Rebecca",1,"Huge waste","Didn't work at all. I just ended up wasting a bunch of ""milk"" on it..",true
"RYH3O8KROCHUK","B012PNMB7O","","Reviewed in the United States on May 19, 2021","May 19, 2021",1621404000,"k44993",2,"takes time to find right ingredients","i have not made any vegan yogurt, takes time to find the right ingredients. This is such a hassle.",true
"R2DE9RK1C2H02J","B012PNMB7O","","Reviewed in the United States on May 17, 2021","May 17, 2021",1621231200,"Nancy L. Baksa",5,"My coconut yogurt was a success!","It worked as expected, but it's very costly for what you get.I am going to use probiotic capsules next time.",true
"R1GNPK1FE54VJE","B012PNMB7O","","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"pdmel007",1,"This is NOT everything you need to start","The package says it's everything you need in order to make yogurt (plus milk). Not true. I followed the instructions in the package, but my yogurt came out extremely liquid and didn't thicken at all. On page 3 of the instructions, as a ""Pro Tip"" it says that you need some other calcium stuff if you want it to thicken.",true
"R2RVDDKRHJM9QD","B012PNMB7O","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Rebekah Barakos-Cartwright",1,"Bad yogurt starter culture","Twice I attempted two separate times with this order of vegan yogurt starter culture and both times the yogurt was bad smelling and did not thicken as it normally does. The starter smells like baking yeast.Awful.",true
"R15D6TMX32V0W6","B012PNMB7O","","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"Megan Hurley",3,"Doesn’t work for alternative milks","I bought 2 packages of this. After attempting 4 batches that all turned out runny I gave up. I followed the directions and watched the video.Much more difficult to work with than the ones created for cows milk.I couldn’t get it to set.I used to make yogurt frequently in my yogurt maker with whole milk, but with dairy intolerance I needed to stop eating that. I miss good, homemade yogurt.",true
"R1H12WZ6KCNI0F","B012PNMB7O","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"suzanne",3,"Not good","After 10 hours nothing trying second packet an it is a yogurt maker so I did everything right thermometertempiture check an no results with almond milk",true
"R2DC3S10220YLH","B012PNMB7O","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"GUN GUY",5,"easy","like it. not messy to use. i don't get to the store much and i do like yogurt. so i tried this and now i just placed an order for more.",true
"R1XIOK25W3I2M9","B012PNMB7O","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Mona Sam",1,"Too expensive for its size & Non-returnable","It is too small for the price we pay. And when I tried to return it, they said it’s non-returnable. I have no choice now but to use it.",true
"R2DBBUVHP29L1A","B012PNMB7O","","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"amy reilly",1,"No good","Did not work at all.",true
"R34W2M458EKG2A","B012PNMB7O","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Amazon Customer",1,"Mala compra","No es lo que esperaba...y ni siquiera puedo devolverlo....no lo compro mas",false
"R2J22AQ1EKYUAF","B012PNMB7O","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Blessed",5,"Great!","This culture works awesome with soy milk… Edens soy milk that has no other fillers in it. Makes delicious yogurt",true
"R16DTJPWSUM951","B012PNMB7O","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"T Tuccelli",1,"Spoiled culture","First time user and used starter culture to culture yogurt.Ruined a batch and read the starter culture should be white.Each envelop was brown and sticky.Sell by date 3/2022.Very disappointed.",true
