"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2ZOBRRSX45OLZ","B014BCGFBK","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Ann Hyland",5,"YUM Peach Mango vegan yogurt","YUM Peach Mango vegan yogurt, great for hot summer days and quick grab meals for on the go people like myself.",true
"R32LB8RU71LCWI","B014BCGFBK","","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"The wig Connoisseur",5,"It’s Good for yogurt that’s vegan friendly","It’s a good tasting vegan yogurt but the temper needs to be kept stable while it’s being delivered",false
"RZEMXE5RQUA8J","B014BCGFBK","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Azita Azadi",5,"Too expensive","Too expensive",true
"R220W3EC738D83","B014BCGFBK","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Penny",1,"Gross! Give me the unhealthy stuff please.","I tried eating a little healthier. Products like this yogurt has ruined healthy eating for me. Its one of those “you’ll get use to it” things. I’m to old to waste time getting use to anything. LOL.The texture was off, the flavor wasn’t there, I can’t really say anything nice. I felt like I was eating lotion.",false
"R2YHWDN47N4WXY","B014BCGFBK","","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"jayn meinhardt",5,"Vegan and WOW","Love all the Silk products. No animals harmed and so yummy. We eat these frozen. Sooo good.",true
"RWXIVEQRR3163","B014BCGFBK","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"iceman shabazz",5,"Shockingly delicious!!","Excellent fruit flavor with an excellent creamy texture... Easily one of if not the best vegan yogurt I've ever tasted. Highly recommended just for the delicious taste even to omnivores",true
"R2ULX045RCK4JI","B014BCGFBK","","Reviewed in the United States on May 1, 2021","May 1, 2021",1619848800,"Sakura Castiel OGrady-Elliott",1,"Non dairy yogurt","Gross!! No taste!! Not filling!!",true
"R29A91BGHPXQTA","B014BCGFBK","","Reviewed in the United States on April 15, 2021","April 15, 2021",1618466400,"amazonshopper",5,"So good it taste like it has dairy.","Taste great not like most gross dairy free yogurts. I like it better than most yogurts.",true
"R2KB1E3NC8AZ9Q","B014BCGFBK","","Reviewed in the United States on March 20, 2021","March 20, 2021",1616220000,"Maria ",5,"Great flavor!","Now that cannot eat dairy I do enjoy the Silk soy yogurts! Especially the Peach-Mango!",true
"RELFJRXKWHWUQ","B014BCGFBK","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Upset Anna",5,"Love it","Love it",true
"R3MLW2UUHDIUP9","B014BCGFBK","","Reviewed in the United States on January 12, 2021","January 12, 2021",1610434800,"Ivy Hill",5,"Dairy Free Yogurt","My favorite dairy free yogurt!",true
"RY2UIQEM6N1YG","B014BCGFBK","","Reviewed in the United States on November 15, 2020","November 15, 2020",1605423600,"Linda Eckert",5,"Delicious vegan","This yogurt is so delicious I immediately ordered more. I highly recommend",true
"RH27JTC7HIO7L","B014BCGFBK","","Reviewed in the United States on August 24, 2020","August 24, 2020",1598248800,"Amazon is Amazin",5,"New to the almond milk yogurts","this pleasantly surprised me, very good taste and a good alternative if you are lactose intolerant.",true
"RY8NG5S4N6NX5","B014BCGFBK","","Reviewed in the United States on June 27, 2020","June 27, 2020",1593237600,"Mala",5,"Always delicious","Staple in our fridge",true
"R2B3UZXL9EMA0Q","B014BCGFBK","","Reviewed in the United States on February 20, 2020","February 20, 2020",1582182000,"Domini Bon Giovanni",5,"The best brand I've tried, and I've tried a lot!!","The best non dairy yoghurt I've ever had.I only wish that there were larger, family style containers available so it wouldn't be quite as pricey.",true
"RO9UFDR1KF2VF","B014BCGFBK","","Reviewed in the United States on February 5, 2020","February 5, 2020",1580886000,"Koey",5,"Yum","These are the best non dairy yogurts",true
"R13D733IIM267E","B014BCGFBK","","Reviewed in the United States on January 12, 2020","January 12, 2020",1578812400,"Ashleigh",5,"The best vegan yogurt!","Infant, toddler, and partner approved. Delicious.",true
"R1LMXLIAS58KM","B014BCGFBK","","Reviewed in the United States on January 12, 2020","January 12, 2020",1578812400,"Knowlengr",3,"Tastes Great, but Too Much Sugar","Very tasty, and happy to see this in the Amazon Store offerings, but there's it's too sweet.Purchasing in a larger container would better suit our home (not office lunch bag) purposes.",true
"RI5HNMSAL7LYS","B014BCGFBK","","Reviewed in the United States on December 24, 2019","December 24, 2019",1577170800,"DisneyDenizen",5,"THE BEST NON-DAIRY YOGURT OUT THERE - GLUTEN FREE","Purchased through Amazon Fresh. Good product. Lowest price I've encountered anywhere.We LOVE Silk Soy Yogurt, especially the strawberry and peach flavors. We have tried a LOT of non-dairy yogurts. These are the best.",true
"R3W1VRAWEWLKV7","B014BCGFBK","","Reviewed in the United States on December 15, 2019","December 15, 2019",1576393200,"Carrie Sue",2,"Not quite","This is pretty tangy and has a different lingering aftertaste. It definitely wasn’t for me. I’ve had regular yogurt, sunflower, coconut and Greek Yogurts but this doesn’t even come close in flavor to any other non dairy substitutes I’ve tried or the real thing.",true
