"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RQN951ARCHOKU","B014BCGGPK","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Azita Azadi",5,"Love My Yogurt","Live it. Whish it was less expensive.Great taste and texture.",true
"R14NOB8GHRJE49","B014BCGGPK","","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"Marlena",5,"Absolutely perfect for a person with milk allergies. Product was delicious!","The flavor is rich and has a smooth texture just like yogurt made with milk. I prefer this over more sugary yogurt. I’ve bought them again and again from this seller. Awesome seller and quick ship. Product exactly as advertised!",false
"R2T7BNA9CC2T7G","B014BCGGPK","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"SF",1,"Weird flavor, not a fan","It tasted like playdoh to me. Maybe I'm just not a fan of the Silk brand. It was better with some flax seed mixed it, because that completely disguised the flavor and changed the texture so I could get through it.",true
"R2DVF60FD522DO","B014BCGGPK","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Sonya Hopkins",5,"Yummy dairy-free option!","Yummy!!! One of few dairy-free options I like.",true
"R3R86PJVOLY5DB","B014BCGGPK","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"M Rod",4,"I love it","I love the flavor and the thickness. It's delicious.",true
"R2VY0RTXTFV46G","B014BCGGPK","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"Tina",5,"Great","Great",true
"R2L6IJP5GQHSX4","B014BCGGPK","","Reviewed in the United States on January 29, 2021","January 29, 2021",1611903600,"beechwoodmanor",5,"delicious","this tastes great and is a healthy quick snack.if you are lactose intolerant its a great alternative to yogurt.",true
"R2LKGMJUGNOYVR","B014BCGGPK","","Reviewed in the United States on January 27, 2021","January 27, 2021",1611730800,"Jasmine",5,"Vegan Dream","Vegan that tastes great, refresh’s n light",true
"R1O5CPGDV9S19A","B014BCGGPK","","Reviewed in the United States on December 21, 2020","December 21, 2020",1608534000,"Gabriela Castillo",5,"Just like the real thing","Amazing flavor. Taste just like regular yogurt.",true
"R32NZ98Z8MCF7","B014BCGGPK","","Reviewed in the United States on November 18, 2020","November 18, 2020",1605682800,"Maritza",5,"Great flavor","Best yogurt",true
"R2XW4R8S22Q4V3","B014BCGGPK","","Reviewed in the United States on August 25, 2020","August 25, 2020",1598335200,"Kindle Customer",1,"Baby formula","Too watery and tastes like baby formula with a hint of strawberry.",true
"R154KBELE9H3ZO","B014BCGGPK","","Reviewed in the United States on August 3, 2020","August 3, 2020",1596434400,"Lina",5,"Great taste and texture!","Vegan yogurt, could be tricky.Silk make it very easy to switch from dairy.My kids absolutely love it.",true
"R1YLN4VJH1W033","B014BCGGPK","","Reviewed in the United States on June 14, 2020","June 14, 2020",1592114400,"K. Dahl",5,"Great flavor, great consistency","I am vegan, but I miss yogurt. This stuff is amazing. I mix it with my granola or grapenuts. Great flavor, great consistency. Sometimes my non-vegan kids steal it!!",true
"R2DPDGQ1PFK9QY","B014BCGGPK","","Reviewed in the United States on May 17, 2020","May 17, 2020",1589695200,"Las Vegas Lawyer",5,"The best non dairy yogurt","So non dairy yogurts are tricky-either plain weird and just not tasting like yogurt at all, or having a funky smell, or if they are not that bad tasting, they have 30g of sugar per serving and then you better go eat cake and dont bother with the yogurt. This one to me is the golden middle - tastes like yogurt, not too sweet, fresh and the strawberry taste is nice and not artificial",true
"R34DRMS18M45Y7","B014BCGGPK","","Reviewed in the United States on December 24, 2019","December 24, 2019",1577170800,"DisneyDenizen",5,"THE BEST NON-DAIRY YOGURT OUT THERE","Purchased through Amazon Fresh. Good product. Lowest price I've encountered anywhere.We LOVE Silk Soy Yogurt, especially the strawberry and peach flavors. We have tried a LOT of non-dairy yogurts. These are the best.",true
"R3QT2Y4TX0305L","B014BCGGPK","","Reviewed in the United States on December 21, 2019","December 21, 2019",1576911600,"Knowlengr",3,"Good flavor, but enough sugar for a gallon of yogurt","It's a good flavor, but there's not enough strawberry flavoring and too much sugar taste -- 13g in fact - yikes.Sugar is fine, but less of it would be be good -- short of resorting to artificial sugar.We prefer to buy a large container of it ... Have not fully searched for it, but",true
"R2O8YGXAQS6CM0","B014BCGGPK","","Reviewed in the United States on January 7, 2019","January 7, 2019",1546844400,"T. P.",5,"Great taste!","Doesn’t take like regular yogurt to me, but in a good way. No lactose based stomachs aches!",true
