"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R25XSUS2Q3Z2TJ","B016KGWAA0","B016KGWAA0","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Brooke L McLymond",3,"Cheaper to buy single cans at Walmart","I love these drinks and was excited to see they came in a 12 pack on Amazon!They sell them at Walmart in single cans but often are sold out or only have a few.Problem is, it's cheaper to buy individual cans at Walmart, even if you get the 5% off with subscribe and save.It leaves me scratching my head that I can't find these anywhere in a 12 pack for less than buying them individually at Walmart.",true
"RXHTGX9QGD3K3","B016KGWAA0","B073HBKSWX","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Sean McGuigan ",1,"Not impressed","I bought these thinking it was a 12 pack and how disappointed I was when I received the order. However, I immediately put them in the fridge to enjoy later. I love coconut so I was excited to try this brand but was super turned off by the watery flavor that did not taste like coconut at all. I drank two and let my husband drink the rest. I will never buy again or recommend to anyone else. The price is too steep, the cans way too small and the taste not special enough.",true
"R26TVAP77GOG8F","B016KGWAA0","B016KGW4JW","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Amazon Customer",4,"Great product","Great stuff.Love this",true
"R35DJUG61K8S6","B016KGWAA0","B016KGW4JW","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Debbie Cook",5,"Would like to buy again, just too expensive being on disability","Would like to see chocolate peanut butter",true
"R365L62K2Z6HAL","B016KGWAA0","B016KGW3C0","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"Will63",5,"good taste","I enjoy the taste.It has 20grams of protein.It is good for a boostafter exercising.",true
"R30CFHEG7YGLQF","B016KGWAA0","B073HDHC8Q","Reviewed in the United States on May 30, 2021","May 30, 2021",1622354400,"nutsmunkey2000",3,"Good protein but bad taste","These have me the protein boost I was looking for but unfortunately they tasted like 2 month old milk mixed with mouthwash. Maybe others liked the flavor but it just wasn’t for me. I found myself having to hold my nose and just chug them down otherwise I would never have finished them.",true
"R2XI9OVYHO7WT0","B016KGWAA0","B016KGWAA0","Reviewed in the United States on May 29, 2021","May 29, 2021",1622268000,"Danestee Porter",5,"Yum!!","I absolutely love this drink. You get coffee, protein, and good flavor!",true
"R15NLHHPM4ZC9J","B016KGWAA0","B016KGWAA0","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Mary",5,"Love this product","It’s expensive but so good!",true
"R2BRGVTZQ45IHD","B016KGWAA0","B073HBKSWX","Reviewed in the United States on May 19, 2021","May 19, 2021",1621404000,"Mary",5,"Excellent","Very tasty",true
"R1U51ES97G8NRN","B016KGWAA0","B016KGW4JW","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"J. Florida",5,"Great protein shake!","This protein shake is tasty and fills me up so l don’t feel hungry!Great product!!",true
"R2MDINJF51M9IY","B016KGWAA0","B073H8X9WP","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Lindsay M.",5,"Shockingly good","I went into trying these protein shakes with a healthy amount of skepticism -- low carb, chocolate, AND 20g of protein?Seems way too good to be true, and so many shakes I've tried in the past have had weird textures, cloyingly sweet flavoring, or hidden sugars.NOT these.The texture is creamy, the chocolate amount just perfect, and they really are what they say.I was so surprised how much I enjoyed drinking these.The packaging is just the right size to fill you up and not leave you hungry in an hour, if you are using this as a meal replacement or after-workout meal.I honestly can't say enough good things about this shake.I can honestly say they are the best protein shakes out there that I have tried, and I have tried a lot.5/5 stars, highly recommend!",false
"RU4M8KWE15CNI","B016KGWAA0","B073H8X9WP","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"DM",5,"My favorite protein drink","I find most protein chocolate drinks very sweet but this drink is perfect!I haven’t tried the other flavors but love the chocolate.",false
"R13F6JVORXLQJU","B016KGWAA0","B016KGW4JW","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"Brandon",5,"Great for taste and nutrition","These drinks are the best! I drink them in the morning for breakfast sometimes or after a workout since it is packed with lots of protein. Great chocolate taste, you can't even tell it contains yogurt.",true
"R21J6M2A1CQDA4","B016KGWAA0","B016KGW2YY","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"george",1,"Flavor","Didn't like the taste but that's just my opinion I gave rest to someone else they said they liked.them. guess just matter of ones own taste",true
"R3MM1PD5CNUGLE","B016KGWAA0","B016KGW2YY","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"The Bryce",5,"Good for the gut","I drink these daily. No artificial junk like the other brands. Plus I like the probiotics helping my gut health. A little pricey but the quality and taste is worth it. Just don't shake it and open or it goes everywhere...open first then close then shake.",true
"R14B767EW9Y9WR","B016KGWAA0","B016KGWAA0","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"Malcolm Burn",5,"They give me a great boost and calm my hunger.","They are expensive, but I have placed 3 orders.",true
"R391GU3HOLB31Y","B016KGWAA0","B073H7HF6S","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"P. Tal",5,"Devious and nutritious! And low carb!","Happy to find a high protein, low carb drink that is healthy!",true
"R32PYPGLZ3771D","B016KGWAA0","B073HDHC8Q","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"steve nelson",5,"Love this","My Daughter is a college student and this drink helps her wake up and concentrate better than any other shakes on the market. Also helps when she works out.",true
"R2TMEVKCQ1TKOA","B016KGWAA0","B016KGW2YY","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Robert Armstrong",5,"Delicious protein drink","Taste great. i drink 4 a day, fits my diet perfect. A little on the pricey side.",true
"R1CQTCTSIGU4L7","B016KGWAA0","B016KGWAA0","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Terry Sheets",5,"Excellent","Excellent! I have replaced my morning coffee with this as I'm getting caffeine AND protein.",false
