"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3GL923E3VU4SS","B018XW013M","","Reviewed in the United States on August 23, 2020","August 23, 2020",1598162400,"1808geek",5,"Best alternative yogurt if allergic to MILK","I've been allergic to milk since birth.This soy vanilla yogurt is the BEST! I add cinnamon and eat it with Oat Flake Bran cereal for a mid morning snack and even for dinner sometimes!",true
"R32WXB0O3FXJ7","B018XW013M","","Reviewed in the United States on May 5, 2020","May 5, 2020",1588658400,"crystalbluerain",1,"Tastes like frosting","Did not like the taste.Tastes like eating frosting.I want the taste of regular yogurt not frosting.",true
"R2PTN4NMOHLGLJ","B018XW013M","","Reviewed in the United States on May 4, 2020","May 4, 2020",1588572000,"marjorie",5,"Best yogourt ever made","This is my favorite yogourt. A million times better than the real deal with dairy. Some other silk flavors are good as well but the vanilla is hands down the best.",true
"R2BKBLY0AGL3LM","B018XW013M","","Reviewed in the United States on January 31, 2020","January 31, 2020",1580454000,"JC",5,"Yeah! Great taste!","I love this product. I have problems with dairy products. I tried this and it was absolutely wonderful. I have been looking and looking for it and have yet to find it except on Amazon.",true
"R20CMI8N5OZMGV","B018XW013M","","Reviewed in the United States on December 27, 2019","December 27, 2019",1577430000,"Thomas L. Brennan",1,"Tasted horrible","Horrible tasted like it went bad I tried another flavor and it tasted the same way I'll never be eating these again",true
"R3HN8XL7K8C0Y2","B018XW013M","","Reviewed in the United States on July 29, 2018","July 29, 2018",1532844000,"Rachel S.",5,"The best dairy free yogurt around!","The best dairy free yogurt! It’s the only yogurt I eat.",true
"R278YMMM6SP46P","B018XW013M","","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"lindafoppiano foris",4,"goodbetter with almond. milk","Don't like soy tastelikestrong vanilla",true
"R3MCR5PFHSNPZ6","B018XW013M","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Chy",5,"Love these & I don't even eat yogurt","These yogurts are so good! I just keep buying them",false
"R2BXJSTVMWX2EZ","B018XW013M","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"aventine61",3,"Too Sweet","It’s good and good texture but way too much sugar. There should be a version with <4g of sugar. This has 16g.",false
"R1CD9QAOVDX1ED","B018XW013M","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Caroline",5,"Even the kid likes it","One of the reasons I do online shopping is because my husband and kid need their silk yogurt and it’s not available at our local supermarket.",true
"R6NPE11YTLXD6","B018XW013M","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Devin Mack",5,"Creamy, yogurty, delicious","This is a fantastic plant-based alternative to yogurt! It’s got a slightly thinner texture than dairy yogurt, but it’s very creamy and still has some tang.",false
"R3JSGXWX8ATREM","B018XW013M","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Lisa A. Plants",5,"Great Taste","It tastes great!",true
"R1EQ2J61PWOBAV","B018XW013M","","Reviewed in the United States on December 13, 2020","December 13, 2020",1607842800,"BSue",1,"Too Much Sugar!","Why take a potentially healthy food and make it so UNhealthy by adding 16 grams of sugar to a tiny cup of yogurt! It tastes more like frosting than yogurt. I'd be glad to buy Silk soy yogurts regularly if they weren't so high in sugar. As is, I'll never buy them again.",false
"R2MI67E1OFUHD9","B018XW013M","","Reviewed in the United States on December 12, 2020","December 12, 2020",1607756400,"Lady in red",5,"Love this yogurt","My favorite Yogurt",true
"RC80HA80NPBX1","B018XW013M","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"Carol W.",5,"Tasty!","Best plant based yogurt I’ve tried. Love all the flavors.Only drawback is these are sweetened. Would love to find a decent plain plant based yogurt but so far no luck.",true
"R2DO86YNKBQZXY","B018XW013M","","Reviewed in the United States on November 6, 2020","November 6, 2020",1604646000,"janacoyote",5,"Delightfully delicious","This is tasty, healthy & easy. I grab this, add some fiber & I'm good.This is pretty good Earth-wise. I eat this every day.",true
