"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1IBYS0F1D3RIW","B019HS2P26","","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"DaynaFROG",5,"Best yogurt ever!","So good. Doesn't taste dairy free. Love raspberry the most, but strawberry banana is good too.",true
"R3TPP9FDOU4OQA","B019HS2P26","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Ann Hyland",5,"YUM So delicious dairy free raspberry yogurt","YUM So delicious dairy free raspberry yogurt, great for hot summer days and quick grab meals for on the go people like myself.",true
"R1TS28TPB5LGQO","B019HS2P26","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"Riderz644",5,"Terrific raspberry flavor and texture","So delicious yogurt has a great texture and flavor. The raspberry yogurt has a nice bright taste to it. It's a great change from the standard flavors you tend to see on the shelf in non-dairy yogurts.",true
"R2KJHNTZM9STQB","B019HS2P26","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"Dan",2,"Extremely over-sweetened","Wayyy too much sugar. If I had realized how much sugar it had I wouldn’t have purchased. It is very very sweet. Taste is ok but would have been much better with maybe half the sugar. The sugar is all I could really taste.Also it’s expensive, not worth it.",false
"R237WUXH3SIY9M","B019HS2P26","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"sherry woods",5,"Wonderful Taste","I am lactose intolerant and this ice cream was delicious . So smooth and rich and no upset stomach",true
"R3L69L5R3VMU3I","B019HS2P26","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"Josh W",5,"Amazing","Best dairy free yogurt I've ever tasted.",true
"R15A70C46TI9FG","B019HS2P26","","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Krista",5,"Great dairy alternative!","My son can't have dairy so this is my go to brand for yogurt! Great taste and little chunks of raspberries are refreshing!",true
"R3KSUBB9ZSWOJQ","B019HS2P26","","Reviewed in the United States on April 17, 2021","April 17, 2021",1618639200,"@ms_ _millionaire",5,"This stuff is delicious!","I loved everything about this yogurt!! It is everything I love about yogurt with the dairy and belly bloat. It tastes like creamy heaven! You must stir it first to blend all ingredients and to get a smoother texture. But that is with any yogurt, I always stir it first. I will be buying many more!!",true
"R1PE7LZ6LM0DBL","B019HS2P26","","Reviewed in the United States on April 9, 2021","April 9, 2021",1617948000,"robbidobb",4,"Good choice for dairy-free yogurt","Delicious flavor, but quite expensive for a small amount",true
"R17OFQII7IGIM4","B019HS2P26","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Donnarose",5,"Wow so good","The taste is outstanding price is up there but the flavor perfect",true
"R1C8FK7XG692T5","B019HS2P26","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"April C",5,"Yummy.kids love it too","Kids love .can not get enough. For ppl w allergies to milk. Or vegans .its our favorite",true
"R1P460CHJ8301B","B019HS2P26","","Reviewed in the United States on March 13, 2021","March 13, 2021",1615618800,"NYC",3,"Watery","Not creamy but tastes ok at least put fruit. Good with added crumbles but alone it’s kinda watery",true
"RMFTA0U8K36JO","B019HS2P26","","Reviewed in the United States on January 14, 2021","January 14, 2021",1610607600,"Sheri Rossman",5,"Good price","Good taste",true
"R18DAKRL2I7WA6","B019HS2P26","","Reviewed in the United States on November 30, 2020","November 30, 2020",1606719600,"B Sparkle",5,"great alternative!!","This yogurt alternative is great tasting, great texture and lasts so much longer than dairy products, highly recommend",true
"RXUGPYJ6X7ANC","B019HS2P26","","Reviewed in the United States on October 14, 2020","October 14, 2020",1602655200,"Michelle E. Walsh",3,"""ALTERNATIVE"" to yogurt.. NOT yogurt","NO thank you...I'll pass. Tried one never bought another. I only eat THICK Greek or ""Oui"" (we) THICK french yogurt. This is an ALTERNATIVE to yogurt.WAY TOO THIN in my opinion. Raspberry flavor was great, but I couldn't finish the cup",false
"R26J5YP9PVSMO8","B019HS2P26","","Reviewed in the United States on September 22, 2020","September 22, 2020",1600754400,"M.M. SCOTT",5,"Great product.","Glad it's coconut, just wish it had less sugar.",true
"R1P7MZCTPWZHC0","B019HS2P26","","Reviewed in the United States on September 21, 2020","September 21, 2020",1600668000,"pillows",5,"Taste","I will buy this again ☺️",true
"R3RRZZKSNICU6S","B019HS2P26","","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"SheTriedIt",1,"Not very good...","Watery, thin. Sour, not tart. Raspberries seemed fake. Would not buy again.",true
"R23Q0608Q6IHH","B019HS2P26","","Reviewed in the United States on August 13, 2020","August 13, 2020",1597298400,"Aga",5,"So delicious","So delicious is very delicious, this yogurt is not thick nor creamy, kinda watered down texture so be aware of it, however it tastes amazing. I paired it with fruits and gronolafor an afternoon snack that was do delicious",true
"R75RMZG2NSGT4","B019HS2P26","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"Jaclyn Kikkert",5,"Favorite dairy free option","Delicious! By far my favorite dairy free option out there! Love all of the flavors and so does my entire family.",true
