"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R4KWXCWMV4THS","B019HS2PGC","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"Goddess Lovely 💕",1,"Dissatisfied","I just received my Amazon Fresh order and the yogurt came like this. I am so disappointed and dissatisfied.",true
"R1TR3UWFINLGJ5","B019HS2PGC","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"Candace Pankanin",4,"Worth it","Good amount of fruit, tastes fresh. Lumpy, so you gave to stir like crazy. That's ok. Nice taste. I use instead of eggs in cake mix",true
"RNJUX4892BE48","B019HS2PGC","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"J. R.",5,"Excellent Dairy Free Yogurt","So Delicious is one of the best in the game, and definitely my favorite dairy free/vegan yogurt. Give it a try, it won't disappoint!",true
"R1UCM9H5DDEQXG","B019HS2PGC","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Lee Holfelder",5,"Nice color, flavor, texture!","I tried So Delicious non-dairy yogurt for the first time.The texture is creamy after stirring.It does appear a bit watery when the lid is removed but that disappears with stirring.The flavor is delicious and the color a lovely shade of purple...not the tan or gray color of some non-dairy yogurts.I will definitely be buying more So Delicious non-dairy yogurt.",true
"R1DGEQIQM9R9SU","B019HS2PGC","","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"lshep09",5,"Favorite!","I've discovered this yogurt when found out that I am allergic to milk. This product is much better that regular yogurts! Tastes so good!",true
"R1UO6KUEYKEQM6","B019HS2PGC","","Reviewed in the United States on November 29, 2020","November 29, 2020",1606633200,"Marisel Zaurov",5,"Nit as thick as desired but deliscious nonetheless.","Its runnier than Id like, and I do miss my greek yogurt, but since I cant have dairy anymore, this is what I get. Its got great flavor, and is great with granola and a few chocolate chips mixed in.",true
"R2NWIG086D2XJU","B019HS2PGC","","Reviewed in the United States on November 22, 2020","November 22, 2020",1606028400,"Traci Johnson",5,"Delicious","So good",true
"R3H61ZK2S7G1A4","B019HS2PGC","","Reviewed in the United States on October 2, 2020","October 2, 2020",1601618400,"Shianne",4,"Thin Consistency for SoDelicious Fruit Flavors","I reviewed the strawberry and basically said the same thing. The consistency of the fruit flavors of this brand are thin/pretty liquidy. I don't understand why since the plain and vanilla versions are such a nice consistency. The flavor is good, but I will most likely only buy these on very rare occasions, such as when I need an extra dollar something to reach free shipping.",true
"R16E4I53VOKE01","B019HS2PGC","","Reviewed in the United States on September 2, 2020","September 2, 2020",1599026400,"mags",2,"Not good","Totally gross. Not good",true
"R3D5NVQ0SJL2T7","B019HS2PGC","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"Jaclyn Kikkert",5,"Delicious dairy free option","Delicious! By far my favorite dairy free option out there! Love all of the flavors and so does my entire family.",true
"R2ILGZACXEGTHD","B019HS2PGC","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"ellen",5,"Good","This is yummy",true
"R3RJW5X92WZUPL","B019HS2PGC","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Ann Hyland",5,"YUM So delicious dairy free blueberry yogurt","YUM So delicious dairy free blueberry yogurt, great for hot summer days and quick grab meals for on the go people like myself.",true
"R1D2GTTCTEYHUB","B019HS2PGC","","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"Toni Duffee",5,"So good for a non dairy yogurt","I really enjoy this non dairy yogurt, I keep buying it because it is so good. I like adding granola for a tasty treat.",true
"R35Y3FCC6CTG9M","B019HS2PGC","","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"Sher",5,"Tastes great!","Love the flavor, the amount you get, that it is non dairy with low sugar. Priced too high though.",true
"R3SURUM5UIXSOQ","B019HS2PGC","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"BrooklynZoo",5,"Yum","So yum",true
"RZP425OAZRHGV","B019HS2PGC","","Reviewed in the United States on June 10, 2021","June 10, 2021",1623304800,"AKD",5,"Incredibly delicious","So yummy my children eat it all",true
"R39JHS563I10UU","B019HS2PGC","","Reviewed in the United States on May 16, 2021","May 16, 2021",1621144800,"Krista",5,"Great alternative to dairy yogurt!","My son has a milk sensitivity so this has been a life saver! He loves the taste and it has a lot of chunks of blueberry in it. It smells just like regular dairy yogurt. It's a bit pricey but worth it because it doesn't upset his tummy.",true
"R19HU67G4Z2U1O","B019HS2PGC","","Reviewed in the United States on May 4, 2021","May 4, 2021",1620108000,"Eric",4,"Delicious 😋","Really great alternative. I like to freeze mine. Acts just like dairy products. Delicious 😋",true
"R2TBDTNHID1XN7","B019HS2PGC","","Reviewed in the United States on May 1, 2021","May 1, 2021",1619848800,"Sakura Castiel OGrady-Elliott",1,"Soy yogurt","Disgusting!!",true
"RGO41MYIOA537","B019HS2PGC","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Are You Serious?",5,"Delicious","Absolutely delicious with a clean flavor",false
