"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R16U5T6NH0JRQJ","B019P52VMK","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"MMorris",4,"Good flavor, tastes clean and healthy yet still rich","Strawberry is a favorite.This is clean, fresh food that feels good to eat.The strawberry at the bottom very lightly flavors the cottage cheese (not too overpowering), although I don’t really mix it up.I like the very subtle flavor it has when not mixed.I tried the plain variety, and it’s just okay.Maybe it’s because I tried the strawberry one first and liked it so much.I’m vegetarian, and this is perfect when I want a tasty snack with protein.",true
"R25R6EIB8G71CL","B019P52VMK","","Reviewed in the United States on January 25, 2021","January 25, 2021",1611558000,"SSilva",5,"So good!","I love these flavored cottage cheese cups. They’re too expensive to eat everyday, but really very tasty.",true
"R2PFIDEDL6RFMK","B019P52VMK","","Reviewed in the United States on January 2, 2021","January 2, 2021",1609570800,"NanaM",5,"My favorite","Delicious",true
"RZ6MIRYKQARMN","B019P52VMK","","Reviewed in the United States on October 23, 2020","October 23, 2020",1603432800,"singing winds",5,"Real cottage cheese","This is real dryer cottage cheese, not 50% milk.",true
"R1OJQIEULDTNC6","B019P52VMK","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"Amazon customer ",1,"No thank you 👎","I tried to love this, supposedly “it’s good for you, it’s organic”. But at almost 400 mg of salt, forget about it! Way to salty for my liking, it gives me stomach pains after consuming. I will not be stocking up on this salt laced cottage cheese.",true
"R46RNC2BVFHNJ","B019P52VMK","","Reviewed in the United States on April 20, 2020","April 20, 2020",1587362400,"Janet/ Kindle Customer",5,"Good","I don't like cottage cheese but my husband does and he really likes this. Was disappointed that I only bought one, because it cost $2.",true
"R3RWP4LT3K3CR7","B019P52VMK","","Reviewed in the United States on April 3, 2020","April 3, 2020",1585893600,"Tamika",5,"Delicious!","Delicious! Absolutely my favorite breakfast.",true
"R1KXW0ZZ5CKNX9","B019P52VMK","","Reviewed in the United States on March 8, 2020","March 8, 2020",1583650800,"joseph",1,"Returned","To small",true
"R1TL4NN1RBZQZL","B019P52VMK","","Reviewed in the United States on March 5, 2020","March 5, 2020",1583391600,"Actual Person",5,"Yum","Maybe a little sweet but so good. Sometimes I leave a bit of the sweet goop on the bottom.",true
"R1HACJ19WD3OTM","B019P52VMK","","Reviewed in the United States on March 4, 2020","March 4, 2020",1583305200,"Valerie Ventura",5,"Love it","This is the reason I began to like cottage cheese. I love all their flavors ❤️👌🏽",false
"RAQEFY8KYJDBQ","B019P52VMK","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"Suzanne J. Powers",5,"Very tasty","It was really good but pricey",true
"R38N1BINYLYDYI","B019P52VMK","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Jane Smith",5,"Good for you and tastes great!","This is better than yogurt!",true
"RDMMNTGHSNXWX","B019P52VMK","","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"Amazon Customer",5,"Yum!","Delicious!",true
"R12C42RK71KJ05","B019P52VMK","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Red wing ",5,"Tasty","This has a lot of flavor and I was surprised I would like it with the fruit, I am a convert now",true
"R14Z46OCIVENCS","B019P52VMK","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Donna",5,"Excellent","My daughters favorite",true
"R3SC8CJBHJEQAB","B019P52VMK","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"J",5,"Yum","Already a fan of Good Culture, so decided to try the Strawberry Chia.Glad I did as I found it to be wonderful.Stirred it up as soon as I pulled the lid off.Great flavor, plenty of chia seeds ,17 g of protein, live and active cultures and organic to boot.New favorite for the grocery list!",true
"R3K9BYA11MMIPS","B019P52VMK","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Jess Cooks",1,"Yuck","Very watery.",true
"R2MIO9DW7SCY2O","B019P52VMK","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Keshia L",5,"My toddler is in love","My toddler loves this cottage cheese.",true
"R1BVPPOGEDLWA8","B019P52VMK","","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"Linda Sergio",4,"Good","It was good",true
"R2PM34XI0DNWN1","B019P52VMK","","Reviewed in the United States on March 21, 2021","March 21, 2021",1616306400,"INFJ-a",1,"zero chias","That was an epic failure. The strawberry flavor was odd and upsetting.It tasted first sweet then salty real quick. They added way too much salt. If it wasn't for the salt it would be acceptable.The bottom is watery and pink liquid from the strawberry. Didn't taste any chia seeds.",true
