"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3SKZUNYWCHFJV","B019Z95UCO","","Reviewed in the United States on January 7, 2021","January 7, 2021",1610002800,"Charles Kopp",5,"Great snack for all ages","They’re Cheerios. We have all eaten them. We will all continue to eat them. Fun for grandparents to babies.",true
"R237SEMK58S289","B019Z95UCO","","Reviewed in the United States on December 4, 2020","December 4, 2020",1607065200,"val",5,"Love my cereal","Love to eat my cereal some time in the morning",true
"R1244A921DX1UC","B019Z95UCO","","Reviewed in the United States on November 11, 2020","November 11, 2020",1605078000,"Amazon Customer",5,"Delicious as usual","Cheerios can do no wrong",true
"R2V1ZMOAJNCLBP","B019Z95UCO","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"Harry",5,"Classic","Breakfast",true
"R22GZR7M5YHGJI","B019Z95UCO","","Reviewed in the United States on October 22, 2020","October 22, 2020",1603346400,"CT",1,"GMO's in General Mills!","I wish our country would get on board w/ Europe and BAN ALL GMO's in our food!! General Mills...GMO cereals!",false
"RB8X2YTLQ8AV9","B019Z95UCO","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"Michelle",4,"Tastes bland","A little on the salty side",true
"R3G5P78XOYJCC8","B019Z95UCO","","Reviewed in the United States on September 15, 2020","September 15, 2020",1600149600,"Betty J. LeClair",3,"No flavor","No flavor",true
"R17BDFWYFAE8H3","B019Z95UCO","","Reviewed in the United States on September 5, 2020","September 5, 2020",1599285600,"Nancy Nova",5,"superb product","my grandchildren's favorite cereal.",false
"R1D0C0GSCWU2DJ","B019Z95UCO","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"Amazon Customer Betty",5,"Flavorful healthy","Cheerios My favorite cereal",true
"RE2OCWO1QG57G","B019Z95UCO","","Reviewed in the United States on April 22, 2020","April 22, 2020",1587535200,"Rui",5,"SAme as always","Cheerios = kids finger food stapple.",true
"R3C2MF3W8A15B9","B019Z95UCO","","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Jamie",5,"Good price when on sale","Taste good",true
"R14O6MZ5B0ATE7","B019Z95UCO","","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"Dalton B",5,"They're Cheery","Always a classic",true
"R2KV7M9YI4TEEK","B019Z95UCO","","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"G A",5,"Taste great","Taste like regular cheerios cereal. Fresh and tasty",true
"R2NMVY8FJAV5M","B019Z95UCO","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Toni Frazier",4,"Oldie but goody","I like that there gluten free its hard to fine cereal that isn't, because of my health concerns.They could lower the salt content and it would be one of the best on the market",true
"R268YXJ639TX0F","B019Z95UCO","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"mary",2,"Get less while paying more!","Smaller quantity, larger price.Not purchasing again.",true
"R2P499HYXF5OR7","B019Z95UCO","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"jack hendrix",5,"Good","Good",true
"R3OVM5GLQRQRIS","B019Z95UCO","","Reviewed in the United States on May 4, 2021","May 4, 2021",1620108000,"Phyllis Weber",5,"Cheerios hearts","Cheerios with cute heart shaped. What's not to like?",true
"R2QG7SCKOJ93VM","B019Z95UCO","","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"Lois K. Vidovich",5,"Pantry favorite.","Good old Cheerios.Staple product.",true
"R1HVWY929H162J","B019Z95UCO","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"Kathleen C.",3,"Something has changed for the worst,","Has the new heart shaped pieces, and doesn't have as good a flavor as the original. Something has changed for the worst.Not as filling and sustaining, either.",true
"R23HOM4KMFD0QT","B019Z95UCO","","Reviewed in the United States on April 1, 2021","April 1, 2021",1617256800,"Bud Ray",3,"Not enough product","Not enough product for the money",true
