"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1P6NH719ICQG2","B01CUWXD1I","B01CF2GBFI","Reviewed in the United States on September 19, 2021","September 19, 2021",1632031200,"Ms. Dee",5,"Good Results - Immunity Support","Love the flavor and potency, which is important because then you know you're getting what the product claims.So far, this tea brand has been one of the best for me.",true
"R21DRAOC7J00BB","B01CUWXD1I","B01CF2G9O6","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Yolanda",4,"Great product, .","made a nice tea in the morning. Not sure if it made a difference to my weight",true
"R3FG68Q0SUFXLN","B01CUWXD1I","B01LX7C7UM","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Providence",5,"Like th flavor","Like the flavor",true
"R2X1LA15VZZ67C","B01CUWXD1I","B01CF2GBFI","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Amazon Customer",5,"Immunity Tea Protects You","This tea has such a comforting flavor, it is also very smooth going down I personally love the taste if this tea.",true
"R1M1L7AALX3Z8J","B01CUWXD1I","B01CF2GBFI","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"SCaz",4,"Bought for immune support","Did not taste as bad as we thought it would.It's OK. Hope it boosts our immune system during the pandemic.",true
"R1AWTG6YHNBQD0","B01CUWXD1I","B01CF2G9O6","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Erica Suarez",5,"This tea is the best!","Not only do I drink it everyday but it helps me maintain my weight. Love it!",true
"R1RMOPIR1K4H4K","B01CUWXD1I","B01CF2GAGS","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"P.E.Ruth",2,"The metal container was smashed, but the tea was OK.","I disliked the condition it was in when I received it (smashed).",true
"R38Z5FEBHUPO1T","B01CUWXD1I","B078KHTY53","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"Lauren Beckwith",5,"Best green tea detox","Great flavor - clean finish",true
"R3UNLE0RMK8MQ2","B01CUWXD1I","B078KHTY53","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Amazon Customer",1,"Gross","It did not taste like green tea",true
"R1O87CQKLJRVCP","B01CUWXD1I","B01CF2GBFI","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Jules",5,"Great Tasting Quality Tea","I was looking for aTea that had echinacea, Green Matcha and Elderflower came across this Immunity Tea. I have been wanting something that will boost my immune system because I work around people and I'm worried about Covid, so I ordered it. Ireceived a few days later, however they made a mistake and sent the wrong order. I would like to take the time and give a shout out to Kacie! she was awesome I contacted the Co and with in 2 hrs. I had a response! not only did she apologize for the wrong order she actually overnighted my tea Now that is customer service! the tea taste amazing really good flavor I feel that this is quality tea and don't mind paying extra for it. I alsonoticed that they give proceeds to organizations. I think that is wonderful and Appreciate this company even more I will be placing another order real soon.",true
"R1ZQRSJG493WX","B01CUWXD1I","B01CF2GBFI","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"millie",5,"love it","I like it",true
"R1ZQWS13M0GO97","B01CUWXD1I","B078KHTY53","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"rheJOYce",5,"Refreshingly elegant!","This exquisite tea travels well (especially as packaged) and helps me enjoy the tea moments I find so infrequently.The aroma sets me to relaxing as I head to my tea ZONE!",true
"R26J91CSS06T8N","B01CUWXD1I","B078KHTY53","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"Kenia",5,"Me super encanto llegó en tan solo 3 días a eso le llamo excelente calidad de servicio","Me super encanto llegó en tan solo 3 días a eso le llamo excelente calidad de servicio",true
"R3HNXQLH2K6KP5","B01CUWXD1I","B01CF2G9O6","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Kat Starwolf",5,"Great Tasting Tea","Not only is it a great tasting tea, but it helps with several other health issues as well.Thank you!",true
"R16BCOHNH185JX","B01CUWXD1I","B01CUWXD1I","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Cheryl Jackson",5,"Good product","Good product",true
"R3AKTFN7IFQL13","B01CUWXD1I","B01CF2G9O6","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Beligh",5,"Delicious healthy tea","One of my favorite teas, the flavor has a slight cinnamon taste which makes it so delicious.",true
"R3RLP0H1ZO92DQ","B01CUWXD1I","B01CF2GAGS","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"Basic Ocher",5,"Delicious","Delicious tea, the combination of the herbs and green tea is making it completely not jittery and just giving smooth clean energy uplift. Highly enjoyable",true
"R10MM0JAZLP101","B01CUWXD1I","B01CUWXD1I","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Jeff B",5,"Tastes Good","I bought this tea for health reasons, I expected some bitter drink that I would chug down to bypass the taste but it tastes really good. The first time I tried it I made two more cups after the first, and I'm not usually a tea drinker.",true
"R3SMG3Y6YUXJK0","B01CUWXD1I","B078KHTY53","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Vicki L.",5,"Worth It!","Very good. The flavor is wonderful and there really is matcha. One of my favorites now",true
