"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RU0MCQ0RJQHB4","B01E1P3A4C","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"John Brown",5,"Helps make great yogurt","Fast delivery. Consistent quality.",true
"R2R3CEN9KISIWZ","B01E1P3A4C","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Gary (Lori)",5,"Easy, convenient, reliable yogurt culture","I had been buying a cup of plain yogurt to use as starter every time I made yogurt.Different brands yielded different results, and I couldn't make yogurt unless I'd remembered to buy a starter cup.I decided to try YoGourmet and now I'm spoiled.It's inexpensive, easy to store, easy to use and makes consistently good quality yogurt every time.",true
"RGRPKKNH53AHQ","B01E1P3A4C","","Reviewed in the United States on January 31, 2021","January 31, 2021",1612076400,"Vickie",5,"Easy to use. Best flavor.","Best flavor and thickness every time.",true
"RZPYPYEZVASON","B01E1P3A4C","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"Darrell T.",5,"Thick smooth yogurt","When I make yogurt started with Yogourmet it always comes out thick and smooth.Highly recommend.",true
"RXH87PZ9SR68I","B01E1P3A4C","","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"The Fortier-Kelley Family",5,"Excellent yogurt starter","Sorry for not writing a review sooner. I’ve been using this product for several years now and have had perfect results every time. No need to try any others, I’m a customer for life.",true
"R3UZY8GBCOPJN7","B01E1P3A4C","","Reviewed in the United States on December 20, 2020","December 20, 2020",1608447600,"amys",3,"Your basic American style yogurt","I decided to try making my own yogurt but didn't know where to start as far as cultures go, so I tried this first. The thickness and texture was pretty good if you like the standard store bought variety. I didn't like the tartness of this one though. I strained it twice which greatly improved it. That got rid of much of the tartness and created a super thick Greek style texture the first strain. Straining 2nd time created a rich cream cheese texture, so that was cool! I did not add anything to sweeten/flavor it so I will try it again in the future and it might be more appealing to make regularly. I wanted something different so Itried and fell in love with a Bulgarian culture so I have only been making that ever since. If you want something most Americans are used to (boring in my opinion) then this is it, but I would encourage you to explore beyond this basic variety. There are way better cultures waiting to excite your tastebuds!",true
"R2CCSCGP4DQB7X","B01E1P3A4C","","Reviewed in the United States on August 19, 2020","August 19, 2020",1597816800,"caroline",5,"Works","Makes great yogurt.",true
"R32I75WGAHLN9Y","B01E1P3A4C","","Reviewed in the United States on July 27, 2020","July 27, 2020",1595829600,"Rocco Albano",5,"Does the job.","Wife uses it to make her homemade yogurt.Does a good job for her and she's very happy with how her yogurt is better than store bought.She also knows exactly what's in hers.",true
"RV4XNB1N0PMU1","B01E1P3A4C","","Reviewed in the United States on July 18, 2020","July 18, 2020",1595052000,"KKL",1,"Questionable Performance","I purchased a box of this earlier in the year and it worked great!Then I reordered 6 boxes, and the first box I have tried does not work ... my yogurt is very runny, I cannot get it nice and thick even with straining.I thought I would return the other 5 boxes and find that it cannot be returned.I would not recommend buying this.",true
"R181QGUZY2BMKS","B01E1P3A4C","","Reviewed in the United States on June 16, 2020","June 16, 2020",1592287200,"Esar",5,"tastes great","This is my favorite yogurt starter. I follow the instructions on the box, but leave it out for more than 4 hours so that it builds more good bacteria. And the yogurt is thick and tastes great. I started making yogurt with these about 9 months ago and we haven't gone back to store yogurt since then.",true
"R2LCD9V95ISCQ2","B01E1P3A4C","","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Aivin",5,"Puedo hacermis sabores preferidoscon la leche que yo consumo pues soy intolerante a la lactosa","Me agrada todo de este producto .. ya hace tiempo que lo uso y su resultado es magnifico",true
"R3VQ65VQV5JTW9","B01E1P3A4C","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"kindlereader",1,"Yogurt Starter Packets Inactivee","Yogurt starter packet was inactive, leaving a puddle of warm milk after following instructions on the packet. Yogurt maker in working order, product not past expiration date stamped on packet.",true
