"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1H7L96GVGXC8S","B01FNZGT4W","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"archie nieman",5,"Delicious","Order weekly",true
"RF3PVFQCZAIV5","B01FNZGT4W","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"LindaH",4,"Still a nice, thick yogurt!","Yummy!",true
"R3JFDBIOWUADB0","B01FNZGT4W","","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"andrea frohman",5,"nice","Great tasting yogurt.",true
"R1Z9EFA526CTQ2","B01FNZGT4W","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Natasha",3,"Okay 🤔","I love Fage yogurt❤️ I love blueberries, but there is a texture issue and after taste. It could be me, but I bought two in one order and did not again. The Greek Yogurt part of the cup is still great!!",true
"R2CP251108OXO0","B01FNZGT4W","","Reviewed in the United States on February 14, 2021","February 14, 2021",1613286000,"jc",1,"Something wrong with the last 3 containers","My wife often orders this brand of yogurt but the last couple of containers she could not eat because they were extremely gritty. Not sure why this is but it was completely inedible and a waste of money. Will not be ordering again.",true
"R1BBYJ2ATQS1MA","B01FNZGT4W","","Reviewed in the United States on January 20, 2021","January 20, 2021",1611126000,"Angela M. Brown",5,"I LOVE THIS YOGURT WITH BLUEBURRIES","I AM EATING THIS YOGURT NOW AS I AM TRYING TO TYPE. THIS IS VERY GOOD YOGURT.I AM A REPEAT BUYER SEVERAL TIMES OVER.",true
"R1MDRK1R52PZF0","B01FNZGT4W","","Reviewed in the United States on January 1, 2021","January 1, 2021",1609484400,"Rita S. Lasagni",5,"No unnatural ingredients, great taste","Best yoghurt I’ve ever tried . Love all the flavors, never too sweet because The topping is separate",true
"R2QWIT1RPISN2X","B01FNZGT4W","","Reviewed in the United States on November 21, 2020","November 21, 2020",1605942000,"Jessica Hall",5,"Great snack!","This is the best snack!",false
"R2HXB6NB7OW9G6","B01FNZGT4W","","Reviewed in the United States on October 3, 2020","October 3, 2020",1601704800,"als.josh",5,"best","best all around yogurt",true
"R1ETTACEA8MZCD","B01FNZGT4W","","Reviewed in the United States on August 21, 2020","August 21, 2020",1597989600,"Omie",5,"Great Yogurt","Great Yogurt, thick and the flavor is great also.",true
