"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R33CGWRZ2H9O6Z","B01GSAEYQG","B01GSAEZ5G","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Beca Hunter",5,"Not overly sweet","This could be bigger for the price but the flavor is on point. Would buy again.",true
"R13MU8RXF3B13X","B01GSAEYQG","B01GSAEZ5G","Reviewed in the United States on September 9, 2021","September 9, 2021",1631167200,"Lee Gates",5,"love it","I love the flavor and the taste. The banana flayer is my favorite. I will buy it again.",true
"R12RYT9WP1O7AJ","B01GSAEYQG","B071KF5KQ4","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Nicole K.",5,"Better cold","My kids didn't like them at room temperature but they loved them cold.",true
"R31O8ADFQZT3ON","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Noemi Huerta",5,"Es mentira que lo cubre snap por que resulta me lo cobraron de mi tarjeta no snap","No es conveniente comprar con tarjeta snap por que no lo cobran al contrario te lo cobran de tu tarjetano snap",true
"R3CXBNTO45A90G","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on August 27, 2021","August 27, 2021",1630044000,"RG",5,"My kids love them!","So glad I got these. I got a box of each flavor and my kids ages 1 to 9 love them.",true
"R2DDM2QA3A4OCN","B01GSAEYQG","B01GSAEZ5G","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Heather (elevated_vibes13)",1,"Check the dates","I had all 3 flavors we gotwent bad they either wheeee stored some where way too hot but it was hot curdle gross",true
"R1PQFTJZW9T1VA","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"NC Abrams",5,"Good On The GO for Kids","Great Taste - Kids Love It!",true
"RAR7KNW7Y8N8S","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Tricia Cancel",5,"Convenient, delicious, great snack!","It's my 4 year old favorite snack (strawberry) before bed, helps her sleep much better on a full tummy!!",true
"R1P09U7A8PGMFV","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"Lakshmi",5,"Easy to carry with great taste and perfect for kids during travel","Easy to carry while going out and great taste if you eat cool. My daughter and son enjoys a lot.Strawberry flavor is good.",true
"R158RG7O6MYLMS","B01GSAEYQG","B01GSAEZ5G","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"Alonie brown",1,"Sick kid","I don’t know what it is about these but I ordered a few different flavors and every time my kid eats one she ends up puking from them. We don’t have an issue with the apple sauces it’s just these.",true
"R6CC34P2J4KO7","B01GSAEYQG","B01GSAEZ4W","Reviewed in the United States on August 5, 2021","August 5, 2021",1628143200,"Ana",5,"Tasty","My kids love the taste and it's always on the go. No more massy clothes.",true
"RVT8ZYZ7RYDMY","B01GSAEYQG","B01GSAEZ5G","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Kindle Customer Karen",5,"Great","Great value and flavor.",true
"R3965HXTL5AR9D","B01GSAEYQG","B01GSAEZ4W","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Sakeena Skelton",5,"So happy","I got these for my church for the toddlers in the nursery and they love them so much. They are very healthy for kids and you don't have to worry about them making a mess so I would definitely recommend you to purchase these",true
"R3HWZ3O3UEAOYH","B01GSAEYQG","B071KF5KQ4","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Kimba",5,"Really like","Good price, flavor and longevity.",true
"R1YIN1VN4H9OHO","B01GSAEYQG","B071KF5KQ4","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Jennifer Reynolds",5,"Great way for my child to feed his self and not make a mess","A quick easy snack for my little one. Awesome when we are on the go.",true
"R8AW19S6DRZR0","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Harrrr",4,"my kids don't like the banana flavor.","my boy like strawberry one and blueberry,he don't really like the banana flavor.",true
"R2L6NPVTNFUUXJ","B01GSAEYQG","B071KF5KQ4","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"pam",3,"Good but children didn't like the flavor","Children didn't like",true
"R7V88WM3MQXLT","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"jingfangpeng",4,"some unnaturalfragrance smell","This strawberry one has some unnatural fragrance smell",true
"R3B7MCKL844AAF","B01GSAEYQG","B01GSAEYQG","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"Jason",5,"Kid Approved and Parent Recommend","I purchased this Go go SqueeZ Strawberry for my 3 and 9 yearold. No sooner I purchase, it is eaten and time to order again!! I try to purchase when on sale.What I like the most is it does not contain high frutose corn syrup and other unhealthy additives. My children approve this squeeze.",true
