"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R20NYU89WI72DJ","B01GV64R0K","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"Susan",5,"So good","I freeze it for a substitute for high calorie ice cream",true
"R3I3K4HUFMNDU3","B01GV64R0K","","Reviewed in the United States on August 1, 2021","August 1, 2021",1627797600,"Alex B",1,"Tasteless","Tastless, uneatable, met my trashcan very quickly.",true
"R2ZSNRZNSW2JT8","B01GV64R0K","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"AmazonCustomer",5,"My All-Time Favorite Skyr (kind of like yogurt)","The Peach Cloudberry flavor skyr tastes like heaven on earth. I have achalasia, and getting food down can be difficult. This works fine. Other flavors are too acidic, but the peach cloudberry is both delicious and doesn't hurt/burn my esophagus. I've recommended this to fellow achalasia sufferers. Whether or not you have achalasia, this is the BEST SKYR! Highly recommend.",true
"R3QTVO95SM3VC1","B01GV64R0K","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"freda rosenblum",5,"Great yogurt.","Delish creamy love it.",true
"RRJGJ9WJO5A3L","B01GV64R0K","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"JM",2,"Creamy but flavorless","I eat various forms of yogurt morning, noon, and night. This has a bit more creaminess that 0% fat greek yogurt, which makes it feel more luxurious, and I think the tiny bit of fat (2 g) balances out the tartness that low fat yogurt often has, but I can only taste the tiniest amount of peach, and I can only assume a cloudberry is some sort of berry mist that floats above my spoon. It's non-existent in this yogurt.There are tons of better tasting yogurts out there, with better macros, that cost much less.",true
"R1FCUCAA1SF8XE","B01GV64R0K","","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"EstherOfKent",5,"Excellent source of protein.","Scandinavian delight. Healthier yoghurt than those thin brands with all that corn syrup & jam.",true
"RP2A1U6GU7CDT","B01GV64R0K","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Sheri Rossman",5,"Ok","Good",true
"RTHHBGQB4B5CZ","B01GV64R0K","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"thewoody1",5,"Suthentic","Just like I had in iceland",true
"RR3TCFAF426DH","B01GV64R0K","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"JS",2,"So very thick.","Very, very thick. It was actually hard to eat this, it had the consistency of spackle or mortar. Think drywall mud. I dumped a bunch of granola in it and it helped a little. The flavor wasn’t remarkable. I won’t be purchasing again.",true
"R1IZG7RXSXNVEU","B01GV64R0K","","Reviewed in the United States on September 8, 2020","September 8, 2020",1599544800,"Ellie!!!!!!!!!!!!!!!!",5,"Yas!!!!! Thus is some super yum, high-end shi-shi yogurt","I likie!",false
"R9V6RFX6TU5J8","B01GV64R0K","","Reviewed in the United States on August 16, 2020","August 16, 2020",1597557600,"Melinda Longoria, MSM",2,"No flavor","I tried a couple different flavors of this brand and there wasnt much fruit which made the yogurt very lacking in flavor. I am not a fan. My favorite yogurt for real fruit and flavor is Noosa.",true
"R2AWHULLW42IUJ","B01GV64R0K","","Reviewed in the United States on July 26, 2020","July 26, 2020",1595743200,"Mindy",5,"Wonderful yogurt!!!Mindy","Great yogurt!!!!Like most of the flavors!!!Mindy",true
"R3T6TZW3VKCKLF","B01GV64R0K","","Reviewed in the United States on July 9, 2020","July 9, 2020",1594274400,"Jean Petty",3,"Islaander","This brand all have a rather sharp taste that even nonfat brands don’t have",true
"R1Q6NCY8G2MQTU","B01GV64R0K","","Reviewed in the United States on June 28, 2020","June 28, 2020",1593324000,"Mel",4,"Not bad","Something about this tasted a little “dry” if that makes sense. It wasn’t a favourite for me, and I probably won’t order it again, but it wasn’t bad either.",true
"R2ME5ZFNPDG9MM","B01GV64R0K","","Reviewed in the United States on June 21, 2020","June 21, 2020",1592719200,"Nima",2,"Tasteless","Lacking any flavor or taste. No fruit chunks. The only good thing is the protein.",true
"RSQP0VONK5L7U","B01GV64R0K","","Reviewed in the United States on June 5, 2020","June 5, 2020",1591336800,"Beevette",5,"To the country gonna eat me-a-lot OPeaches","My very favorite with the addition or the peach granola on sale at Whole Foods make my morning mush with a bit o honey a waking dream!!! Mmmmm",true
"R7SQTKFQ4YCLO","B01GV64R0K","","Reviewed in the United States on March 10, 2020","March 10, 2020",1583820000,"LindaH",5,"I like this thicker brand!","Very good but watch the calories!",true
"R30SJQUSI0WQA0","B01GV64R0K","","Reviewed in the United States on February 27, 2020","February 27, 2020",1582786800,"ADAGIO",5,"yummy and high protein","not organic but probably much closer to it than many huge corporate brands. high protein. good texture.",true
"R2ZVVOX3MMOUB","B01GV64R0K","","Reviewed in the United States on August 14, 2018","August 14, 2018",1534226400,"Saurabh Kothari",1,"Dangerous for consumption","This yoghurt gets spoiled very easily. I have about 5 different types of yogurt in my fridge and this is the only one which develops fungus as early as 3 days after the best before date. Fungus can be dangerous for consumption. I contacted the company a week ago and they are yet to respond. Not only disappointing, but dangerous.",false
"R3F875ND5653WW","B01GV64R0K","","Reviewed in the United States on May 22, 2018","May 22, 2018",1526968800,"Daniel J Cott",5,"Love, love","This magnetic is the real deal. Almost couldn’t get it off the wall. Love, love, love.",true
