"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RCL8ZAGTT5VZL","B01GV64R32","","Reviewed in the United States on February 25, 2021","February 25, 2021",1614236400,"Mo",3,"No Flavor, but Great Macros","Smells great and has a thick consistency, but has zero flavor. I felt like I was eating bland cream cheese to be honest. I really wanted to like it. Might be good if you add real strawberries to it. Wouldn't reach for this again.",true
"R1G30FVU43GIS0","B01GV64R32","","Reviewed in the United States on February 18, 2021","February 18, 2021",1613631600,"Spirit of Nader",1,"Worst Yogurt I Have Ever Had, Icelandic Or Otherwise","This is hands down the worst “yogurt” I have ever had ... Skyr or otherwise. It is of course not yogurt or Traditional Skyr because neither one of those have Pectin or Locust Bean Gum in them. Having been to Iceland I can tell you if this was served at the table, at first bite it would be thrown into the nearest lava flow .If the grainy texture of some form of window putty with a bit of flavor in it appeals to you go for this ....If you want some Icelandic labeled yogurt that is true to its name get Siggis which does not have the offending Pectin or Locust Bean Gum, tastes good and can legitimately be called smooth.Use this stuff to putty your windows or spackle your walls ...",false
"R2XNMCJ1GW4XQU","B01GV64R32","","Reviewed in the United States on December 11, 2020","December 11, 2020",1607670000,"Carter Gray",5,"thick!","love it",true
"RPP0V6S1EQ5A3","B01GV64R32","","Reviewed in the United States on November 25, 2020","November 25, 2020",1606287600,"Alex H.",5,"The best yogurt on the market","I eat this every morning. It's filling and good for you.",true
"R151DHWD8AZTMU","B01GV64R32","","Reviewed in the United States on November 24, 2020","November 24, 2020",1606201200,"Health conscious",5,"The best all around","The best product ""ever""!Plain and vanilla too!",true
"R1KADJ736M0YL3","B01GV64R32","","Reviewed in the United States on November 1, 2020","November 1, 2020",1604214000,"Chiti Kaunda",5,"Creamy, thick, flavorful","Love this skyr and its lower-sugar content despite the flavor.This strawberry, lignonberry is one ofmy favorites.",true
"RL07ACLGXOX4X","B01GV64R32","","Reviewed in the United States on October 7, 2020","October 7, 2020",1602050400,"Veki",5,"Amazing yogurt!","We love this yogurt! It is expensive but it is worth it! Not too sweet!",true
"R2YZ3AR27MLWRH","B01GV64R32","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"Amber W",5,"Great flavor and quality","Delicious! I love this brand, I’ve bought 5-6 flavors from amazon fresh and I’ve loved every one.",true
"RHQNSCEJNKZXW","B01GV64R32","","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"mechanicalheart",5,"Try it! Yum yum Yum","Yummy!!! Try it!!",true
"R3FWJWT8EUCCUH","B01GV64R32","","Reviewed in the United States on August 3, 2020","August 3, 2020",1596434400,"Debra Dobbins",5,"Scrumptious","I love this yogurt it's so thick and does not contain a lot of sugar.Only 130 cal.The portion size is a very good size I highly suggest buying this product",true
"R11Y3RVHX99JJV","B01GV64R32","","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"Wen-Wen",2,"Expensive and did not taste strongly of lingonberries","I was excited to try these, but for the $, the lingonberry flavor is just not there.",true
"R3T7D04DHZJWAN","B01GV64R32","","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"J. Summers",5,"BOO!THEY'VE DISCONTINUED ALL THE GREAT ONES!","So, this one is the only remaining good one for someone who wants low-calorie, fruit-ilicious skyr.Switching to German yogurt.Very disappointed.",true
"R3PR24T4234ANO","B01GV64R32","","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"david brooker",5,"Fresh","Healthy",true
"R3IV0KVUCOEAFH","B01GV64R32","","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"EstherOfKent",5,"Healthy treat. Good start, or end.","High protein dessert.Animal protein snack.Eat this, not candy & shed the extra fat.Indulge.Perfect power food.",true
"R22TT31BOH8DNU","B01GV64R32","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"JimNy000",5,"Must delicious yogurt!","This has got to be the most delicious yogurt that I’ve ever had. Sooo thick and creamy and the sweetness level is perfect in my opinion. Not too sweet.",true
"R1B26OMLP7POII","B01GV64R32","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Jasenia",5,"So good!","The flavor is excellent! the texture is rich and thick.the flavor combinations are great. I am so glad they offered in fresh! I can't find this in my stores.",true
"R1ZYE533RMR4FT","B01GV64R32","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Gina",5,"Yummy","Great and creamy!",true
"R1G7ZT1BGKOEYL","B01GV64R32","","Reviewed in the United States on April 3, 2021","April 3, 2021",1617429600,"scopin4u2",3,"It was just OK","This yogurt was OK... but not spectacular like I hoped for. There was NO fruit in it. Just flavoring. They can do better for this price.",true
"R92ME5ZUCE9VJ","B01GV64R32","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Sheri Rossman",5,"Ok","Good taste",true
"RKHTGBONPTRBO","B01GV64R32","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"heather",5,"Best yogurt ever","Best yogurt ever",true
