"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R15OR0Q34VX1G7","B01GV64RA0","","Reviewed in the United States on July 10, 2020","July 10, 2020",1594360800,"Jean Petty",3,"Not so good","This particular brand has the bitter taste of low r no fat yogurt.",true
"RPYTR6TEQD8E6","B01GV64RA0","","Reviewed in the United States on May 12, 2020","May 12, 2020",1589263200,"Cindy Range",5,"Icelandic is Fantastic","Icelandic Skyr is almost tied with SIggi's in my book...the only difference is Icelandic has more sugar, which isn't a bad thing, I just want less sugar in my diet.But I eat these all the time.My favorite flavor is the Key Lime, and Vanilla is 2nd.Try all their flavors!They have a wonderful consistency!",true
"R1JCT5V3JSRJ89","B01GV64RA0","","Reviewed in the United States on April 26, 2020","April 26, 2020",1587880800,"Qiana",1,"Don’t purchase","Product was watery and slimy not like normal",true
"R2D6ANZJGF0SJX","B01GV64RA0","","Reviewed in the United States on March 24, 2020","March 24, 2020",1585029600,"Marda Poyer",5,"Thick and delicious","This is my new favorite yogurt. Milder than Greek yogurt in flavor but has the same richness. Great for smoothies and so much more.",true
"R1RWU1YFUVHOK2","B01GV64RA0","","Reviewed in the United States on March 11, 2020","March 11, 2020",1583906400,"Bill in NYC",4,"Love this brand","I'm normally not a fan of vanilla but this yogurt was really had a thick nice texture. Nice taste.",true
"R2M8IJWXUUHNGB","B01GV64RA0","","Reviewed in the United States on March 2, 2020","March 2, 2020",1583132400,"Roxy Ekstrom",5,"Fruit compliments yogurt, doesn't overwhelm.","Love the thick, creamy texture and the low sugar and high protein in this yogurt.One container can hold me for hours - keeps the munchies away.The vanilla and Key Lime are my favorites - with a bowl of blueberries - yummmmm!",true
"R3GK2UPPEEH8RQ","B01GV64RA0","","Reviewed in the United States on March 1, 2020","March 1, 2020",1583046000,"Grandma Kim",5,"Really good tasting yogurt","This is a great product. Thicker than yogurt, a little tangy. Add some berries and granola and I could live on this!",true
"R3N0UL9YY5QU1W","B01GV64RA0","","Reviewed in the United States on February 28, 2020","February 28, 2020",1582873200,"ADAGIO",5,"high protein, low sugar","high protein, good texture, relatively low sugar",true
"R2EI4W4OK0ROWO","B01GV64RA0","","Reviewed in the United States on February 20, 2020","February 20, 2020",1582182000,"sotasmom",5,"Heaven sent and good protein!","Skyrr... if you haven’t tried it yet... DO!It’s amazing and every flavor is delicious!!!",true
"R12H4Q8SAI7NE9","B01GV64RA0","","Reviewed in the United States on February 19, 2020","February 19, 2020",1582095600,"Trynewstuff",5,"Better than greek yogurt - less bitter and low sugar","This has less sugar, and tastes better than greek yogurt to me.Less bitter.I put a spoonful of fruit, granola and or Cacau nibs on this and it is a perfect high protein snack if you still eat dairy!",true
"R4JBVETX8U56M","B01GV64RA0","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"Sandra L. Larsen",5,"Reminds me of my first in Turkey","Thick. Well balanced flavor. Great there's NO potassium as am restricted due to HEART (CHF) CONDITION!!",true
"R3VGKPWA8BSBVB","B01GV64RA0","","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"LindaH",5,"Love Icelandic!","The thickest and most filling yogurt I've tried.",true
"R1RZTDKV2D4A33","B01GV64RA0","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Miss K",5,"YUMMY!","Yogurt texture and style is a very personal thing. This does not taste like pudding, nor does it taste like bitter, sour milk.In my opinion, this is just right!I think I like this brand slightly better than the other Islandic style yogurt that begins with an ""S"" (which is good too).Like other reviews have mentioned, this particular flavor (Vanilla) is perfect!It truly smells and tastes like what vanilla should smell and taste like and you do see vanilla bean flecks throughout.This yogurt is creamy, smooth and dense without being too heavy.Adding fresh fruit or granola or any other add-ins, almost makes you feel like you are having a rich dessert.I still love ice cream and pudding and other sweet stuff but this is a nice alternative for when you want something sweet but don't want to cheat and have something that isn't good for you.You can even add a little honey or agave if you want it to taste that much better.I just wish this was cheaper but it's still good.",true
"RUXD7ZQMFKI6T","B01GV64RA0","","Reviewed in the United States on February 3, 2021","February 3, 2021",1612335600,"Tanjh Dois",1,"Low fat dairy is not good","So I do not like low fat dairy. It truly is an American thing. I picked this up because I saw that it was icelandic style and didn’t realize it was made with reduced fat milk. It taste chalky with a fake thickness. Please America put full fat dairy on the shelves, you won’t need the artificial thickners. It also is better for you. Full fat dairy delivers an immense amount of nutrition, helps burn fat (fat burns fat) and it is great for your skin and hair.",false
"R1ITA4267QESAM","B01GV64RA0","","Reviewed in the United States on January 12, 2021","January 12, 2021",1610434800,"Taylor",5,"Great Yogurt Brings Back Memories","First time we had this was while in Iceland on vacation before we had our first child. Didn’t realize it was available on Amazon until recently but now we make sure to always have it in stock.The perfect balance of flavor, thickness, and serving size.",true
"RDXJV0U6RU4T7","B01GV64RA0","","Reviewed in the United States on November 23, 2020","November 23, 2020",1606114800,"Biologist in Training",5,"Creamy Delight","There is no better yogurt out there.A bit lower in sugar than many.Creamy, thick, awesome mouth feel.Good protein content and feels like clean eating.",true
"R3AUO15O9U0ND8","B01GV64RA0","","Reviewed in the United States on October 1, 2020","October 1, 2020",1601532000,"Ivan J Kovac",5,"My favorite yogurt","Like the flavor, the texture and the shiny look",true
"R330IEGG58D5F8","B01GV64RA0","","Reviewed in the United States on September 24, 2020","September 24, 2020",1600927200,"kidkj2000",1,"Tasteless garbage","Flavorless. That's all that matters to me. I threw it out after tasting. It's a really small package too. I couldn't eatbit, do that didn't really matter. Just providing information.",true
"R1QJ03YQ2NM964","B01GV64RA0","","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"mechanicalheart",5,"Yum Yum Yummy!!!","I love this brand of skir! Give it a try and enjoy the experience!",true
"R1OF9I0UT5HEJX","B01GV64RA0","","Reviewed in the United States on August 3, 2020","August 3, 2020",1596434400,"Debra Dobbins",5,"Outrageous","I love this yogurt it's so thick and does not contain a lot of sugar.Only 130 cal.The portion size is a very good size I highly suggest buying this product",true
