"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RCM5A3MYWKI6Y","B01HPW5PEQ","","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Tennie P.",5,"New fave food product","I’m going dairy free and this has made me so happy. I eat it with granola and honey, put it in smoothies and basically use it in for anything while I cook instead of sour cream. Example ; Indian food dishes.",true
"R1HMA3JLPZI33Q","B01HPW5PEQ","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Heather A.",5,"Coconut yogurt","Coconut yogurt, What’s better than this? Not eatingcow mammary juice and it tasted delicious. I use it in my smoothies I put it on fruit I eat it plain don’t load it down with any sugar! Yum",true
"R3JFLM9N8R6VKT","B01HPW5PEQ","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"colby king",5,"Deli and healthy","Like it so much, the favors are great and is also healthy",true
"R2G1H5O5N8IU7E","B01HPW5PEQ","","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Belle8",5,"Tastes great alone or added to other food","I use this with fruit or I use it instead of sour cream on things like on tacos or chilie, cereal. Great tastingg product that I will keep repurchasing. A bit pricey but definitely delicious!",true
"R3S0755169ZKK5","B01HPW5PEQ","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"Mia",1,"I don’t like the flavor","I don’t like it at all the flavor it’s not goodfor Me .",true
"R1EGMJ6JI3IWCA","B01HPW5PEQ","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Mochi",5,"give it a try - you won't be disappointed!","This tastes great and less tart than other unsweetened non-dairy yogurts. Has a hint of delicious coconut flavor. Would definitely recommend!",true
"R27FNYBN1NVFFA","B01HPW5PEQ","","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Ms B",3,"ok but not great","I like that it's unsweetened, but the texture is very runny and clumpy and the taste is pretty sour.It's okay for mixing with cereal but there is also an awful lot of saturated fat in it.I prefer the kite hill plain for general yogurt usage, or harmless harvest if I want coconut.",true
"R34DL1LNLYY3B8","B01HPW5PEQ","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"AS",5,"Good quality","Not too sweet",true
"RT4OAEYINH7HS","B01HPW5PEQ","","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"W",5,"Non Dairy YogurtCoconut milk -based, YES!","Excellent Coconut milk-based Yogurt still with active cultures.Much easier on the gut than dairy. My absolute favorite yogurt with a tartness of plain & unsweetened.Even good on baked potatoes replacing dairy-sour cream. Yum.",true
"R23K6YAW13E2QO","B01HPW5PEQ","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Khoupradit Fam",1,"Bland....","It isn't my yogurt of choice, I enjoy harmless harvest coconut yogurt.",true
"R1POMQKX8ZUCSP","B01HPW5PEQ","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Natasha Redding",5,"Plain taste. no crazy weird sugars!!","This is the only dairy free yogurt that doesn’t have sugar that I can find anywhere. I want some thing that doesn’t have a lot of sweet flavor. I use it mostly for taking pills and medication. It’s awesome!!",true
"R208I5PWREVH4H","B01HPW5PEQ","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Amazon Customer",1,"So Deliscious yogurt is tasteless","Very bland..tasteless..",true
"R2G70TADDOCHTM","B01HPW5PEQ","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"Cheryl Bowden",5,".I used it in all of my dips for a party and it tastes so much better in dips then greek yogurt.","I bought this by accident. I thought it was greek yogurt. I used it in all of my dips for a party and it tastes so much better in dips then greek yogurt. This stuff is amazing in dip! Definitely an amazing yogurt alternative.This stuff is 10 better!!!!",true
"R3SZZCYSNMU0SK","B01HPW5PEQ","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Lazara Sarria",5,"Rapidez de entrega y buen producto","Espectacular buen sabor y excelente inversión",true
"RXZSH45QRS0R6","B01HPW5PEQ","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"laura m naughton",5,"A great foundation for a healthy snack!","This UNSWEETENED yogurt is a great foundation for a healthy snack.Drizzle a bit of honey, add raisins, and (when in season) top with fresh blueberries.A delicious treat!",true
"R3QVYE7Z9RYHVN","B01HPW5PEQ","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Christopher E Reis",4,"Great for calories","Pleasant texture",true
"R2MSW5V73HTAS3","B01HPW5PEQ","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"MochaJoe",5,"I love it.","I love this stuff. Great in smoothies, my primary use. The coconut flavor shines through, so if you are looking for a neutral vegetarian substitute for yogurt, I would suggest oatmilk instead.",true
"R3K6E5V34DLDV6","B01HPW5PEQ","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"INF",5,"Little Sugar - brilliant!","I think rice starch is better than potato starch, regarding diabetics. So good.And only 1% added sugar.",true
"R3JSRXLC29DUF9","B01HPW5PEQ","","Reviewed in the United States on May 1, 2021","May 1, 2021",1619848800,"Krista",4,"Pretty good.","A little more watery of a consistency then I was expecting but the flavor was good. It's a bit pricey but when you have a milk sensitivity, everything seems to be.",true
