"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3U2YWJYXWI8OL","B01HXZ03SI","","Reviewed in the United States on September 9, 2019","September 9, 2019",1568008800,"S",5,"Yummy","My kids love it. And to the person who said it made her 7 month old throw up, you aren’t supposed to give babies that young flavored yoghurt, you’re supposed to give them plain unsweetened. My 3 year old downs these like there’s no tomorrow.",true
"R33M2HCXPOVQ78","B01HXZ03SI","","Reviewed in the United States on June 24, 2019","June 24, 2019",1561356000,"CC",5,"One of my favorites","My favorite low sugar yogurt, tastes like greek!",true
"R13AG1IZ615AVO","B01HXZ03SI","","Reviewed in the United States on May 24, 2019","May 24, 2019",1558677600,"Ariella",5,"Tastes good","Yum",true
"R164SC5T1VG6LL","B01HXZ03SI","","Reviewed in the United States on February 10, 2019","February 10, 2019",1549782000,"R Jaffe",5,"Great product, poor labeling","Our son really loves this yogurt, especially the apple.The issue is that the packaging is very unclear visually as to which is the blueberry and which is the apple.You have to read the 9-point font at the bottom to see the actual flavor of each little container.Makes for some unhappy breakfast moments!",true
"R1H419BLF0PEQS","B01HXZ03SI","","Reviewed in the United States on January 15, 2019","January 15, 2019",1547535600,"MayaStein",1,"Hair inside of it!","This is completely disgusting. I also reached the company to tell them what I found inside of their yourgut.",true
"R3R1VHZL9OJL9X","B01HXZ03SI","","Reviewed in the United States on September 26, 2018","September 26, 2018",1537941600,"aweinste ",1,"Made my baby threw up","I made the huge mistake of giving this to my 7mo baby. He threw up less than 1h after having 5 baby spoons of it. It was the first time he ever threw up and I felt terrible for him. At first, after this happened, I thought he was lactose intolerant, but a couple days after I had one of the left over yogurts and this time I threw up after 1 hour. I wonder if it went bad during transportation or if sometime before it got to my address it spent too much time out of the refrigerator. Never buying again.",true
"R10PK2B7R4PV79","B01HXZ03SI","","Reviewed in the United States on April 22, 2018","April 22, 2018",1524376800,"JWalker",5,"Five Stars","Been buying these a while. A staple in our kitchen.",true
"R32UYJ34GP96EF","B01HXZ03SI","","Reviewed in the United States on March 4, 2018","March 4, 2018",1520146800,"Z",1,"Brown stuff in the yogurt","My LO loved this yogurt however the last time I bought it, there was some brown stuff at the bottom of the cup, it was a thick layer, too.. Very disappointing. Now, I buy him Yokids.",true
"RBLBQYG6UP7DC","B01HXZ03SI","","Reviewed in the United States on January 24, 2018","January 24, 2018",1516777200,"mmesa",5,"Five Stars","Great value for the price. Thank you Amazon Fresh!",true
"RFHJCIYJ1A50B","B01HXZ03SI","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Sameena",1,"Not real yogurt","Doesn't even taste like real yogurt... baby like it but I ended up tasting it one day and it tastes like gel mixed in yogurt. Doesn't feel organic or real yogurt at all",true
"R1MI87OJREYOIY","B01HXZ03SI","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"J",4,"Good","Good taste but I had one that was watery. The rest were good and had to stir the watery one. Wish the expiration date was longer though",true
"R1GL456LIRT3II","B01HXZ03SI","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Divina Thrasher",3,"Too much sugar","Way too much sugar in these.",true
"RLKJB708OLUJS","B01HXZ03SI","","Reviewed in the United States on November 30, 2020","November 30, 2020",1606719600,"Zoey",5,"Great baby yogurt","My little one likes this yogurt!",true
"R3CMTR8NDA6AZR","B01HXZ03SI","","Reviewed in the United States on November 20, 2020","November 20, 2020",1605855600,"Zara",5,"Good","Apparently its the only yogurt that has a title on it ""baby yogurt"" that I've found 😅 our little one seems like it.",true
"R1CG5QO1GD0171","B01HXZ03SI","","Reviewed in the United States on October 25, 2020","October 25, 2020",1603605600,"elisa ",2,"Overpriced","Too Expensive overpriced for babiesYou can get it somewhere else 3.67 or less.",true
"R2DG2OPHLN98CF","B01HXZ03SI","","Reviewed in the United States on October 6, 2020","October 6, 2020",1601964000,"Nishant",5,"Yummy","My kid loves it, not very sweet but yummy.",true
"R2GZFTA7TK2B5B","B01HXZ03SI","","Reviewed in the United States on September 23, 2020","September 23, 2020",1600840800,"cava",5,"It is our favorite yogurt!","It has been our family's favorite yogurt! It has hint of flavor and we love this because its not too sweet/overpowering like other flavored yogurts.",true
"R2W2RUBZOLCD1P","B01HXZ03SI","","Reviewed in the United States on September 18, 2020","September 18, 2020",1600408800,"Onlyme",5,"Yummy yogurt","My toddler likes this yogurt i wish they sold the apple flavor alone. I only recieved 2 and not 6 cups but im not mad maybe they ran out and someone figured aww their baby probably needs this to eat. 🤷🏽‍♀️ Better than nothing.",true
"R362L7G28X9WRV","B01HXZ03SI","","Reviewed in the United States on February 7, 2020","February 7, 2020",1581058800,"Janie",5,"Perfect to get started with foods!","One of the first things my babies would eat! They both started at 6 months and love them for breakfast!",true
