"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R8D8IWY5F53J3","B01KNZ4QEC","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"Jiwoo",4,"Good","It’s softer than my expect.But I liked it. Especially, less sugar",true
"R2IVB7F02I5ZH0","B01KNZ4QEC","","Reviewed in the United States on January 6, 2021","January 6, 2021",1609916400,"David Moore",5,"Simple and Good","Perfect for mixing with a lot of things. I like to add a little sweetener but this is a high quality yogurt and it never disappoints.",true
"RDE44N37WT8A0","B01KNZ4QEC","","Reviewed in the United States on January 2, 2021","January 2, 2021",1609570800,"Claire B.",4,"PAY ATTENTION TO THE LABEL- IT IS STRAINED yogurt, AS IN GREEK yogurt!!!","If you like strained thick very heavy Greek yogurts this is your guy. Super heavy and feels like heavy sour cream.Not my thing to begin with but I give four start for good ingredients and caring, however not organic so not five stars.I can not stand Greek yogurts because they are too heavy. I prefer normal yogurts that are easier to digest andare not as bulky.This particular yogurt is brutally calories packed compared to other ones that are plain non greek style but are also organic.If you compare this yogurt that packs 230 calories in8 oz serving toStonyfield organic that has160 calories in8 oz serving orStonyfield Organic Plain Lowfat Yogurtthat has 110 calories in the same serving sizeor any other NON GREEK NON STRAINED type thenit is really mind blowing how heavy and fat packed this one is.I know that many people out there seek the fat content and the protein content so that might be right for you.However if you are in the calorie control group that seek filling yogurt without overpacking in fat thenthose other options might be better choice.I bought it once to try and I am not going to come back to this particular style, if they will offer NON Greek,plain yogurt and ORGANIC then I will be happy to revisit.",false
"R9J1ZC7LEYQ69","B01KNZ4QEC","","Reviewed in the United States on December 17, 2020","December 17, 2020",1608188400,"Anne Midas",5,"Healthy yogurt","The very best yogurt ever",true
"R10246WSTIYKUA","B01KNZ4QEC","","Reviewed in the United States on December 7, 2020","December 7, 2020",1607324400,"Geekymomreviews",5,"Real deal! Enjoy as is or as starter!","I made my yogurt from scratch and this is the only brand which delivers results perfectly as a starter! Also prooves it has no additives and is a real deal!In case you want to make yogurt from scratch here is a quick tip ( internet must be full of them too). Boil the milk, let is cool down to the temperature of 95-110F where a pinky finger ( washed and clean of course) just feel warm. Add a teaspoon of your starter yogurt, and leave it overnight. If you live in colder climate, do how you would proof a bread overnight ( breadproof option in oven/covered with hot wet towel in microwave or in oven with light on). Next morning keep it in fridge to set or if you making sour yougurt for a recipe, leave it be for some more time..You can use the yogurt again for next batch. ( I have upto 8 times when I am lucky!)No additives, no funky preservatives, gelatin or stickiness as if contaminated by some fungi. (I read microbiology as my major). This is the only yogurt I would use as is, or as a starter. Hope you'll try homemade yogurt from Siggi. Feel free to ask if any questions..",true
"RAUUIO04WR3SZ","B01KNZ4QEC","","Reviewed in the United States on October 20, 2020","October 20, 2020",1603173600,"TheAmazoncustomer",5,"👌🏼","My fav",true
"RBNPICB7U1NHO","B01KNZ4QEC","","Reviewed in the United States on October 6, 2020","October 6, 2020",1601964000,"Liz O",3,"Good taste, bad package","The taste was good, it's thick enough to be a great substitute for sour cream. I use it in recipes. However, the lid does not stay on tightly which is really annoying.",true
"R12FVTOTWLGFS1","B01KNZ4QEC","","Reviewed in the United States on September 19, 2020","September 19, 2020",1600495200,"Maria Espinosa",5,"Calidad","Bueno",true
"R3CPAN374729YP","B01KNZ4QEC","","Reviewed in the United States on August 1, 2020","August 1, 2020",1596261600,"Amazon Customer",5,"Great thick yogurt","Great thick yogurt",true
"R1AW0YXCL102K7","B01KNZ4QEC","","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"handofgod",4,"good but has flaws","Ok technically it is one the best yogurt as it is pretty dense compared to other yogurt, has high protein, less sugar and no high fructose corn syrup but there are some issues too.- Not 100% grass-fed- Doesn't say Non-GMO- I had discomfort after eating the yogurt meaning the milk doesn't come from exclusive A2A2 cows. I am not lactose intolerant but I am allergic to A1 beta-casein and I can tell easily as my stomach is very sensitive.",false
