"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3AUO8W0DJ6JVX","B01M4HFCJM","","Reviewed in the United States on July 18, 2021","July 18, 2021",1626588000,"D. B.",5,"Delicious! Tastes just as good as Nutella","This is everything I hoped it would be - rich, smooth, thick, chocolatey goodness.Not at all grainy as some other chocolate hazelnut butters are.Probably if you tried it side-by-side with Nutella, you could tell the difference, but I'm not sure...it's awfully close, maybe better!",true
"R1BTZCG6VRLQJB","B01M4HFCJM","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Funklord",4,"Dairy-free options are never THIS good","I did a blind taste test with a couple friends to find a Nutella replacement that didn't use palm oil (for ethics/sustainabilty reasons). The four of us came to a nearly perfect consensus. We didn't directly compare against ""real"" Nutella directly but picked the ones we thought were closest.Surprisingly close to the dairy-full Nocciolata option, just a bit less creamy and sweet than the genuine article. Has a type of sweetness that's unique but we couldn't really put our finger on why. One tester described as having hints of an ice cream ""cake cone"". We noted that this option could have been 100% Vegan except for the sugar used, which was not specifically identified as such.Even though this one came out 4th, it's still delicious and if you're dairy free it's an incredible option. The overall ranking of our five sampled products was:1-Caffarel Hazelnut Creations Cremosa2-Nocciolata w/ Cocoa and milk3-Caffarel Gianduia Cream Hazelnut Spread4-Nocciolata Dairy Free5-Good Galaxy Hazelnutty",true
"R2AHXXUFLZ9S41","B01M4HFCJM","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"MFrank",5,"No Palm Oil","The best, no palm oils, recommended.",true
"RQZ447UB17JNX","B01M4HFCJM","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Kindle Customer",5,"So much better than nutella","This is like nutella but way better. Way mor expensive too but if you use it sparingly like you are supposed to (lol) then it's great.",true
"RZJS5SQ6NZREU","B01M4HFCJM","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Carol B.",5,"Heavenly on a croissant or my fingers","Omg try it on a warm croissant...",true
"R1VM8ZC7GAF8JM","B01M4HFCJM","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"jacqueline b.",5,"Price","As I like it so much as it does not have palm oil known to be cancerigenous and affects orangutans I cannot buy it often because high price...I will look for this product near me..In the mean time I will continue buying from you",true
"RX0GAAH5EXJK4","B01M4HFCJM","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"Marmolejo",5,"Better than Nutella","If you’re lactose or just avoiding dairy but want some super good flavortastic spread THIS IS IT ! Absolutely love this and I could argue it is way better tasting than Nutella. So don’t just think about it GET IT !",true
"R3PNR53GA48QA6","B01M4HFCJM","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Michael Breitenstein",5,"Most delicious thing ever ….Forget Nutella","Fantastic taste , delicious all around ….try it on ice cream , waffles, toast or just a small spoon full in your mouth .The flavor is wonderfully satisfying .",true
"R2N2W9ODYGCL9O","B01M4HFCJM","","Reviewed in the United States on June 3, 2021","June 3, 2021",1622700000,"Mohamad Zein",5,"This is almost better than Nutella!!","So freaking good",true
"RRURG5TZU3Y0S","B01M4HFCJM","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Iloveamazon",5,"Yes and yes buy this.","Bye bye Nutella! Stoked about this, a clean dairy free version of my childhood fav. This is soooo good!",true
"R3VGVN75R7RY1T","B01M4HFCJM","","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"anon",5,"So good!","I’m obsessed, this is so much better than Nutella and dairy/palm free! I’m so happy I found this. I eat it by the spoonful. 😛Amazing price point too!",false
"R14TUDOFRJ233E","B01M4HFCJM","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Debbie",5,"Súper rica","Me encanto súper rica",true
"R3P7NUBS81UD4F","B01M4HFCJM","","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"Busy Bee",5,"Best tasting vegan Italian chocolate spread!!","This is amazing! Taste better then Nutella for all those foodies who want a dairy free Better tasting option!!",true
"R14WURLIKYV0G3","B01M4HFCJM","","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"Amazon Customer",5,"Soooo goood!!","I’ve always loved Nutella but I know it’s not good for you, especially because of the palm oil (recall in 2017).This is a fantastic alternative! I’m really happy I found it.",true
"R30X2Q7CF0109V","B01M4HFCJM","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"pickyshopper",4,"More dark chocolate than hazelnut","This is one very good.I LOVE this brand.Seriously the non-dairy free one is addictive.This one has less of a hazelnut flavor though and definitely more rich and dark chocolate tasting than the other one.My husband prefers this one since he's not a hazelnut fan.I like the other one better.Please carry the bianca so that I can try that one too.",false
"R14PTUMK80FORQ","B01M4HFCJM","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Kayla",5,"Vegan nutella","Taste just like nutella! i loove it!! wish it was cheaper tho.",true
"R1VQJNTT3K44N3","B01M4HFCJM","","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Aloha",5,"Close to nutella","This is close to nutella. I will buy it again.",true
"RNFOGA8PFFRC9","B01M4HFCJM","","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Lo",5,"way better than nutella","I like that it's not too sweet. I just have a spoonful for dessert",true
"RX9YNA0H6SD4","B01M4HFCJM","","Reviewed in the United States on July 24, 2021","July 24, 2021",1627106400,"Sam Smith",1,"Contains soy","Very upset I wasted money for this product that I cannot have. Falsely advertised ingredients which is horrible for people who have serious allergies. It has soy lethicin NOT sunflower lethicin.",true
