"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R239HD8E8AXPE5","B01M5K1APR","","Reviewed in the United States on October 2, 2020","October 2, 2020",1601618400,"lena lowry",5,"Delicious","I don’t like yogurt but these were good!",true
"R2LMQOAWHOC0Q4","B01M5K1APR","","Reviewed in the United States on August 22, 2020","August 22, 2020",1598076000,"Erik santis",5,"come on time.","product was in good condition",true
"R2NDDKMME4ZY6","B01M5K1APR","","Reviewed in the United States on July 25, 2020","July 25, 2020",1595656800,"Ifyoulikepinacoladas",1,"Nope","Yuck. I love chobani. Big fan. But this s’mores was nothing like a s’mores and will not buy again.",true
"R3S1I0ALF433T0","B01M5K1APR","","Reviewed in the United States on July 25, 2020","July 25, 2020",1595656800,"DesignerNJ",1,"Run, Don’t walk away from this yogurt","Awful. It was so sweet, not even my kids liked it. The “s’mores” pieces that you flip in tasted like actual sugar crystals, which made the texture crunch like eating sweet sand.",true
"R2LKFYTMGDAZ75","B01M5K1APR","","Reviewed in the United States on July 6, 2020","July 6, 2020",1594015200,"Peggy Ellis",5,"Makes good snack","It's good",true
"RQT7BXZC1HH34","B01M5K1APR","","Reviewed in the United States on June 14, 2020","June 14, 2020",1592114400,"K T",5,"S’mores and yogurt","My favourite yogurt ever!",true
"R1JYGU1DNMLPPK","B01M5K1APR","","Reviewed in the United States on June 9, 2020","June 9, 2020",1591682400,"Grace 555",4,"AWESOME JUST TOO MUCH SUGAR CONTENT","Something in the ingredients (for smores) was too hard.But we love flips and wish for a variety ofFlip optionswould like to purchase larger amounts( varity packs also) in a caseNeeds much less sugar",true
"R3BGC3DUMD8INJ","B01M5K1APR","","Reviewed in the United States on February 6, 2020","February 6, 2020",1580972400,"Jeneffer Galvan",5,"Awesome!","I think I’ve found my perfect go to desert. I find it difficult to find good Greek yogurt, but this is really good. Not sweet coming from someone who snacks on a whole chocolate bar. This helps my chocolate cravings because I am “trying” to eat well. Great price too!",true
"R1JQT2R3Y3MZPV","B01M5K1APR","","Reviewed in the United States on November 27, 2019","November 27, 2019",1574838000,"Neha Rao",5,"Delicious","I’m gonna be real with you. This stuff isn’t healthy at all because of the sugar. But god is it a delicious snack lol. I just wish they cut out using palm oil and soy as fillers. Then again you can always choose plain old green yogurt but I say live a little.",false
"R2RCF5MMNMYO98","B01M5K1APR","","Reviewed in the United States on October 22, 2019","October 22, 2019",1571724000,"Alyssa Sperrazza",5,"Best flavor","I’ve tried a lot of different flavors and this one has to be my favorite. It taste really good and is a perfect on the go snack. Came in a cold pack bag which was perfect.",true
"RAWGJVT3CR3RS","B01M5K1APR","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Joanystar",5,"Chobani yogurt is delish!","I love Chobani S’mores.They give you extra treats & flavor, to jazz up your yogurt.",true
"R2D6MYD3FLRFUK","B01M5K1APR","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"JACKIEF46",5,"Limit food review","Amazon I cannot write a review 😫 for every chabani,there all good and tasty",true
"R25WQNDTSON3GP","B01M5K1APR","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"kyle i.",5,"Excellent Snack","Love Chobani Flips",true
"R1M7INDYVRFHH1","B01M5K1APR","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Diane Jones -Smith",3,"Too 🧁 sweet","To 🧁 sweet",true
"R1IGM3OZHFR3YR","B01M5K1APR","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"H.C",5,"Honestly addicted to this yogurt","Its REALLY good, the chocolate and graham cracker bits make you forget you're eating Greek yogurt. This is like the only yogurt I buy lately.",true
"R21BSDVK9ZNXE4","B01M5K1APR","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"IMO",5,"Like a Dessert But Healthier","Well, I say it's healthier but I haven't really read the label. It tastes good. I'm glad I finally figured out that you can been the smaller part of the container to pour the crunchy stuff right into the yogurt. Duh. It says ""Flip.""",true
"R2SSXI8JHVKEU7","B01M5K1APR","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"Jackie",4,"Nice treat...","Good stuff ... not as much marshmallow taste as I like, but very good.",true
"R2CWPA1BO8XZYV","B01M5K1APR","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"als.josh",5,"the best yogurt","all flavors have been great - just depends on your preference",true
"R2I231XVMQYKGZ","B01M5K1APR","","Reviewed in the United States on January 23, 2021","January 23, 2021",1611385200,"Christina",5,"Sweet treat","SUCH a great buy. Yogurt is delicious and the mix-ins are just right.",true
"R2HK1VLIKWKF3G","B01M5K1APR","","Reviewed in the United States on December 8, 2020","December 8, 2020",1607410800,"Amazon Customer",5,"Tastes great!","Just like s'mores, but less fun.",true
