"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2K72OI587NY2T","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"SaraA",5,"Best flavor","My family has come to love this flavor but it’s very hard to find in a traditional grocery/mass store anymore so have to buy online. They are pricier than when I could buy at the grocery but it’s worth the extra money for me as protein bars that everyone loves are hard to find.",true
"R17F593WDI3GS0","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"JANE M SMITH ",5,"Yummy","These are the best! I have been looking for these for a while,was surprised to find them here. These are a well balanced with protein, fat and carbs. Great in-between meals to eat.I wish they would get the get the caramel nut flavor in stocks. But this flavor is very delish!",true
"R1OWC7ZKB0OALE","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Mom of 3.... Watson’s! ",2,"Alright","They were really hard to chew & they were not fresh. I have ate the Peanut Butter ones for years & tried a new flavor but wasn’t WOW’d by them. Had they not been so difficult to chew I would have probably ate them eventually but I did pack them for my husband who will eat anything (but he loves the PB ones and eats them everyday for breakfast on his way to base.) I packed this flavor for him & he usually tells me at night if he doesn’t want a specific item in his lunches again but for these he sent me a message and said never pack them bars again if we don’t have PB just don’t pack those bars!",true
"R3DBKC1M3E2VWP","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"cherrypie",5,"Great!","My elderly mother (93) loves these. We try to get extra protein into her and she thinks she is eating peanut butter fudge.",true
"RT80ZC067NVF8","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"justagal",1,"Beware: received new package with product spoiled","I've been ordering these for years (make a great breakfast) and just got a 3pack where all the bars look like the pic. I tasted one without looking and thought that tasted weird, then took a good look at it - it is discolored and misshapen, and if it had melted and reformed. Opened all 3 boxes, and the same is true for all the bars. I don't know if this is a factory problem, or Amazon stored them incorrectly (it is not hot here, and they did not sit on my doorstep), but they are inedible and disgusting. Amazon refunded but i won't be buying them again anytime soon",true
"R2KCSB6JDGUD5O","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Tammie",5,"Love these bars","We started buying these years ago to take for snacks on mountain bike rides.Liked them so much, we have continued to keep them in the pantry for daily snacks",true
"R3EUSWRI08BCRY","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Lyn Poulter",5,"Love them","Really like these bars when rushing to work out, totally fills me up!",true
"ROS7KX3RO2VFP","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Ann Muscarella",5,"I could find what I was looking for!","So Happy you had the product I was looking for!A little higher price point than what I had found in the past.",true
"R2K6X05662TK01","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Leah J",5,"Price & availability perfection","Best deal on these bars that I can't find.in Amy grocery store anymore.",true
"R1PQ76C2GTCBIE","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"Amazon Customer",3,"6 boxes out of date!","After eating several bars, and wondering why they were so stale and hard, we found that they were out of date by 2 months!! Sad because we buy them all the time!!",true
"R2Y9KP982NA0KR","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Natural Complainer",5,"Not too sweet","These are my absolute favorite protein bars. All the my local grocery stores stopped carrying them. They’re much more expensive on Amazon.They’re not too sweet and have just the right amount of carbs/protein for me.",true
"RVF7IHEON440D","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on May 1, 2021","May 1, 2021",1619848800,"Alisha Grady",5,"Delicious","Love balance bars",true
"R7AWHZ90JMBE0","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"Carol Kennedy",5,"My Go-to Protein Bar Choice","I buy a ton of these. High protein content. As protein bars go, are consistently the most edible and least-icky. Especially great for taking morning meds.",true
"R12DB7XRQFCVHN","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Amazon Customer",1,"Good for retreading your tires","Normally, the Yogurt Honey Peanut bars are delicious, but I knew I was ""in trouble"" as soon as I saw the expiration date.The date had not passed, but it is within a few weeks from receiving the items.For comparison, when purchased from a grocery store, the expiration date was well over a year out.But, I decided to try them anyway.They were slightly discolored, but the main problem was that I could literally not chew through these bars.I had ordered 3 boxes, so I open a bar from another box.Same problem.The bars were so hard that they could easily damage healthy teeth.Very disappointed.Given some of the positive reviews, I suppose your mileage may vary.But if need to drive a long distance, re-tread your tires with these bars, and your tires will last longer than your engine.",true
"R1FVISFWDAYQDS","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"Tim O",2,"Product expired less the 30 days from purchase","I was shipped product that expired less than 30 days from the date I placed my order. I was used as a way to clear out their old inventory. Buy beware",true
"R12828V2V5C6QF","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"Loretta R Paine",5,"Flavor","I like the flavor and this bar is filling enough to use as a meal replacement",true
"R3OVP46ZTR2COX","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Rebecca",5,"This product helps to maintain hormone levels when eating a light meal is not possible.","The yogurt honey nut balance is light on the stomach and portable for convenience.Helps to keep you on the go.",true
"RMLB5DJXQA3N3","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on March 31, 2021","March 31, 2021",1617170400,"Teresa ",5,"Better Than Most!","Has a very natural and palatable taste unlike other protein bars that have a very artificial or manufactured taste.",true
"R318LEJC4JYK52","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Amazon Customer",5,"Best protein bar","Best protein bar! I love this balance protein bar it’s great taste and gives you that boost proteins that you need!",true
"R1PN0AOTOH1D2R","B01M7YXBL2","B01M7YXBL2","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Ted",4,"Good","Always a good value and taste",true
