"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RVCOZ81X1FXVF","B01MSCP4XB","B00BJDXCIO","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Karen Beth",1,"Perfect on the go snack!","I like the snack size, easy on the go package.My grandkids love them.",true
"R3QB1GPE3FAU64","B01MSCP4XB","B08XYD4SFW","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Sally",5,"Small box","Perfect size for little ones.",true
"R1HL7L1JUMGZQV","B01MSCP4XB","B0855D9ZTJ","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"ronnie nutt",1,"Very Disappointed","Got only two packs of 3 small raisins with yogurt where in the past I got 6 little boxes in each package. I feel misrepresented and noway would have paid almost $14.00 for 6 mini boxes like this.Very disappointing that Amazon allows this to happen!!!!!’",true
"R2WN7O2LOP40Y2","B01MSCP4XB","B0855D9ZTJ","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"Eunice wilson",1,"Wear is the rest of my raisin","I've only got 3 individual boxes wear is the rest of them I'm not going to pay that much for 3 individual boxes",true
"RM6KBM4VIHPS","B01MSCP4XB","B0855D9ZTJ","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"vincent pileggi",1,"order incomplete","i only got three one ounce boxes in a tiny bag whats up with that",true
"R31ARZJ0H1SXQ1","B01MSCP4XB","B012EW74EQ","Reviewed in the United States on April 19, 2021","April 19, 2021",1618812000,"Bratty1",5,"Yummy","Delicious",true
"R3V043JPYDQGMN","B01MSCP4XB","B07J3B5PYQ","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Ronnie",5,"Tasty","Juicy raisin with dark chocolate flavor",true
"R3HIJ26ICGL7SA","B01MSCP4XB","B00O01UA0U","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"bobbie lange",5,"Good deal","Bland taste",true
"R3D35N9OEBLZQF","B01MSCP4XB","B0833BTJVP","Reviewed in the United States on March 8, 2021","March 8, 2021",1615186800,"Ronnie",5,"Very delicious","A little bit of chocolate flavor ( sea salt and caramel most common chocolate flavor after the original flavor) mixes with juicy raisins.Makes break time relaxing",true
"R1K8WC0PFBF90C","B01MSCP4XB","B00BJDXCIO","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Michael P.",1,"Wrong","One bag was plain raisins. Big boo.",true
"R1SPXWCXH5C04G","B01MSCP4XB","B00O01UA0U","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Mrhappy",4,"Loved them! Paid too much though.","Cost too much for what I got.",true
"R1JCGE004EX063","B01MSCP4XB","B01MSCP4XB","Reviewed in the United States on August 30, 2021","August 30, 2021",1630303200,"Julie",1,"TEENY BOXES","GUESS I DIDNT READ THE FINE PRINT BUT I DIDNT THINK I WOULD HAVE TO WITH A SUNMAID PRODUCT.SO OVERPRICED.AND MELTED.",true
"R2A5WVVN7LI052","B01MSCP4XB","B00O01UA0U","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"M",5,"A must have staple for your pantry!","A favorite @ my house!",true
"R39I6Q1E117M","B01MSCP4XB","B0855D9ZTJ","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"Pink Lily",1,"WARNING","Advertised as 3 packages of a 6 box pack, which ould be 18 boxes for already a high price. You get 3 small boxes, only half of the one 6 pack. SCAM!!!",false
"R371CAJJU4MF5P","B01MSCP4XB","B00BJDXCIO","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Amazon Customer",1,"Tiny","Tiny boxes. Tiny bags.",true
"R2F7FE1E63CBB","B01MSCP4XB","B01MSCP4XB","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Adrienne",1,"Too sweet","Too sweet",true
"R3V456QXQ2RCKK","B01MSCP4XB","B00O01UA0U","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Paulo Moraes",5,"N/A","Flavor",true
"R3QWF6XDJ92GMQ","B01MSCP4XB","B00O01UA0U","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"donna woffard",2,"Too Sweet","To sweet, Ilike the idea of the yogurt covered raisins but this too sweet. Good Luck!",true
"R2POLGX1V1KX8F","B01MSCP4XB","B0855D9ZTJ","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"fieldhockey22",5,"Ate too many","Delicious",true
"R2M57DBMAXXLMA","B01MSCP4XB","B0833BTJVP","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"CSabin",2,"Arrived Melted together","The raisins themselves are great, but it was shipped in a plastic envelope instead of a box, so they were melted together.Won't order again.",true
