"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2YLMAXEL9HR9","B01NBRYXYE","B00N1GG36U","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"Elizabeth Darling",5,"Awesome snack. Highly recommended.","Excellent product. Very fast ship. Item arrived in perfect condition. Will definitely be doing business with y'all again. Highly recommended!!!",true
"R2XJNM962QB4V7","B01NBRYXYE","B01NBRYXYE","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"Beth L. Langley",5,"Awesome!","Best tasting yogurt covered raisins I have had in a long time!",true
"RHLBPCJX8FHOS","B01NBRYXYE","B01NBSAI0T","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"Ironhead",1,"Would not order again","Product was deteriorated by the time I received order 2 weeks",true
"R1WNLN7RDB1Q08","B01NBRYXYE","B01GEM2AZU","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"Debra Lopez",1,"Disappointed","There are a ton of chocolate covered coffee beans mixed in, and I do not like them at all, did not like this product at all.",true
"R3N200H6ENSN5Y","B01NBRYXYE","B01GEM2B2W","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"D. Fadden",2,"Cheap chocolate","I have tried three different brands of dark chocolate covered raisins. These are not as good as the others I’ve had.The chocolate is too sweet—like milk chocolate.It almost tastes like cheap Easter bunny chocolate.Or not chocolate at all. Sorry I ordered.",true
"R1VNT2FROTVU82","B01NBRYXYE","B00N1GG36U","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"Claudia E. Gardner",1,"product content does not taste as advertised","This product was terribly disappointing.Outer coating does not taste like DARK chocolate.Inner content does not look or taste like a raisin....it's chopped up something.I've purchased several Dark Chocolate covered Raisins in the past, several from Amazon.This product was nothing like those I've purchased in the past.There is no rating low enough for any of the categories above. It' a crime for it not to be returnable.p.s. My favorite offering was labeled ""Dark Chocolate Covered Raisins"" , last ordered on May 24 this year.For some reason it seems no longer available.",true
"R8SW7VCFSFPIR","B01NBRYXYE","B01GEM2AZU","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"S. Mendoza",5,"Great product","Great product",true
"R1MBPBP11MHW7A","B01NBRYXYE","B01GEM2AZU","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"Larry R.",1,"There were chocolate covered coffee beans mixed in","I will never order these again. This product also contained chocolate covered coffee beans.Adding to the insult was the fact that they were not returnable Don’t buy",true
"RT7MNG4VA4IQN","B01NBRYXYE","B01GEM2BFO","Reviewed in the United States on June 10, 2021","June 10, 2021",1623304800,"Phyllis Copus",5,"Favor excellent and cost was very reasonable","Think the chocolate covered are very good.Packaging was great as was delivery.",true
"RJWQ2Z3DLUMDQ","B01NBRYXYE","B01GEM2BFO","Reviewed in the United States on May 24, 2021","May 24, 2021",1621836000,"Josefranciscodeodatti",5,"Gracias","Muy bueno gracias",true
"R1PEH85L6T26FZ","B01NBRYXYE","B01NBRYXYE","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"E. McDonough",5,"Sweet joy","Delicious and sweet. The best I have ever had",true
"R1BTU7SC5J0MPG","B01NBRYXYE","B01GEM2BFO","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Susan D Nelson",5,"They are very fresh.","They were very fresh and shipped with a cold pack so they didn’t melt.",true
"R2ME5BM1MU3G5V","B01NBRYXYE","B01GEM2BFO","Reviewed in the United States on September 9, 2021","September 9, 2021",1631167200,"Amazon Customer",4,"Yummy, although a little expensive. Your worth it so treat yourself !!!","I liked the milk chocolate and the superbly moist raisins",true
"R1B8101OZQ0LB1","B01NBRYXYE","B01N4LOIYB","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Warren Wasson",5,"Tasty","Came wrapped in a insulated bag with an ice pack. Good value and excellent flavor.",true
"R2ZQLKBR5NDFC","B01NBRYXYE","B01NBSAI0T","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"James L. Moore",1,"These are NOT Greek Yogurt - they are VERY sugary","I ordered the Greek Yogurt covered ones.Unfortunately, no nutritional label was provided in the listing, so I just assumed that's what they were.These claim to be a ""Greek yogurt flavored coating"" where the FIRST ingredient is sugar.In other words, they are NOT Greek yogurt covered.Greek yogurt is tangy, not sweet, and is a healthy snack.These are junk food candy, and they taste horrible.",true
"R2Q44KW34FODW0","B01NBRYXYE","B01N4LOIYB","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"barbara flanders",2,"Not worth buying","The coating was mostly off raisins.The raisins tasted pretty bad.The seller was kind enough to refund 15%.",true
"R3HTQM4JYOGRWG","B01NBRYXYE","B01GEM2BFO","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Dean Fox",3,"Seemed to be old and stale","Was disappointed by the taste and texture for the price.",true
"R2XXPN8H1P2C4Z","B01NBRYXYE","B01GEM2B2W","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"Omaredhead",1,"They arrived melted in one slab…very disappointed…they went to the TRASH!!!","Garbage…. Inedible!!!",true
