"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2EWD7ZMH8C5MX","B01NCZES6L","","Reviewed in the United States on September 2, 2021","September 2, 2021",1630562400,"C. Gutierrez",4,"Great product","I absolutely love this product.I loved the subscription option even better but canceled due to not receiving an order.",true
"R3L8OBQVAOTFKV","B01NCZES6L","","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"Ruth Martínez",5,"Me gusta","Me encanta su olor y textura,solo me lo he lavado un par de veces.",true
"RTV0RWXHI3MRU","B01NCZES6L","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"ElDee Heiner",2,"Great product but it was very expensive compared to the price at costco","We picked this product thinking that it was a big bottle but it wasn’t even half the size that I picked up from Sams Club",true
"R2KMYZOQ7VNOW4","B01NCZES6L","","Reviewed in the United States on June 13, 2021","June 13, 2021",1623564000,"Holly eastom",5,"Best conditioner ever","Love it it's the best conditioner lve ever usedit saved my dry damaged hair from breakage and frizz problems!",true
"R2DLE66SCVOU5D","B01NCZES6L","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Carmen McGhee",5,"Good for natural AA hair.","I am very happy with moisturizing affect this product has on natural African Anerican hair. It makes the hair soft and manageable without being greasy.",true
"R2YNXJX0IS9XVW","B01NCZES6L","","Reviewed in the United States on May 8, 2021","May 8, 2021",1620453600,"Susan d.",1,"Terrible","I don't like the scent but it doesn't condition the hair. You can't even run your fingers through your hair with the conditioner in.",true
"R2YKPFXYDG8G06","B01NCZES6L","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Oscar",5,"The best conditioner","Its not the most coconut I’ve smelled in a conditioner but it is the best conditioner I’ve ever used because it softens and moisturize your hair",true
"R9YSLB7XENKX2","B01NCZES6L","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Element 115",5,"Nice","Neat",true
"R2YS8F0JGBMARS","B01NCZES6L","","Reviewed in the United States on April 20, 2021","April 20, 2021",1618898400,"Amazon Customer",3,"hair conditioner","I love the product but almost every item from this company comes broken. this one the pump is completely missing",true
"R2MVIEWEBJWDD1","B01NCZES6L","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Obialije",3,"Good","Good",true
"R1EV433P6CTJBS","B01NCZES6L","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"L.H.",5,"Love","Love it. It moisturizes my hair and I like the coconut scent!",true
"R2GLY796F8VXVK","B01NCZES6L","","Reviewed in the United States on February 15, 2021","February 15, 2021",1613372400,"donna",2,"just eh","I have dry, curly hair and this just didn't provide any moisture and I had to use a lot of product",true
"R25QVY106RY75U","B01NCZES6L","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Peas",4,"Natural","Good",true
"R2DSVUYD12DJI1","B01NCZES6L","","Reviewed in the United States on December 15, 2020","December 15, 2020",1608015600,"stephanie",5,"Great company, love all their products","Hands down my favorite conditioner I’ve ever used. My hair loves it.",true
"R2MUP23SZ3KAK8","B01NCZES6L","","Reviewed in the United States on December 10, 2020","December 10, 2020",1607583600,"Christy",3,"Strong fragrance, moisturizing product","I really like this product line, but their strong scents get overwhelming for me. I’ve learned to purchase Shea Moisture shampoos & conditioners that list the “fragrance” near the end of the ingredient list, rather than near the top, as then the scent is not as strong.I purchased this one after looking at the ingredient list that is posted. Unfortunately when I received the bottle, I saw the ingredient list here is different than the one on the bottle. And as I suspected after smelling the conditioner, the ingredient list has fragrance as one of the top ingredients.I’ve emailed the company before, and even though their ingredient lists say the fragrance is an “essential oil blend,” it is actually a blend of fragrance with essential oils. So for those who are sensitive to fragrance, this is important to know.",true
"R2DI97LMJJZFTS","B01NCZES6L","","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"K Nichole",5,"Works really well as an ""everyday"" conditioner","So, the reason I put ""everyday"" in parenthesis is because I don't wash mine or my daughter's hair everyday. lol However, when I do, this conditioner works really well on her (my daughter's) long, curly hair. Her hair is like a 3a/b curl pattern and it's on the fine side so while I do like to use a deep conditioner at least once every few weeks, I don't like to use them every single time I washher hair because i feel it is a bit too much/heavy for her hair imo. This works great on her hair. I've had good luck with shea moisture products on her hair. It's one of my go-tos. I prefer shea moisture over Cantu products any day. The Cantu products are awful and drying on her hair. If you've been using Cantu products and are still struggling with dryness and stuff, I'd recommend trying out shea moisture instead.",false
"R3RF9QHTU34TO8","B01NCZES6L","","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"Jennifer L Greevy",1,"Waxy reside, stiff, cannot run fingers through","I have tried this product several times and each time I use it, I rinse VERY thoroughly.My hair is always greasy afterward and stiff.It’s disgusting- you cannot run your fingers through my hair.",false
"RX1J8VV5B2M7V","B01NCZES6L","","Reviewed in the United States on November 24, 2020","November 24, 2020",1606201200,"Meena",3,"Soft with nice fragnance","It looks good.. Soft and having nice fragnance.But it did not worked for my hair.",true
"R1OZ01PR5493R0","B01NCZES6L","","Reviewed in the United States on November 22, 2020","November 22, 2020",1606028400,"Destiny Decker",3,"Not great to detangle hair","If you need a conditioner to detangle your hair, this is not the one for you! I have curly hair and I only comb it in the shower, with conditioner. This is good for moisture but terrible for smooth, silky detanlge.",true
