"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R30DF2OJ79V8X3","B06VV87WDJ","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Amazon Customer",1,"BEWARE:Mold","I had this yogurt delivered from my local Whole Foods on Sunday. It's now Wednesday and I went to eat the yogurt and found mold. It's hard to see, but the lid lists an expiration date of 08/30/21. Mold before the product expires? Not cheap yogurt to be wasted.",true
"R3PJXLA04QZG71","B06VV87WDJ","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Emma",5,"Strawberrylicious!","I prefer the strawberry flavor! It tastes good and does not leave an aftertaste as opposed to other flavors available with this brand.",true
"R2DUUL8YB8KYMI","B06VV87WDJ","","Reviewed in the United States on May 30, 2021","May 30, 2021",1622354400,"J. Adler",4,"Look at expiration dates.","The expiration dates mean something.Even a day or two past, expired ones tend to grow mold.",true
"R37J2WCFIBHUVZ","B06VV87WDJ","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Rachel M",5,"Even better than regular yogurt","Delicious and creamy!",true
"R3MB1NJ5JR6P8Z","B06VV87WDJ","","Reviewed in the United States on February 24, 2021","February 24, 2021",1614150000,"Li",5,"FAVORITE VEGAN YOGURT!","This is our family's favorite yogurt.We have tried all the other brands and this is closest to the regular dairy yogurt that we had growing up.Strawberry is our favorite. Perfect amount of tartness and you get small strawberry chunks.",true
"R369E24R2LP97H","B06VV87WDJ","","Reviewed in the United States on February 11, 2021","February 11, 2021",1613026800,"marcela Aguilar",5,"Sano","Delicioso",true
"R281TDBGJ3IHC3","B06VV87WDJ","","Reviewed in the United States on January 23, 2021","January 23, 2021",1611385200,"Jappad",5,"Yummy","These are a favorite with my teen.He thinks they am taste great!",true
"R3S8CPE0HUI5Z5","B06VV87WDJ","","Reviewed in the United States on January 18, 2021","January 18, 2021",1610953200,"Rebecca Carter",2,"Not bad but wouldn't buy again","Consistency is a bit thinner then regular yogurt but not too bad. Its not bitter at all very sweet actually but the strawberry flavor doesn't taste real it has a very strong chemical taste. It wasn't horrible but not desirable at all.",false
"RX64Y8QWQ6O2A","B06VV87WDJ","","Reviewed in the United States on December 11, 2020","December 11, 2020",1607670000,"Leslie Kelly",5,"One of the better vegan yogurts","One of the better vegan yogurts. Great flavor. The consistency is not quite like yogurt, a bit thinner, but I don't mind!",true
"R2WQVN06V0O7G4","B06VV87WDJ","","Reviewed in the United States on September 1, 2020","September 1, 2020",1598940000,"Jessica",3,"Just ok.","The flavor was good but the texture was almost gritty? It was also a little bit on the watery side.",false
"RWB8WEP2TH4LQ","B06VV87WDJ","","Reviewed in the United States on July 14, 2020","July 14, 2020",1594706400,"Paola Zislis ",5,"5 estrellas","el mejor yogurt que he conseguido en el mercado, y eso que he buscado mucho, lo recomiendo al 100%",true
"R1K7RKM3NQ43GQ","B06VV87WDJ","","Reviewed in the United States on June 28, 2020","June 28, 2020",1593324000,"LM Rogers",1,"Too much sugar!","Too sweet! Wish I read cane sugar was second ingredient before I bought it and I just don’t like the taste. It’s like bad strawberry kool-aid.",false
"R2UVFVVTISYX4F","B06VV87WDJ","","Reviewed in the United States on March 23, 2020","March 23, 2020",1584943200,"Watson",2,"Yuck.","Funky taste with chalky aftertaste.",true
"R1A1Z9V1Z2LUJX","B06VV87WDJ","","Reviewed in the United States on March 9, 2020","March 9, 2020",1583733600,"Aaron J. Chauncey",5,"Great Stuff","Great Product",true
"RV42YY3OMBXGE","B06VV87WDJ","","Reviewed in the United States on January 22, 2020","January 22, 2020",1579676400,"Erica Conlan",3,"Tastes great - as many high sugar products do!","This is a tasty plant-based yogurt. It should be, given the high cane sugar content.17g of sugar, 16g of which are added (cane sugar) is a deal breaker for me.",true
"R26B8R6ADQYR63","B06VV87WDJ","","Reviewed in the United States on October 11, 2019","October 11, 2019",1570773600,"C. Northrup",5,"best plant-based yogurt","I don't know why this has such poor reviews.Kite Hill is the best plant-based yogurt I've found.The chef-crafted, artisanal quality is very apparent in the delicious taste and texture.I guess it's just differences in preference.Try it for yourself.I think it's the best!",false
"R3NZ40B43WIK35","B06VV87WDJ","","Reviewed in the United States on October 10, 2019","October 10, 2019",1570687200,"sachet",5,"Good!","These are sooo good will be buying again in strawberry!",true
"RM4BR5HCW11FG","B06VV87WDJ","","Reviewed in the United States on April 24, 2018","April 24, 2018",1524549600,"Keisha Christian",2,"Two Stars","I didn't like how it tasted.",true
