"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RIMWXLQ6J3QKU","B06XSC89WZ","","Reviewed in the United States on November 10, 2019","November 10, 2019",1573369200,"Amazon Customer",5,"Great","Amazing. Not too sweet like most yogurt drinks",false
"R2UKWX83FVFLKG","B06XSC89WZ","","Reviewed in the United States on October 14, 2019","October 14, 2019",1571032800,"Noelyn V James",1,"Don’t taste good","Could have a little honey 🍯",true
"R1X17NKU37FOVX","B06XSC89WZ","","Reviewed in the United States on August 30, 2021","August 30, 2021",1630303200,"Annelise Sklar",5,"Best drinkable yogurt","This is the best yogurt for instant heartburn relief. I wish it were easier to find in grocery stores.",true
"R3FUXTTNQVEN4C","B06XSC89WZ","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"DMAN",5,"DELICIOUS, SMOOTH VANILLA TREAT","8 OZ JUST MAKES YOU WANT MORE, LIKE ANOTHER TWENTY-FOUR!JUST THE RIGHT SIZE FOR A BREAKFAST PACK WITH FRUIT ON THE BOTTOM YOGURT, SOME FRESH IRGANIC FRUIT, AND MAYBE A KIND BAR OR TWO...OR A GOMEGA BAR?,",true
"RZZPSHQB8CZZ9","B06XSC89WZ","","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"Snowcat ",5,"Perfect in the busy morning when you are rushing to work","Love it",true
"RCKMFREYLRZK1","B06XSC89WZ","","Reviewed in the United States on August 5, 2021","August 5, 2021",1628143200,"Svetlana Buryakov",1,"Do not purchase...","Horrible taste...",true
"R1FLO5LDDFSK68","B06XSC89WZ","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Shelby",5,"Danimals for grown ups","I love drinking these. Strawberry is my favorite flavor but the vanilla is still great. Tastes like a grown up Danimals yogurt drink!",true
"R2OZ5JC9PJV4G","B06XSC89WZ","","Reviewed in the United States on May 3, 2021","May 3, 2021",1620021600,"JUDY J.",5,"The taste is unlike the rest of yogurt I've tasted before","Ii love this soo much it is nice and smooth going fown very flavorful",true
"ROJZ6IKHPVVGO","B06XSC89WZ","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"Ana Nemis",5,"Love It","Just the right amount of thick-to-sheer texture ratio. I add a splash of maple syrup and shake it up for a little flava. Love that it’s non fat, which leaves me room to play with some syrup for taste. Perfect single serve size, too.",true
"R1ACE4O3KVHFJ9","B06XSC89WZ","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"M. Smith",4,"Delish, but...","The description is wrong. This is not nonfat. Everytime I order this it’s full fat whole milk yogurt, but delicious regardless!",true
"R76CN5AYJ8M4B","B06XSC89WZ","","Reviewed in the United States on September 13, 2020","September 13, 2020",1599976800,"Kristina",5,"Delicious and the best drinkable yogurt I've found!","This is the best drinkable yogurt I've found! So delicious and the perfect consistency.It is a bit on the expensive side, but worth it for me.They have several other flavors, blueberry, raspberry, and strawberry, but the vanilla is my favorite!",true
"RMX5NWBU5IVC8","B06XSC89WZ","","Reviewed in the United States on November 24, 2019","November 24, 2019",1574578800,"Belino",5,"So good","My favorite !!!",false
