"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1VP9SVQO467V2","B06XSG4S4G","","Reviewed in the United States on December 19, 2019","December 19, 2019",1576738800,"Daisy Ortiz",5,"It was a great buy","Delicious !",true
"R35113NXI2PDXE","B06XSG4S4G","","Reviewed in the United States on December 8, 2019","December 8, 2019",1575788400,"T M",2,"It is cheap on fruit flavor.","Had very little flavor of fruit that was purported to be in this lacking smoothie rip off. I will never buy it again. Basically, it tasted like runny plain yogurt.",true
"R32B7SY643LFPP","B06XSG4S4G","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"I Eat Fat Ashe",5,"Simple, dependable, goodness","These are great. Blueberry is my favorite. Not very sweet but not bitter either.",true
"R2TU0O5HAJW0FT","B06XSG4S4G","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Amazon Customer",5,"The ingredients are all real and good stuff inside","Excellent product taste real. Byfar is my favorite Yogurt",true
"RLS88P06WW5GK","B06XSG4S4G","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Judy from Denver 29 countries and 39 states +DC",5,"Healthy yogurt drink","This stuff is delic, low fat and filling ..",true
"R3VI7XUSY8O35F","B06XSG4S4G","","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"EstherOfKent",5,"Refreshing delight","Delicious & healthy drink.",true
"RZ8IQE1IW5SPB","B06XSG4S4G","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"NO NAME THIS TIME",5,"Good flavor","This is good for a snack but be careful with the high sugar and fat",true
"R3CI3EMKP51DF1","B06XSG4S4G","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"miroku",5,"good. taste","good. health. drink",true
"R138IPTR42PUQ5","B06XSG4S4G","","Reviewed in the United States on January 30, 2021","January 30, 2021",1611990000,"MS Picasso",1,"Did not use because other Siggi was spoiled","While I love this product, I did not keep this for reason stated in headline. When packaged properly for delivery this stuff is great.",true
"R24KBEXJC4U1KM","B06XSG4S4G","","Reviewed in the United States on October 10, 2020","October 10, 2020",1602309600,"Claire B.",5,"My FAV brand because it uses only Cane Sugar and NO Gums of any sort.","I had to get used to the taste as it is bit less sweet then I would like it but the better..I was searching for yogurt brand that does NOT have in the ingredient list any gums of any sort as those have bad rap. in terms of influence on your system and how they affect immune system as such. It was pretty tiring to check all the labels of all the yogurts out there and even many organic ones do contain those things that I would rather not have in my body.Here is the ingredients list of this yougurt and this is why I like itno JUNK!Just your milk, cream, fruits, cane sugar!!! yes, cane NOT Corn Syrup., fruit pectin that is a good thingand lemon juice and then a ton of all good bacteria... all you need is here: and nothing else!Pasteurized Skim Milk, Pasteurized Cream, Black Cherries, Cane Sugar, Fruit Pectin, Lemon Juice, Live Active Cultures Live Active Cultures: S. Thermophilus, L. Delbrueckii Subsp. Bulgaricus, B. Lactis, L. Acidophilus, L. Delbrueckii Subsp. Lactis",true
"RDT40KZ2KTJL8","B06XSG4S4G","","Reviewed in the United States on September 13, 2020","September 13, 2020",1599976800,"Kristina",4,"The best brand of drinkable yogurt I've found!","This is the best brand of drinkable yogurt that I've found. The flavor is delicious, and the consistency is just right. It is a bit on the expensive side, but worth it to me. The only reason I rated it 4 stars rather than 5, is that the Vanilla is the better flavor!",true
"R3TVS7ZKL3JO0T","B06XSG4S4G","","Reviewed in the United States on January 29, 2020","January 29, 2020",1580281200,"Scott M. Cook",5,"great","one of my favorites",true
