"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3EZ01ZA7NGJHJ","B06ZZCR5NJ","","Reviewed in the United States on October 12, 2020","October 12, 2020",1602482400,"Poohlet12",2,"Mold!","I have been buying this product for several years now with no problems. My recent purchase included mold. Not happy.",true
"R1KLU5XM43PP86","B06ZZCR5NJ","","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"js",5,"Love the low sugar!","Finally a good tasting yogurt with low sugar!I added frozen blueberries. So good!",false
"R2SHD6KD0QZXZF","B06ZZCR5NJ","","Reviewed in the United States on November 22, 2019","November 22, 2019",1574406000,"pearls",1,"noooooo!","i'm so sorry, but if i could carve out a negative star, i would. this product is aggressively nasty-tasting. i moved back from finland, where yogurt alternatives are about as plentiful and delicious as the real thing, and i struggled to find a decent one here. well, this poor excuse for an edible product has left a lasting impression on me, but not the kind you'd want to have. sorry guys – your hearts were in the right place, but i think it's back to the drawing board with ya.",false
"R1AYTAOKV962HF","B06ZZCR5NJ","","Reviewed in the United States on October 30, 2019","October 30, 2019",1572415200,"Marta Kostenko",5,"love the almond yogurt","love it!!! i also get unflavored and marinate meet in it..it becomes very tender must be due to friendly bacteria.",false
"R92VGM081V31B","B06ZZCR5NJ","","Reviewed in the United States on October 30, 2019","October 30, 2019",1572415200,"Sydney H",1,"5/6 Yogurts bought had mold 🤢🤮","Yogurt is delicious... when it’s not moldy. I’m super disappointed with this product. 5/6 yogurts I’ve bought have had mold. I was curious if this was typical, and was horrified to discover that kite hill has been having mold reports dating back to at least Feb 2019 and has yet to address the issue. This product isn’t worth purchasing until they fix the problem. It’s a shame.",false
"R2CJBN92RYD9A8","B06ZZCR5NJ","","Reviewed in the United States on August 4, 2019","August 4, 2019",1564898400,"Amazon Customer",1,"Mold!","Okay, after reporting mold to the company twice before, I just opened another yogurt with mold on the top.All have been bought over the span of several months...different batches.They have a problem and they are not addressing it.",false
"R307FTF69F3VV8","B06ZZCR5NJ","","Reviewed in the United States on April 5, 2019","April 5, 2019",1554444000,"queenmonique",1,"Bad invention.","Silk Almonmilk yogurt alternative is terrible tasting. Reminds me of consistency of Milk Of Magnesia. So Gross. I do not recommend this product at all.I really am not that fussy, but this is just disgusting. It said Dark chocolate coconut. It was the color of tan with no chocolate tasting at all or even coconut for that matter. Save your money don't buy it or better yet get Fage now thats a delicious yogurt. I will never experiment again. Staying with what is delicious.",false
"R15ZZYUXDE8061","B06ZZCR5NJ","","Reviewed in the United States on March 16, 2019","March 16, 2019",1552716000,"hatmazon",1,"Mold found several times on surface","This is the 3rd time I've found mold in the product despite it being fresh and a month before expiration and properly refrigerated. (Blue berry version)",false
"R1W9TEE6HMRDOF","B06ZZCR5NJ","","Reviewed in the United States on February 17, 2019","February 17, 2019",1550386800,"Amrik Singh",5,"Don’t compare apples to oranges","Kate hill products are good to excellent taste in the category. One of the best almond and cashew milk yogurt and cheese",false
"RX0HSG02IT63D","B06ZZCR5NJ","","Reviewed in the United States on January 11, 2019","January 11, 2019",1547190000,"Arina",3,"Not a healthy option","Overly sweet to my taste. Stay away if you watch your sugar intake",false
"R2ZIMBV0JULZ1B","B06ZZCR5NJ","","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"Dan",5,"Great flavor!","I didn't have high expectations because my experience with vanilla flavored non-dairy yogurt and ice cream has been not-so-great, but I was pleasantly surprised - it's delicious!I love that Kite Hill uses environmentally friendly packaging that is easy to separate, too.",true
"R2HQD6SQRECEO1","B06ZZCR5NJ","","Reviewed in the United States on July 7, 2021","July 7, 2021",1625637600,"Mom1229",5,"Must try","Yummy and super creamy",true
"RCFJRSB774CST","B06ZZCR5NJ","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"marcela Aguilar",5,"Nos encanta","Muy delicioso !",true
"R1UANLTE9KRD0U","B06ZZCR5NJ","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"Lindsay Hawkins",5,"Delicious!","I’m dairy and soy free and it’s hard to find tasty yogurt alternatives. But this is so good and creamy.",true
"R1Y29W33H20SZR","B06ZZCR5NJ","","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"A. Cain",1,"Moldy","Moldy",true
"RDU94DP8JGK8J","B06ZZCR5NJ","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"Cre",5,"Moldy lately will switch brands","Moldy",true
"R3F4NZNXBKJZVO","B06ZZCR5NJ","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"Tiffany",1,"They did arrive cooled in a paper bag only and left on porch. I was home they didnt knock","Bad. Bought 5 only opened one",true
"RF0W5OQRWBF4I","B06ZZCR5NJ","","Reviewed in the United States on February 24, 2021","February 24, 2021",1614150000,"T.Eye",5,"So good!","Favorite vegan yogurt! I could eat these all day!",true
"R1A2J7AR8CEB1X","B06ZZCR5NJ","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"$@FE",5,"great price for the best dairy alternative available","By far my favorite of all alternative milk yogurts out there. The texture is spot on when you want it to hold fresh fruit and granola. Even better if you like thick, rich smoothies with a yogurt tang to them. Also great as a substitute in vegan recipes!",true
