"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1QXL5EL3L6AGT","B071YBL28J","","Reviewed in the United States on August 24, 2021","August 24, 2021",1629784800,"Amazon Customer",2,"Not yogurt more like thick milk","Paying much too much for something that is not plain yogurt. It is water. At best, thick milk. I won't be purchasing again.",false
"R2276ZLVVJH5XB","B071YBL28J","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"I. M.",5,"Very pleased with this yogurt","This is the closest taste of the yogurt from my childhood. Very tasty.",true
"R2FD1G9NYOFF6W","B071YBL28J","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Caroline Hirsch",1,"0 flavor.","Has 0 flavor. Even after sugar and fruit added, still no flavor.",true
"R3LCN7WZSBU6KR","B071YBL28J","","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Vic.",4,"Too liquidy","This 'cream top' plain yogurt has too tiny amount of cream on top compare with Br**n C**. And when I put my spoon in the container, no no no, the yogurt is pretty watery and liquidy, my spoon runs all the way to the bottom of the container, it does not have certain consistency as regular traditional yogurt. On the next following day, when I opened it again, the whey(creamy colored liquid) runs off from the yogurt body.Uhhh!!! Just go and pick other brand of yogurt.",true
"R22O6NXOAXDATA","B071YBL28J","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"caroline j suh",5,"This yogurt has a delicious je ne sais quoi","I don't know why this is delicious. It has je ne sais quoi flavor and texture. Yogurt has become really thick, which I usually love, but this thinner texture, tangy, but not sour flavor - it's really unlike any other yogurt I've ever had. I literally order WF delivery just to get this yogurt, and it's fairly priced.",true
"R67L55EKCEISQ","B071YBL28J","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Sasmit Dwivedi",5,"Best Tasting Yogurt","BEST tasting milk and yogurt ever. I have tried almost all organic brands and some, by far this is the best.Only wished it was slightly cheaper but I still buy it week after week.",true
"R3EN1QHEY0PBMI","B071YBL28J","","Reviewed in the United States on July 16, 2021","July 16, 2021",1626415200,"Nick S.",4,"Tastes great but not the texture I was looking for","This is so runny that you could drink it, not that it's a bad thing if that's what you need. I buy yogurt as a semi-filling snack; I added a lot of fruits and granola to give this more texture, but it's like eating from a bowl of milk. If you're looking for something much thicker I would recommend Siggi's (it is also more tart though).",true
"R206U6NVOLMISU","B071YBL28J","","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"Ismaeel",2,"Tastes old & sour","I was expecting this to real organic but this tasted bad and sour. Not just that, there was no cream top like yogurt made with real milk have. Wouldn't recommend this.",true
"RP6JQH68D6PB9","B071YBL28J","","Reviewed in the United States on June 27, 2021","June 27, 2021",1624773600,"gabriel J. forzano",5,"A Great Organic Greek Yogurt","The Best Greek style yogurt I’ve found.$$$ a bit more, but worth the cost bc it's pure, just milk and bacteria.",true
"R3814V1YYVZVN9","B071YBL28J","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624428000,"Amazon Customer",5,"Will buy again","Product was well wrapped and fresh",true
"R2RHN6N3S70XKH","B071YBL28J","","Reviewed in the United States on June 11, 2021","June 11, 2021",1623391200,"Steven K",1,"Not what it used to be","Maple Hill Organic Grass-fed Vanilla used to be my all-time favorite. It was lemony and relatively thick, and very expensive for a very small container. Now the yogurt sells in large containers for a lower price …but the yogurt doesn't have the lemon flavor, or any sort of vanilla flavor, and it is extremely runny, without the creamy top it once had. I will never buy it again. (Note: it has not been available in my neighborhood upscale natural food store for a couple years, but it is now available in supermarkets like Albertsons. This company completely changed their product. So sad.",false
