"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3M1RG38ZOIPOB","B0727LGC9S","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Jacquelyn McConaghy",5,"Perfect and healthy","Delicious treat. High protein low fat",true
"RXOUR5DYVZ23F","B0727LGC9S","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"Amazon Customer",5,"love love love","icelandic is my favorite brand of yogurt (or skyr!)...they apparently use a centuries-old recipe, and not only is it super thick, but all the flavors are really good.will always have this in my fridge!",true
"RFEI7PGZDVUON","B0727LGC9S","","Reviewed in the United States on April 4, 2021","April 4, 2021",1617516000,"Monique L. Avakian",5,"Extremely Satisfying","This yogurt is extremely satisfying and a real boost of protein any time of day. Worth the money. All the flavors are good in my opinion. Also, the packaging is divine! The paper is easy to remove and container easy to wash for recycling.",true
"R3LHOHEDEWP1UD","B0727LGC9S","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Drew W.",5,"Great fresh flavor","Clean light fresh flavor. Not overly acidic or sweet.",true
"RAEMWVYVS0E70","B0727LGC9S","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Elizabeth in Columbus",5,"Absolutely scrumptious","The flavor of this key lime Skyr is the perfect level of tart and sweet, and the texture almost a cross between mousse and yogurt. Great product.",true
"R1KKKBRFRW4AGW","B0727LGC9S","","Reviewed in the United States on January 29, 2021","January 29, 2021",1611903600,"Amazon Customer",5,"If you haven’t tried Skyr, you are missing out!","I have long searched for the European style quark that had, until I discovered this product, eluded me.I love the firmer and different texture that comes as close to Quark as it can. Not too sweet, not too runny, and just right for what I want. And the flavor combinations available are perfect! Buy this product all the time now! And thankful after 36 years I can finally have this type of product here in the US!",true
"R30M4V4JJ2AMTS","B0727LGC9S","","Reviewed in the United States on January 21, 2021","January 21, 2021",1611212400,"Scott Scottson ",5,"A key lime dream","whoa",true
"R2O982GHVOXF1I","B0727LGC9S","","Reviewed in the United States on January 12, 2021","January 12, 2021",1610434800,"Taylor",5,"Great Yogurt Brings Back Memories","First time we had this was while in Iceland on vacation before we had our first child. Didn’t realize it was available on Amazon until recently but now we make sure to always have it in stock.The perfect balance of flavor, thickness, and serving size. Bonus: Really tastes like key lime pie",true
"R1WHYQT773ASYM","B0727LGC9S","","Reviewed in the United States on January 11, 2021","January 11, 2021",1610348400,"CC",5,"Gooood!","I can't say whether this is a healthy snack or not. What I do know is that this key lime yogurt is so creamy and delicious! I try to include a few in each order.",true
"RBY0QXJMC3X5Y","B0727LGC9S","","Reviewed in the United States on December 31, 2020","December 31, 2020",1609398000,"👻",5,"Healthy snack","Really wanted to try it but it arrived melted. Will try soon sounds great and a healthy snack.",true
"R3SSWOC7BELRJ1","B0727LGC9S","","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"Brad P.",5,"Top of the line yogurt","Skyr is better than most Greek yogurts.Lime tastes great.",true
"R3JRKZRC28QW0F","B0727LGC9S","","Reviewed in the United States on December 14, 2020","December 14, 2020",1607929200,"Linda K.",5,"Thick and Creamy yogurt","The thick, creamy texture of this yogurt is a key feature.The taste is good, enough, but not overpowering,Portion isgenerous and satisfying.",true
"R2YVZ30Q5H2W5O","B0727LGC9S","","Reviewed in the United States on November 15, 2020","November 15, 2020",1605423600,"Adrienne A. Ackert",5,"Yummy healthy treat, had to write a review","Omg I came to write a review for this yogurt because it is truly worth it! Tastes exactly like a nice key lime pie. I put a little cool whip on it and dipped animal crackers in it. Such a yummy healthy treat",true
"R39MVH94DDP3EA","B0727LGC9S","","Reviewed in the United States on November 11, 2020","November 11, 2020",1605078000,"househeadericmd",5,"One of the best yougarts!","Best new yougart right now.Portion is small though.",true
"R12ZT6KJOXHIKB","B0727LGC9S","","Reviewed in the United States on August 5, 2020","August 5, 2020",1596607200,"Kristin",5,"Love this yogurt!","This was my first time ever trying Traditional Skyr Icelandic Provisions yogurt (Key Lime). It was thick and creamy. The flavor was great, not overwhelming and no aftertaste. Loved it, especially the fact it has 15 grams of protein and only 10 grams of sugar.I just hate that Icelandic Provisions tends to run about $1.99. Yikes. But I like it enough that I’ll probably treat myself once in a while.",true
"R2E9JRWUMJHCZ9","B0727LGC9S","","Reviewed in the United States on July 10, 2020","July 10, 2020",1594360800,"Jean Petty",3,"Not so good","Icelandic no r low fat yogurt has the taste of most fat free products. There r other brands with richer tastes.",true
"R24FHFYXYT35P3","B0727LGC9S","","Reviewed in the United States on June 2, 2020","June 2, 2020",1591077600,"Mel",5,"Just like dessert","So delicious, tastes just like a key lime cheesecake. You could serve this to guests and I’m sure they’d believe it was a homemade dessert and not a tub of yogurt.",true
"R16UDA4TO8MHX9","B0727LGC9S","","Reviewed in the United States on May 30, 2020","May 30, 2020",1590818400,"Ashley",5,"YUM","Tastes JUST like public key lime pie!!! YUM",true
"R101YCXD3BI06I","B0727LGC9S","","Reviewed in the United States on March 21, 2020","March 21, 2020",1584770400,"CT",5,"Delicious","Love!",true
"R3NPU472AWIXJH","B0727LGC9S","","Reviewed in the United States on February 16, 2020","February 16, 2020",1581836400,"meaghan morris",5,"Great taste, high protein, low sugar","I absolutely love Icelandic Provisions Key Lime Skyr.I get a burst of lime flavor, lots of protein and minimal sugars.I encourage you to try their entire line.",true
