"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RYC06U5NVDJ7X","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on September 19, 2021","September 19, 2021",1632031200,"Holly H.",5,"Flavorful, tangy and sweet! Consistent excellent quality.","Flavorful , tangy and sweet! Yes, they do have sulfites but product is excellent and consistent quality of ripeness color and texture. Outstanding apricots!",true
"R2FJT1NYI3NZ4O","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Aries",1,"Lacks flavor","Not much flavor - just a little tangy.I’ve been eating dried California apricots for over 40 years - these might be the worst.",true
"R1RM9PHPO21H0T","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Michele Watlz",5,"appricots good quality","love them",true
"R1ITBHA14NNOTM","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Nancy G.",5,"Soft pliable and very flavorful. Worth the cost","Intense flavor, sweet",true
"R1XIAGFYU2F3MS","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"G. E. Matthews",5,"top quailty","I have ordered these several times and they are consistently very good.The extra heavy resealable plastic containers help keep them very fresh.",true
"R168KWKAOZAN7L","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on August 30, 2021","August 30, 2021",1630303200,"MARLENE B.BETESH",3,"The Apricots are Not as Large as shown!Rather Much small","I wasn’t satisfied with the size of the Apricot. Photo very deceiving!I needed them so I used them. Flavor was nice 👍🏻",true
"R1FPT1XXOSALSD","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Andrew Glivic",5,"Superior product","These are the best dried apricots I have ever had. Thank you",true
"R3AEX66RZH0H4N","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on August 11, 2021","August 11, 2021",1628661600,"Terry Edwards",4,"They arrived quickly","The apricots arrived early. The price was reasonable. I wish they were tangier. They are a bit blander han I expected.",true
"R3AAQA65WHTO39","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on August 10, 2021","August 10, 2021",1628575200,"Amazon Customer",5,"The best apricots I've had in years","So, so scrumptiously wonderful!They are good for all applications.I love them just plain, but they're delicious stewed with equal parts of muscat wine or ginger beer and water with a little sugar,a couple cinnamon sticks and a couple star anise.A few of those with a dollop of Greek yogurt and you have yourself a worthy summer dessert so flavorful it will blow your mind.Chop and add them to sweet bread doughs, like pannetone, with golden raisins, dried cranberries and pine nuts -- and does it ever make the best French toast!Truly, I cannot tell you how fantastic these apricots are!",true
"RKUKY52EVGPP1","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Amazon Customer",1,"GROSS CHEMICAL SMELL AND TASTE!🤮🤮🤮","These dried apricots smelled overwhelming of some kind of plastic like chemical! I tried to eat them and literally gagged! I was used to ordering ""Sincerely Nuts"" dried apricots...and thought I would try some other kinds. BIG MISTAKE! I only like California apricots not the Turkish kind which I find tasteless and too sweet. I like the sharpness of the higher vitamin C content of California dried apricots. Some of the apricots in a handful from this box didn't even taste vaguely like apricots, others tasted only of chemicals! I DO NOT RECOMMEND THESE AT ALL!!",true
"R381G3SMN53CGX","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"M. Harrington",5,"Delicious!","These California apricots have the most intense flavor!",true
"R2D7UJUYS9E1V5","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Moviehead",5,"These are awesome","Not only was the price good, but these might be the best slab apricots on the planet.Tart and flavorful with just the right amount of sweet.We devoured 5 lbs in record time...then ordered more.",true
"RFGUMC407M7H9","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"Scott Snyder",4,"Tangy Tart Treat","Massive blue bag of tangy California Ruby Royal dried apricots. Trader Joe's carried Blenheim variety for as long as I can remember but wanted to try this variety. Good product and quality but not quite as flavorful and tangy as I had hoped. That said between these and the Arishan Turkish apricots they are good go to snacks. Had hoped the package would have been resealable...had to stuff into Ziplocs.",true
"R1TTQ4RZ0W1XS1","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Amazon Customer",5,"Yummy flavor concentrated in your dried peaches.","The tartness made the fruit more flavorful than peaches that are only sweet.",true
"R36AQJRB7RK01T","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on July 10, 2021","July 10, 2021",1625896800,"stanley lum",5,"Tasty","Repeat order submitted because apricots areNicely dried and tasty",true
"R9BZQ267MJ7UR","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"WG",4,"Good Value","Were a little less sweet than I hoped but still a deal.Make sure you have a large airtight container as they are only in an unsealable bag.Can't beat the price for 5lbs. of CA apricots.",true
"RVMJ8MYIT9EM8","B072XDJP3Q","B072XDJP3Q","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"MEC",5,"The Real Deal","Best Ever! Always fresh and delicious.",true
"RN5Q7NQAB3N3G","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Sunny313",5,"EXCELLENT APRICOTS","I have spent much time in the San Joaquin valley visiting family every summer.We always made a stop at the Patterson farms to take home apricots to NY.This time, I decided to take a chance and order online.This product was exceptional..fresh, with plenty of flavor.What we cannot eat immediately, we put in the refrigerator.They are absolutely delicious.",true
"R186FN1S03TZ6Z","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on June 22, 2021","June 22, 2021",1624341600,"Lee",5,"The Best","Love these.",true
"R1HRBHVIVL4Y9Z","B072XDJP3Q","B07D8LXY54","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"sophie chammah",5,"excepcional","love the product it is fresh and the flavor is fantastic",true
