"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R28U6DHXGF0DPU","B072XNV11R","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"ellen",4,"Ok","It’s good but it’s not the best thing I’ve ever had",true
"R2YTTTCPY1UI8O","B072XNV11R","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"ZEPHYR0826",1,"No vale la pena","Sabor horrible. Muy artificial.",true
"R2UASH061E781H","B072XNV11R","","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"terry terra 67",5,"Delicious and cruelty free","I wish that they would lower the price because dairy free yogurt is delicious. Cruelty free and the fruit tastes fresh. I shake it up and it is like a fruit smoothie.",true
"R3EUMBMJC6KOZ8","B072XNV11R","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"Riderz644",5,"Terrific flavor","So delicious yogurt has a great texture and flavor. The key lime yogurt truly reminds you of key lime pie. It's also great for those who cannot have real key lime pie due to the ingredients. It's a wonderful change from the standard flavors you tend to see on the shelf in non-dairy yogurts.",true
"R39Y62NCYKPIFY","B072XNV11R","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"Starla Dear",1,"Sadly a non dairy failure","This sadly just didn't taste good. I thought the lime and coconut flavor would match well, but I could barely bring myself to eat it. Very sad, because key lime chobani was my favorite flavor back in the days of dairy yogurt. The texture of this coconut yogurt is okay, but it's not worth the calories, especially with how low on protein it is. It's basically sugar and fat and funky lime tang.",true
"R1317GGLNFFYA8","B072XNV11R","","Reviewed in the United States on May 7, 2021","May 7, 2021",1620367200,"Jane Rosenberg",1,"I have never written a bad food review. It tastes awful.","Tasted like soap",true
"R6GHFT8I8Z3LH","B072XNV11R","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"Mrs. Basil E. Frankweiler",5,"It's Dessert!","Tastes like a key lime pie. And it's non-dairy. Love this stuff. I have it for dessert. I add a few (OK a lot) chocolate chips and voila! Happiness.",true
"RRL3JNAYQ23R1","B072XNV11R","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"Tutu",5,"SO DELICIOUS is so yummy!","Really yummy! We’ve tasted most of their flavors and they’re always a hit in our house.",true
"R1XUQ08WGHT7B","B072XNV11R","","Reviewed in the United States on December 20, 2020","December 20, 2020",1608447600,"Adrienne",5,"Tastes great!","This is a great non dairy yogurt that is delicious! It has a great consistency that is just like a dairy yogurt which is nice, because sometimes vegan yogurts are super thin and watery. I will repurchase this flavor and try more by this company!",true
"RGYP07FAB3STD","B072XNV11R","","Reviewed in the United States on December 13, 2020","December 13, 2020",1607842800,"N. D. McVay",5,"Best dairy alternative.","This is the only brand of nondairy yogurt I eat.It's worth the price.My grandchildren come over and want yogurt and if I don't have it it's a problem.I love this with or without granola.I LOVE this!!! It's worth the flavor",true
"R3DSJOD20U57GQ","B072XNV11R","","Reviewed in the United States on December 12, 2020","December 12, 2020",1607756400,"Kira",1,"Nope, nope and nope again","Apparently someone decided lime flavored Greek yogurt should taste like vomit.",true
"R1TTA0IWS8R7OJ","B072XNV11R","","Reviewed in the United States on October 18, 2020","October 18, 2020",1603000800,"AL",5,"Get it, key lime goodness.","Throw some crushed up Graham crackers and toasted marshmallows on there it's linner you have a key lime pie in your hand.",true
"R27PWEE5CE6648","B072XNV11R","","Reviewed in the United States on September 15, 2020","September 15, 2020",1600149600,"qgreen",1,"Out of date","Was out of date when delivered",true
"R16UQ9JC6ONBJ6","B072XNV11R","","Reviewed in the United States on August 11, 2020","August 11, 2020",1597125600,"Khrystyna",2,"Tastes off","Love these yogurts but this particular flavor was just awful. Threw it out.",true
"R2SF3MT47WQDZF","B072XNV11R","","Reviewed in the United States on July 24, 2020","July 24, 2020",1595570400,"Jaclyn Kikkert",5,"Delicious dairy free yogurt","Delicious! By far my favorite dairy free option out there! Love all of the flavors and so does my entire family.",true
"R2N41YZ13Q0OJN","B072XNV11R","","Reviewed in the United States on July 20, 2020","July 20, 2020",1595224800,"Celeste Hill",5,"Great flavor!","Smooth and delicious!",true
"R21E5CCD9J38GD","B072XNV11R","","Reviewed in the United States on April 18, 2020","April 18, 2020",1587189600,"crazyartdolls",5,"Excellent","I am having chemo and this settles my stomach",true
"R1T0YN64PKXW94","B072XNV11R","","Reviewed in the United States on March 31, 2020","March 31, 2020",1585634400,"Jenalee Paige",5,"Great Lime taste","Great flavor!",true
"R3SZCEUK53YY2J","B072XNV11R","","Reviewed in the United States on February 19, 2020","February 19, 2020",1582095600,"Elizabeth Greenwood",5,"A favorite in our house","The key lime is wonderful.",true
