"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2BNU8XVOQNQV","B072ZTYGD6","","Reviewed in the United States on March 23, 2021","March 23, 2021",1616479200,"ting",5,"Delicious baby yogurt","Great tasting yogurt-my baby loves it. There’snot many whole fat milk yogurts designed for little ones. This pear and spinach combo is delicious!",true
"R3K1U4MHYMFB2A","B072ZTYGD6","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"Me",5,"Kids love it","I really dont mind the sugar, my kids love this yougurt. they need this every day.so glad that this is helping to get some calories into them. will be a staple in my home",true
"R3B2VFTKCIB9LA","B072ZTYGD6","","Reviewed in the United States on February 8, 2021","February 8, 2021",1612767600,"S. Dalrymple-Ely",4,"Good veggie sneaking but high sugar","These are good, I've tried them before giving them to my toddler. You can't taste the veggies at all, in any of the flavors. Reason why: the second ingredient is sugar. Good source of calcium and vitamins, just make sure you know the sugar content.",true
"RK5N80IIOMK6D","B072ZTYGD6","","Reviewed in the United States on December 13, 2020","December 13, 2020",1607842800,"Willie V. Hughes",5,"Stonyfield Organic To The Rescue","When you need to run out the door and you want to bring a wholesome, filling snack for your toddler or kid, this is just the ticket. My toddler son loves these, and I like them because they are easy from him to sip from without spilling (e.g. in the car). I need to help him with the last bit by rolling the tube up, but I don't mind.",true
"R2VOLWDMQVXUG6","B072ZTYGD6","","Reviewed in the United States on November 22, 2020","November 22, 2020",1606028400,"Mia",5,"To expensive","I like it ! Very much",true
"R97KQ6Q5J1X76","B072ZTYGD6","","Reviewed in the United States on September 27, 2020","September 27, 2020",1601186400,"Stacie Jempty",2,"Too much sugar","I was disappointed that one of the first ingredients in this item is sugar, there are plenty of other more healthy ways for my infant to eat yogurt with fruit. She definitely liked it, the flavor was decent but I won't be getting it again.",true
"R1SX81XLXP3AA9","B072ZTYGD6","","Reviewed in the United States on April 25, 2020","April 25, 2020",1587794400,"Carolyn Martin",1,"Too expensive.","Too expensive.",true
"R3PPF4QKKU5B2C","B072ZTYGD6","","Reviewed in the United States on March 22, 2020","March 22, 2020",1584856800,"Einar C",5,"Yummy","Kids love it",true
"R3TWJTHA6J1DCI","B072ZTYGD6","","Reviewed in the United States on December 14, 2019","December 14, 2019",1576306800,"Chris Mancini",5,"Kid approved.","Never tired it myself but the kid loves them. will continue to buy.",true
"R2HY2M9NKEZRCI","B072ZTYGD6","","Reviewed in the United States on October 8, 2019","October 8, 2019",1570514400,"Shari",5,"Kids love it","My kid loves this more than the cartoony stuff.",true
