"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2VYWOAUXM45CM","B074H5SRHQ","","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Anna Mack",4,"organic tastes better","the first thing I noticed when it was delivered was the expiration date so it's only best until next Wednesday and from previous experience with organic milk this must have been from last month because it usually lasts for a month when I purchase it but I'll drink it",true
"R31LFNS4GRIXWV","B074H5SRHQ","","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Amazon Customer",1,"Short expiration date","When I received it, there was only six days until it expired.",true
"RNB25N1MHDJAS","B074H5SRHQ","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Dimple Hamilton",1,"Milk Expired on Delivery","Milk was expired on delivery.",true
"RMH3USAD5DST6","B074H5SRHQ","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Lola",1,"False Advertising - Comes in plastic","I ordered this instead of the gallons because I wanted to avoid plastic packaging. I ordered two of these thinking they'd come in a box, but they showed up in plastic half gallons. What a waste. Update the product photo please.",true
"R38EIYIYXL3TBP","B074H5SRHQ","","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Tiffany",5,"Perfect","Milk tastes great, came in old school carton without the plastic cap which I love. The less plastic we use the better.",true
"R1JPRQ1R4KFQBC","B074H5SRHQ","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Dog Mom",1,"Cheap new paper container","The quality of WF’s organic milk has gone way down.",true
"R3KRIFTVBTGI5I","B074H5SRHQ","","Reviewed in the United States on May 25, 2021","May 25, 2021",1621922400,"Amazon Customer",1,"not like other organics","Latelymilk is expiring within 5 to 7 days of delivery dosent pay to buy more then 1 very inconvenient",true
"R1MA0PN231W253","B074H5SRHQ","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"Dane Court",1,"You don't get what you order","My family has ordered this a few times and they always deliver in the plastic jugs now.They are a pain - I don't need more plastic in my life!Also, they are unwieldy because when you try to pour out on the first usage, it dribbles everywhere.I wish they would just deliver what the picture shows - a carton of milk.",true
"RQ6EDFPVY2TAI","B074H5SRHQ","","Reviewed in the United States on April 20, 2021","April 20, 2021",1618898400,"Amazon Customer",2,"expiration date","expiration date was only a week",true
"RDJ90UJO0VHQ3","B074H5SRHQ","","Reviewed in the United States on March 29, 2021","March 29, 2021",1616997600,"EstherOfKent",5,"Low fat organic milk.","2% milk sans penicillin toxins that are often added during pasteurization in non-organic milks.Drink 3 big glasses a day.",true
"R1I5YGDJD3N26A","B074H5SRHQ","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Michael McGrady",5,"Excellent.","I drink a LOT of milk, and I've ONLY bought organic for several years now--IMO, organic milk is MUCH more flavorful than ""regular"" milk, and the expiration date is often a month or more from when you buy it. There are several brands of organic milk and I'll buy any them, IMO they're all good, but whenever I'm at Whole Foods I'll ALWAYS pick up a carton or two of 365 organic--to me it tastes just a good as the other brands, but it's ALWAYS much cheaper. Around me, a half gallon of organic milk usually sells for around $5.50, but a half gallon of 365 organic milk is $3.49--can't beat that. Get some.",true
"R1CRDJWT1HX2DT","B074H5SRHQ","","Reviewed in the United States on March 18, 2021","March 18, 2021",1616047200,"Auntie-Nanuuq",3,"You Know It's Milk....","How sheer can milk be?All I know is the kids needed milk for their cereal & they were in TX and couldn't get any...So I sent them this & they seemed to like it ok",true
"R3FJ3MH2D0A4EP","B074H5SRHQ","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"STEVEN GRABOSKI",1,"Quality control issues","The reason I buy 3 half gallons of organic milk is because it usually has an expiration date that would allow you to drink but this milk was up in a week so I had to throw 2 containers out",true
"R2M2ZLXJHHMHT8","B074H5SRHQ","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Sheila Dvorin ",5,"Good flavor","Very fresh, always good days post date",true
"R544LDQ2P3691","B074H5SRHQ","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Sarahcny",2,"My 2nd to last option for milk (before regular non-organic milk)","Didn't like the packaging of the milk. It was very hard to open and then keep it fully closed when put away in the fridge. The milk tasted a little different than usual organic milk we've bought in the past.",true
"RHO8O1HPQT9ES","B074H5SRHQ","","Reviewed in the United States on February 9, 2021","February 9, 2021",1612854000,"Ross Danner",5,"Recommend","Good stuff",true
"R37I42AP0S8FL0","B074H5SRHQ","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"AOL",3,"Didn't Come as Pictured","The milk itself was fine, but it did not come as pictured with a twist on cap which I was expecting.Had I known this was how it was going to come I would not have purchased.",true
"R2E67PJAAJQVK","B074H5SRHQ","","Reviewed in the United States on December 10, 2020","December 10, 2020",1607583600,"Nikola Seferovic",1,"the picture is a fine example of false advertising","The carton doesn't have a screw cap.How low can Whole Foods go?",true
"RYYM6SI3ZI24V","B074H5SRHQ","","Reviewed in the United States on November 29, 2020","November 29, 2020",1606633200,"Patty Bove",1,"Almost expired AND in plastic jugs!!BEWARE","Organic milk typically has an expiration date 4-5 weeks after it’s purchased.The milk I received today expires in 5 days.Among many reasons I purchase organic milk is the longer shelf life.... AND the milk arrived in plastic jugs instead of paper cartons as pictured.SUPER UNHAPPY!!",true
"R3PL0NT46IQPN4","B074H5SRHQ","","Reviewed in the United States on November 21, 2020","November 21, 2020",1605942000,"Nm",1,"Bad taste....is this really organic milk?","I have never had organic milk taste this bad.Is this really organic??This milk tastes like the cheaper conventional milk sold at other stores. Very disappointed with taste of milk. I will never purchase this product again.",true
