"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R22D1B60YMLADP","B074H5Y3TM","","Reviewed in the United States on July 3, 2021","July 3, 2021",1625292000,"Concerned Citizen",5,"Cold And Creamy","I enjoyed this with Kind Peanut Butter Granola and dried cranberries.Yummy parfait!",true
"R1L98APZ3EM6E8","B074H5Y3TM","","Reviewed in the United States on June 3, 2021","June 3, 2021",1622700000,"Jenna",5,"Awesome Taste!","We use these to make our overnight oats fora week at a time!Great value!",true
"RBX6IKOFYHT5J","B074H5Y3TM","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"Lisa Thompson",5,"Yogurt","Good",true
"R1KSPHWP9DAY1J","B074H5Y3TM","","Reviewed in the United States on May 15, 2021","May 15, 2021",1621058400,"Joyce",5,"Yogurt Vanilla","The 365 By Whole foods taste so Good. I use to buy Chobani for years. Wholefoods brand 365 is really good",false
"R1Z5F9UA3CRRQN","B074H5Y3TM","","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"Amy",3,"Runny","Runny",true
"R259YEBVX835FM","B074H5Y3TM","","Reviewed in the United States on May 11, 2021","May 11, 2021",1620712800,"Sara",5,"Get rid of pectin and sugar!","The price is low. The pectin and sugar make this product inedible. Why sell yougurt with sugar??Why sell yougurt with pectin??? Raise the price and make a healthy yougurt.",false
"R1VJKHNVALCB8T","B074H5Y3TM","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"peaches72",5,"Smooth to the taste","I like this yogurt. The only reason it is thin is because it is not Greek yogurt. Please consider that fact. It was smooth, not too sugary. I love it",true
"R1LO8QAWM48RKM","B074H5Y3TM","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"No",1,"Ugh","Yogurt needs to be stirred before you eat it. When you stir this, the texture is still liquidity like it still needs stirring. It tasted ok-ish but no one in the house came back for seconds.",true
"R36O1CYANT95M2","B074H5Y3TM","","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Sandra L. Larsen",5,"BREAKFAST, SNACK, WHENEVER","Good consistency & flavor w/ fruit & granola.",true
"R3F61P1FSDSCYQ","B074H5Y3TM","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"michele",4,"Vanilla 365 Organic Yogurt","Wish it was 2% fat Not 1%- too runny and watery for us",true
"R1LGLFS6L4JEFD","B074H5Y3TM","","Reviewed in the United States on April 12, 2021","April 12, 2021",1618207200,"Home",4,"Why is it organic","Not all that! We had better",true
"R2ZW04T36GFRN","B074H5Y3TM","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"Salwesab",1,"Used to be good","Tastes like whole milk!!! This used to be really good! I don’t know what happened!",true
"R2LWSP36BXR304","B074H5Y3TM","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Knowlengr",3,"Tastes Great but Too Much Sugar","The flavor is great, but are you trying to make me diabetic?I guess I have to get unsweetened and self-sweeten.32oz is a tolerable package size, though I would buy 64 if available.",true
"RZTQ43EEZ48","B074H5Y3TM","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Jeff L",5,"I love this","I love this",true
"R1ZQ8M9DZ85YZ9","B074H5Y3TM","","Reviewed in the United States on February 1, 2021","February 1, 2021",1612162800,"Cesar Mantilla",1,"Too sweet.","In January 2021, they changed this product.Now it is too sweet. I won't buy it again.",false
"RPPN4D6HVEN72","B074H5Y3TM","","Reviewed in the United States on December 15, 2020","December 15, 2020",1608015600,"Cinleeh20",4,"Good value","Tastes good, not too sweet, pretty good value",true
"R1WO655WB8H35L","B074H5Y3TM","","Reviewed in the United States on December 11, 2020","December 11, 2020",1607670000,"Shamona M. Nero",5,"Yummy","Yummy",true
"R2JX7XQZYOIFKW","B074H5Y3TM","","Reviewed in the United States on October 31, 2020","October 31, 2020",1604124000,"James Hummel",5,"Taste","Love the vanilla taste.",true
"RE3VYG6GMCP1R","B074H5Y3TM","","Reviewed in the United States on October 31, 2020","October 31, 2020",1604124000,"BttH",3,"I don't like it","Taste like silken tofu. Not creamy at all. The first time but it's the last time to buy it.",true
"RB6ACGPJ1FUYW","B074H5Y3TM","","Reviewed in the United States on September 11, 2020","September 11, 2020",1599804000,"Eric Locktto Tsai",5,"Tasty yogurt","Taste really good.",true
