"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3OA4OOTJ9FDQG","B074H64BYN","","Reviewed in the United States on December 10, 2020","December 10, 2020",1607583600,"KT",1,"ughPECTIN in this yogurt !","I like the price of this yogurt, but it is cheap because its ingredients are cheap - PECTIN !Why buy organic and try to avoid unhealthy additives if your yogurt has PECTIN like this does????",false
"R3SALETVX5VGV0","B074H64BYN","","Reviewed in the United States on November 28, 2020","November 28, 2020",1606546800,"The Prodigy Gangs",5,"Good taste","We like this yogurt...little pricy than other stores..",true
"R2IE3Y8JLQ9GTK","B074H64BYN","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"CatMom",4,"I cook Indian food, which usually requires a plain yogurt base","It's basic yogurt, & you can use this for anything. Sweeten it up if you want to. It's a great marinade for chicken in an Indian dish.",true
"R59J2EFAS7F30","B074H64BYN","","Reviewed in the United States on September 3, 2020","September 3, 2020",1599112800,"HS",3,"Why pectin?","Nice flavor, no sugar but why is pectin added?There are other brands that do not add and the product is just fine.",true
"R3VMBP80WMA5E4","B074H64BYN","","Reviewed in the United States on August 29, 2020","August 29, 2020",1598680800,"Kimberly",4,"Good not great","I used to really like this yogurt as I appreciated that it was organic, low fat, and a good value compared to some other brands. However I recently tried a name brand version of yogurt, and am here to report that unfortunately in this case the name brand version is better (smoother and creamier). I still do occasionally use this yogurt as it is not bad and is very versatile. You can sub it for mayo in alot of recipes (way healthier!), and it is also good in breakfast parfaits and such. There is room for improvement however, and I would also like to see it in a glass jar instead of single use plastic.",true
"R1PWJQQQSK1RLC","B074H64BYN","","Reviewed in the United States on July 30, 2020","July 30, 2020",1596088800,"Coleplay",2,"Not natural","This has pectin as a main ingredient, which is a huge turn off. I would expect pure yogurt with live lactobacillus as the main ingredients in a Whole Foods product. Very disappointing.",true
"R9EXF383XESM3","B074H64BYN","","Reviewed in the United States on July 18, 2020","July 18, 2020",1595052000,"lynne cresitello",5,"A Enjoyable Healthy Food","Eating a bowlful and baking",true
"R1R6BVSFRYOIIG","B074H64BYN","","Reviewed in the United States on July 18, 2020","July 18, 2020",1595052000,"Dulcist",4,"Not As Tasty As Greek Yogurt","Not real impressed with this yogurt, I prefer thicker yogurt.I will not buy this again.",true
"R18CK60ZP5DRUI","B074H64BYN","","Reviewed in the United States on July 5, 2020","July 5, 2020",1593928800,"cacao420",5,"Very close to how my grandmother used to make it!","This is the best yogurt by far!It reminds me of the yogurt my grandmother used to make when I was a kid.It's very hard to find that same taste anywhere else!",true
"R3157PQ9I5UTBA","B074H64BYN","","Reviewed in the United States on May 22, 2020","May 22, 2020",1590127200,"Riggs",5,"It's A Mild Yogurt","Not sour or tart.",true
"R32ZIJ75H42SMV","B074H64BYN","","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"Suave",5,"Good yogurt it’s tasty","Good yogurt at a good price",true
"R2A067KDPDSY77","B074H64BYN","","Reviewed in the United States on July 9, 2021","July 9, 2021",1625810400,"DJM",5,"Yummy","Taste Great",true
"R1HXESCN8GXCCP","B074H64BYN","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"ronnell",5,"Very good product I will buy it again","Very good product I will buy it againAre used to make granola",true
"R1JT7YZXH7QXSC","B074H64BYN","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Chima",4,"Good Product","Good value, great taste.",true
"RSLMUOEVFY07Y","B074H64BYN","","Reviewed in the United States on March 30, 2021","March 30, 2021",1617084000,"May",1,"Too watery","Way too watery. Not thick enough to be any kind of yogurt.",true
"RNDCG1VSWZL2R","B074H64BYN","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"chacko varkey",5,"Super quality product","Super excellent",true
"R39OS9RLMSYULK","B074H64BYN","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"Boxuan Yang",5,"Great Product","Perfect healthy yogurt choice",true
"RTC6QSMJ9QAT5","B074H64BYN","","Reviewed in the United States on February 5, 2021","February 5, 2021",1612508400,"Op178",1,"New Label, Less Taste","This used to be a good value, with reasonable flavor. As of January 2021, the stuff has been cheapened and the taste is no longer acceptable. This would seem to be another example of Amazon's continuing campaign to ruin Whole Foods Market.",true
"R2N0BHP1WDL9PV","B074H64BYN","","Reviewed in the United States on January 5, 2021","January 5, 2021",1609830000,"Neha_P",5,"good product","good product and nice taste!",true
"R2E2DR119FSGQY","B074H64BYN","","Reviewed in the United States on December 23, 2020","December 23, 2020",1608706800,"Jason",2,"to sour","this is too sour, cannot finish it. I suggest the vanilla one",true
