"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RKNYG2NM0JLAR","B074H7KKRV","","Reviewed in the United States on September 13, 2021","September 13, 2021",1631512800,"Omair",1,"Not good","Cheap but not good",true
"R3NU8RTT0D4UAD","B074H7KKRV","","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"Amy A.",1,"Doesn't taste like whole milk yogurt","The last two containers of this that I bought tasted like 2% fat yogurt.They also tasted like they might contain starch which is not on the ingredients.About a month or two ago, I got a container that was rancid.Before all this the product was good but I was forced to buy it because the two brand name yogurts I prefer were out.But somehow the store brand wasn't.Repeatedly.",false
"R1OGLFZTBYE07V","B074H7KKRV","","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"Yosbany Napoles Manso",5,"🥰🥰🥰","El producto es perfecto lo recomiendo 100%",true
"R3Q4Q104SO0GRD","B074H7KKRV","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"Raj",1,"Worst quality","It is not tasting as good as the previous yogurt what Whole Foods had. This is like cream . Doesn’t feel like yogurt texture .Not worth at all. We stopped buying this completely. Waiting for the previous 365 yogurt quality .",true
"R294P68HUB0E7L","B074H7KKRV","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"gabriel J. forzano",1,"Not all natural","I dislike that you use pectin to thicken the product. I don’t eat health food that had been denatured.",true
"R35EPQ2SKXHGDZ","B074H7KKRV","","Reviewed in the United States on May 28, 2021","May 28, 2021",1622181600,"Family7",5,"Great taste. As real as it gets.","Simply an excellent yogurt. I eat it regularly in the morning so as to help with my regularity. It is helpful in making sure my flora is great. It is as fresh as it gets. I think the value is exceptional. And I am so happy that it is an organic product.",true
"R9QQ2N3BEMRF5","B074H7KKRV","","Reviewed in the United States on April 28, 2021","April 28, 2021",1619589600,"Pariasadat Musavigharavi",5,"so tasty!","I love the taste and texture of this yogurt",true
"R1OB39WO3RO8CP","B074H7KKRV","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"MoMosa",1,"Is this really yogurt though?!","I don’t know who called this yogurt! But it taste NOTHING like yogurt.I’m middle eastern & eat allot of plain yogurt or taziki, this is by far the most disgusting yogurt I’ve ever tried in the U.S.",true
"R1NZBFPS8VQPXK","B074H7KKRV","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Mia",5,"I like it","I like it",true
"R1GOQNKGA402ZY","B074H7KKRV","","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Mia",5,"Great tasting","This is a good choice for the taste and money!",true
"R2OLX2SNBGLDNW","B074H7KKRV","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"J. Mukherjee",3,"Hyped whole food yogurt","High priced ok yogurt.",true
"R245X7QQDBLMPD","B074H7KKRV","","Reviewed in the United States on April 8, 2021","April 8, 2021",1617861600,"mary",5,"Great yogurt","Very creamy.Good for all your yogurt needs!",true
"R3JESGX78DGL6F","B074H7KKRV","","Reviewed in the United States on March 8, 2021","March 8, 2021",1615186800,"Himanshu M. Vakharia",5,"Pure","Great",true
"R3SC5D7FBG2NMQ","B074H7KKRV","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"JON KING",5,"Thick","Thick - like I like it. Not as watery as the conventional yogurts that I've tried.",true
"R320OKJSZOKX4V","B074H7KKRV","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Louise",5,"Good","Unsweetened, fresh and nice.",true
"R3HVNDFD7J3PY5","B074H7KKRV","","Reviewed in the United States on February 16, 2021","February 16, 2021",1613458800,"l!m!t",5,"Good Yogurt","Taste good, no issues.",true
"R1C987OD4U8083","B074H7KKRV","","Reviewed in the United States on February 13, 2021","February 13, 2021",1613199600,"Anna",5,"Love this yogurt","Better than any greek yogurt around.It's organic AND plain.THe best!",true
"R23I261VC6VMT6","B074H7KKRV","","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"Lola S.",5,"Best blend of probiotics","I never thought I could eat plain yogurt, but I can eat this! Having a stomach ulcer isn't fun and this yogurt has made a huge difference. I've tried the expensive name brands and not only are they thinner but many only have 3-4 probiotics, even the yogurts labeled ""probiotic"" yogurt! This has 6 different probiotics and it is thick (for a traditional, non-Greek yogurt) and the taste isn't half bad. My stomach definitely knows the difference too.Studies have shown that eating probiotic yogurt prior to starting antibiotics for H Pylori helps to make them much more effective. And this is the yogurt I prefer and will continue to eat in the future. Thanks 365! You hit the mark with this.",true
"R2B4T9QUST2G0M","B074H7KKRV","","Reviewed in the United States on December 30, 2020","December 30, 2020",1609311600,"Pete H",5,"Wonderful Plain Yogurt","This is the first plain yogurt I've purchased and I love.We've used it in several recipes as a substitute for buttermilk which we never seem to have on hand. Great with fresh blueberries or strawberries!",true
