"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2BETHGCQE52MH","B074KHWZML","B074KHWZML","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"TMoma",5,"OMG so good!","I loovveee this! It’s so rich, chocolatey and delicious. It’s a must have at my house! I hate peas and chickpeas but this doesn’t taste like peas at all! No yucky after taste, just perfect!",true
"R3HQMRIPOU4X45","B074KHWZML","B074KHWZML","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Dannon McBee",5,"Pretty good!","It surprised me how good it is!",true
"R34WGIGEBWMX1A","B074KHWZML","B074KHWZML","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Michelle Lynn",1,"YUCK!!I wanted to like this! However the taste is awful and it’s too expensive","I understand this is very good for you and I’ve been a vegetarian for 20 years but the taste is horrible!That’s just my opinion. Too expensive too",false
"R3W3CERRX6R4B1","B074KHWZML","B074KHWZML","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Linda K.",5,"Tastes great!","It is more full bodied than other plant-based milks. I will be buying more of it.",true
"R23OU95YM920BG","B074KHWZML","B074KL78Z9","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"philspixelpops",5,"Perfect for kids who cannot have dairy products!","I don’t like using dairy products in general, so we always look at alternatives. My husband and my 1yr old are both allergic to milk protein (casein allergy). Alternatives like Soy aren’t ideal due to the hormones, and almond milk and coconut milk don’t have enough nutrients for a growing child. The pediatrician recommended Ripple milk to us due to the calcium, good fats, and protein in it as we wean my daughter off of formula. It’s been fantastic, and she absolutely loves it. My husband does as well and uses it in his cereal. Very pleased with it. Note that it’s not sweet like other milk alternatives can sometimes be, it definitely not bitter, but it’s not sweet. Also like that it is creamy. Definitely recommend it!",true
"R2RRRCK3BXMLLZ","B074KHWZML","B074KHWZML","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"Roberta V",5,"Yummy","Chocolate milk taste.",true
"R2N8OR2WDAZYGC","B074KHWZML","B074KHWZML","Reviewed in the United States on June 18, 2021","June 18, 2021",1623996000,"Liv M",5,"Great taste","Excellent non dairy alternative. Great flavor.",true
"R1Y8TOZ680IM8H","B074KHWZML","B074KHWZML","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"Tucker Robinson",5,"Pricey but worth the splurge","Great consistency but different flavor much more cocoa tasting then syrup",true
"R1IWDC3BPNIGVT","B074KHWZML","B074KL78Z9","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"JMF03",5,"Great option for kids","There was a learning curve of a few weeks for my 4 and 1 year old to switch to this milk (started with their chocolate milk version and gradually made it this one), but they ended up liking and drinking the unsweetened version to the last drop after their meals. It has been more than a year that we made the switch and there was no regression.",true
"RY3LNPVFXKA5Y","B074KHWZML","B074KHWZML","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"AM",5,"Had to check the label again","First time trying milk made from pea protein and I’m surprised at how good it is. I’m definitely going to keep this around.",true
"R1LPDB4AUCD9L5","B074KHWZML","B074KHWZML","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"KVB",5,"Delicious","Delicious Flavor and texture… last a long time in the fridge",true
"R3P1NMHW17KSZM","B074KHWZML","B074KHWZML","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"mk",5,"The best chocolate plant milk I’ve ever had!","The best chocolate plant milk I’ve ever had!",true
"R2MDIADC5NAIIS","B074KHWZML","B074KHWZML","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Sr727",4,"Delicious","Love this milk",true
"RKEADH1Z8IR8S","B074KHWZML","B074KL78Z9","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Howard Pang",5,"Kid is good with it","I don’t like the taste but my kid seems to be good with it. The nutrition is very similar to cow milk.",true
"R2QUEEFGRTT4JH","B074KHWZML","B074KL78Z9","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Amazon Customer",4,"It was great!","It was great! Better blended with other stuff since it's not sweeten, but better than a lot of things unsweetened. Still tastes sweet, but not the sweetest. It's thick. You can only tell when consuming it alone. That's why it's better recommend to blend. Great to blend with Mocha teas & fruits.",true
"RT2CED0H33EQW","B074KHWZML","B074KHWZML","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Sean W",5,"My three year olds love it! They drink it faster than chocolate milk.","Great flavor. We will be ordering again and again.",true
"RIXPVMCX73X4U","B074KHWZML","B074KL78Z9","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"Liz koye",5,"Go to milk","Flavour and taste is so good! I'll definitely keep buying",true
"R2WEU8293C9DGL","B074KHWZML","B074KHWZML","Reviewed in the United States on August 17, 2021","August 17, 2021",1629180000,"scopin4u2",5,"It tastes great","I just tried this for the first time. It tasted really good. It was fresh too. I was really surprised by the taste, that it was this good. I’ve seen it in the grocery stores, but always passed it by, cos I wasn’t sure about it. So I decided to finally give it a try. But I can’t really and honestly tell the difference between this and regular chocolate milk.Tastes the same to me. Well… needless to say, from now on, I’ll be buying this from time to time. Highly recommend!",true
"R12VSHNBL5B2A9","B074KHWZML","B074KL78Z9","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Andrew",5,"Baby loves it","I hate the test but my 1 year oldloves it! Has a lot of nutritional value as well.",true
"RI1YTPAPE3CPC","B074KHWZML","B074KHWZML","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Amazon Customer",1,"Not gluten free","Based on my reaction to drinking it (tried twice) it does not seem to be gluten free..In the past I had no problem with this product, it seems to have changed..",true
