"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R30GSCM90WEDYM","B075QJ8M1K","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Red Leslie",5,"Best oat milk ever!","I’ve never liked milk substitutes enough to completely switch over from cow milk until now. Oatly is the perfect consistency and tastes great!",true
"R8JVD1Z9E5T90","B075QJ8M1K","","Reviewed in the United States on August 1, 2021","August 1, 2021",1627797600,"Fran H",5,"Give cows a break","Not watered down like some other milk alternatives. We use this instead of cow milk and love it.",true
"R2SLI8BBE795P7","B075QJ8M1K","","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"Aashima Jain",5,"Best oatmilk","Have been looking for an oat milk that I can settle with and this is it. Not deviating now. Love it!",true
"R9GXF4IE0AVXD","B075QJ8M1K","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"Ernest Blake Jr.",5,"The best.","The best!",true
"R2REUX0E4L64VA","B075QJ8M1K","","Reviewed in the United States on July 26, 2021","July 26, 2021",1627279200,"Sonoran Woman",5,"I'm in love with Oatley","I use this for everything from lattes to cereal to drinking from a big cupGreat stuff.",true
"R1BBL6L70AS65S","B075QJ8M1K","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"cecilia termini",5,"Great product","Best oat milk on the market",true
"R2LWDLUUOH78MR","B075QJ8M1K","","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"G. Gam",5,"The best by miles and miles","Nothing get close to Oatly. The only issue some people has is that if you dont like the ""oaty"" flavour, you won't like it. But what can i say, it's OAT milk. I love the taste of oats so i love this so much. It's the best non-dairy milk every crafted. I try to be dairy free because of chronic issues, and this helps a lot with my coffee love.",true
"RVA1COQXBK0ZT","B075QJ8M1K","","Reviewed in the United States on July 14, 2021","July 14, 2021",1626242400,"Tom Delmonte",5,"The best non dairy milk","The best non dairy milk product.",true
"R1GP3BT72RQSS5","B075QJ8M1K","","Reviewed in the United States on July 4, 2021","July 4, 2021",1625378400,"Amazon Customer",5,"Yum","The flavor delicious, the texture is silky smooth like cream. I love this dairy alternative! 🖤",true
"R1IUVALDSPJVA1","B075QJ8M1K","","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"Heather=^..^=",5,"The only milk I want to drink","I don't consume dairy, (please research why dairy is bad) so I have tried EVERY plant milk out there. Oatly is the only plant milk that tastes like regular milk (when I drank it) and the only milk I want to drink a glass-full of.",true
"R10O3ZVGN6GB3Z","B075QJ8M1K","","Reviewed in the United States on September 18, 2021","September 18, 2021",1631944800,"ana g",4,"Misleading added sugars","It tastes great. BUT the online description and picture state it has 0g and 0% of added sugars. Its clearly photoshopped to mislead customers. In reality it has 7g accounting for 14%",true
"RMTLP8GYFBPKA","B075QJ8M1K","","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Yvonne",5,"Really enhances anything made with Oats requiring milk!","Has taken my Oatmeal up several notches!",true
"R39SNXT717R41V","B075QJ8M1K","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"pacifico",3,"Expensive, there are less expensive alternatives but not as tasty","Oatly is my preferred brand for oatmilk.For the price, it is costlier than other alternatives.I do think oatly is the standard I compare others to.",true
"R1ST7GTB30O228","B075QJ8M1K","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Kim S",4,"Pretty good alternative to dairy brand milk","Pretty good alternative to dairy brand milk",true
"RH3OSZG5JZ461","B075QJ8M1K","","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Bertilin",5,"This Oat milk is delicious","This is a great alternative to regular milk, it has a nice smooth silky taste that goes great with shakes or by itself.It's a delicious cold drink that very healthy.",true
"R1L3B1H4MJ3QWN","B075QJ8M1K","","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"RioUK",1,"The added sugar debate….. spot the difference","Notice what’s different from the picture on the Amazoncompared to the picture of the ingredients on my carton.We couldn’t work out why our toddler who has oat milk before bed wasn’t going down as quickly as usual… seems like we know the answer.This needs to be fixed ASAP.",true
"REM40S18H143S","B075QJ8M1K","","Reviewed in the United States on August 29, 2021","August 29, 2021",1630216800,"tamar baras",5,"delish","delish",true
"R22PNBWXMUTMFB","B075QJ8M1K","","Reviewed in the United States on August 25, 2021","August 25, 2021",1629871200,"MamaCO",5,"Wow!","Tastes just like milk! My son suprisingly loves it.",true
"R3CX9RX4KPDY3M","B075QJ8M1K","","Reviewed in the United States on August 15, 2021","August 15, 2021",1629007200,"ElaineCastillo",5,"This one is much better tasting","I'm always I started drinking oatmeal about 3 months ago I'm always looking for something that has less sugar and less salt in it you guys know is perfect just what I want it and it tastes really good in coffee and great with cereal",true
"R1G6CB85E8ZXT6","B075QJ8M1K","","Reviewed in the United States on August 7, 2021","August 7, 2021",1628316000,"Sophia",5,"Creamy, yummy and perfect","This oat milk is the best of market by far! It is so creamy especially on the after taste and keeps you wanting to go back for more. Love it for cooking or making drinks",true
