"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1UFM5I1YE7O2Y","B0772KVKN9","B00XPM1NYM","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"shawna p young",1,"Doesn’t work","I have made other yogurt with no issues. This product has failed every time even when I tried again and followed instructions exactly. I will go back to using my normal yogurt starter. Item was defective",true
"R3B6UEWLQ4ICGN","B0772KVKN9","B00XPM1NYM","Reviewed in the United States on April 6, 2021","April 6, 2021",1617688800,"DF",5,"Excellent!","The flavor is rich and complex compared to store bought yogurt, and home made means no added ingredients you don’t want.I make mine using an Instant Pot and ferment for 23 hours.I’ve tried others and they come out too sour or too water or both, so this is definitely my go-to.Love the flavor, love the texture, won’t go back to store bought or use anything else.",true
"R3G3W0AUHAEF8U","B0772KVKN9","B0772KVKN9","Reviewed in the United States on December 31, 2020","December 31, 2020",1609398000,"Amazon Customer",5,"Great","This is amazing. I had delicious home made creamy yougurt everyday. My family love it too. Very happy!",true
"RULK2XKNRM2RI","B0772KVKN9","B00XPM1NYM","Reviewed in the United States on December 7, 2020","December 7, 2020",1607324400,"Marilyn Taylor",5,"Easy to use and very reliable starter","Been using this starter for several years after learning about it from an organic milk producer. Great product, consistent, works well.",true
"RSHAN05FW69IQ","B0772KVKN9","B0772KVKN9","Reviewed in the United States on August 26, 2020","August 26, 2020",1598421600,"Sara D.",5,"Perfect Bavarian yogurt starter culture","I had really been missing the Bavarian yogurt I use to buy when I lived in Japan, but wasn't able to find it here in the US. So I came across this starter and decided to give yogurt making a try. It the end product tastes exactly like the brand I use to get and that brings my family and I so much joy! We add a little strawberry or blueberry jam right before eating to make it taste identical to the flavor I use to buy. I'd also like to say the shelf life of it is amazing as well, I found some packets in the cupboard I forgot to use from the beginning of 2019 and they still worked perfectly.",true
"R3HY6L0ONKNY2W","B0772KVKN9","B00XPM1NL0","Reviewed in the United States on August 21, 2020","August 21, 2020",1597989600,"Donna C. Horgan",5,"Perfect","Perfect",true
"R2S92TRQ4A2WOQ","B0772KVKN9","B0772KVKN9","Reviewed in the United States on July 21, 2020","July 21, 2020",1595311200,"Kindle Customer",5,"Great starter culture and great flavor!!! Instructions included!!","This starter is awesome. They don't sell this Bulgarian yogurt where I live, and it's amazing.I'm on my third generation, now and it's still as awesome as the first batch. I've learned how to incubate it in my Ninja Foodi Grill on the dehydrate function at 105°F.It's amazing!!!!! I use one half gallon whole milk, heat it to 185°F, remove from heat until the milk cools to 110°F. I mix in the starter sachet with a whisk and whisk it by hand for 30 seconds. Then I transfer it to eight 8 fluid ounce glass jars and put them into the Foodi Grill on the dehydrate setting at 105°F for 10 hours. PERFECT YOGURT - in containers, ready to freeze. (Freezing it keeps you from being able to eat all your yogurt in one day, which is exactly what I did with my first quart batch I made!!!) I hope you have the same luck I've had so far!!!!",true
"RFD3LK0KNKK42","B0772KVKN9","B0772KVKN9","Reviewed in the United States on July 5, 2020","July 5, 2020",1593928800,"Eberhard",3,"Disappointed with the taste","I am making my own yogurt for the last 5 years using as a starter natural yogurt from the supermarket. I am good making my yogurt, but I wanted to improve the yogurt with a Bulgarian strain. I bin to Bulgaria and ate Bulgarian yogurt at different times. This strain I bought is not any different than the one from the supermarket. I am disappointed. Not worth the money I spent.",true
"RMRYXZWYZ70BQ","B0772KVKN9","B00XPM1NL0","Reviewed in the United States on June 28, 2020","June 28, 2020",1593324000,"Amazon Customer",1,"Dead cultures","I’m 100% certain the cultures are mostly dead. I’ve tried three times and after 24 hours in the pot, still goopy liquid. I’ve been making yogurt in my instant pot twice a week for months and this brand is the only time it’s failed.",true
"R2DQO6LGEMP3FJ","B0772KVKN9","B00XPM1NYM","Reviewed in the United States on May 28, 2020","May 28, 2020",1590645600,"RK",5,"good yogurt","the yogurt i made with this is a tad on the watery side, but it's still very good. saves a ton on yogurt costs from the store.",true
"R2BOC2KVDKKVQP","B0772KVKN9","B0772KVKN9","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Joanna ",1,"Didn’t work, ?expired","Follow instructions but didn't work. After 2 days there was a purple hue on the milk.",true
"R3QWBN0934QVKM","B0772KVKN9","B00XPM1NL0","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Nadaj",5,"If you like your yogurt tart, this is the one and is what I use to make excellent labneh.","I made my first 1.5 quart batch from a single packet two months ago, using only one more packet a couple weeks ago when I felt my reserve culture from previous batches had been contaminated. So this one purchase could last a year or more. Excellent find.",true
"R1QE54YGC2LH4W","B0772KVKN9","B00XPM1NL0","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"Theresa Bateman",5,"Best flavor","My first time and was easy in my instant pot. Incredible flavor. Very smooth and creamy as i used organic grass fed milk. I used half with organic strawberries and honey and made frozen strawberry yogurt. Was so yummy.",false
