"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1AD85S8IHOIOK","B077RVB56M","","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"Marisa brown",5,"Love this stuff so does my toddler","This is one of my favorite yogurts. Really great and smooth.",true
"RBY1BL9GV0R8E","B077RVB56M","","Reviewed in the United States on June 23, 2021","June 23, 2021",1624428000,"Fin",5,"Top Fav","The vanilla bean coconut milk yogurt is one of my top favorites and I eat a lot of yogurts.",true
"R2DNA995B2DL1S","B077RVB56M","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"Lo",2,"Too much sugar","It offers a great plant alternative for yogurt but it has way too much sugar.It's also pricey considering how small it is",true
"R2HL48L8TWDTC","B077RVB56M","","Reviewed in the United States on May 13, 2021","May 13, 2021",1620885600,"Elaine B.",5,"Creamy and smooth, excellent flavor","This is very tasty and definitely satisfies the craving for something sweet and creamy. The texture is actually smoother and better than dairy yogurt.",true
"R2FE7TM03KBXMV","B077RVB56M","","Reviewed in the United States on May 10, 2021","May 10, 2021",1620626400,"KD",5,"Yum!","Creamy and just the right amount of vanilla.",true
"R3W2EXH2R5S4H7","B077RVB56M","","Reviewed in the United States on April 27, 2021","April 27, 2021",1619503200,"DARLA M HOLT",5,"Delicious and Creamy","This yoghurt is very delicious and super creamy. It’s way better that coconut, almond, and soy yoghurts.",true
"RLHHXSMU0DSME","B077RVB56M","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Eva E Cameron",5,"For breakfast","I ate it",true
"RAMVX713UU1G2","B077RVB56M","","Reviewed in the United States on April 19, 2021","April 19, 2021",1618812000,"K. Chubb",5,"Yum","First vegan yogurt I have liked. No funky taste. Smooth, but not runny.",true
"R50ZBT8OIE6LR","B077RVB56M","","Reviewed in the United States on January 31, 2021","January 31, 2021",1612076400,"Daisy",1,"Too sweet","I really wanted to like this, but it was way too sweet, and in a weird way. I also disliked the texture, not like regular yogurt or Greek yogurt.",true
"R2EKWDF6TI1X5O","B077RVB56M","","Reviewed in the United States on January 10, 2021","January 10, 2021",1610262000,"bxz2501",1,"Vile taste","Haven't found a decent dairy-free yogurt besides Coconut Collaborative. This yogurt is so clumpy and weirdly textured. Flavor is also a miss. Really wish I liked it :(",true
"R2D876DIXXALFT","B077RVB56M","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Kirasheba",5,"Love it!","I prefer this to all other non dairy yogurts. Nice and thick and a good taste.",true
"RIF09J6QY9S2U","B077RVB56M","","Reviewed in the United States on December 10, 2020","December 10, 2020",1607583600,"Molly Scott",1,"YUCK","I like the 365 brand better.",true
"R1Q8UD6DHCH0UM","B077RVB56M","","Reviewed in the United States on October 31, 2020","October 31, 2020",1604124000,"Catlin",4,"Tastes good and creamy","I am allergic to diary so I have been trying out alternative yogurts. Cashew is the best I have found.",true
"R3UOXZNFQMPX01","B077RVB56M","","Reviewed in the United States on August 15, 2020","August 15, 2020",1597471200,"regina desiderio",5,"Good flavor","I love it",false
"R3NHI97LDQ0GVQ","B077RVB56M","","Reviewed in the United States on July 6, 2020","July 6, 2020",1594015200,"Juliana Fridline",5,"Tasty and light yogurt","Better than I expected. It tastes very similar to Trader's joe's brand cashew milk yogurt.",true
"RQYLNS5H1LRWK","B077RVB56M","","Reviewed in the United States on March 5, 2020","March 5, 2020",1583391600,"Carla",3,"Meh","Meh",true
"R3S1XL1KCQFCCQ","B077RVB56M","","Reviewed in the United States on March 4, 2020","March 4, 2020",1583305200,"Michelle Riera",1,"Good, but went bad quick","Went bad the very next t day after opening!",true
"R3DB9BSDLY1IDG","B077RVB56M","","Reviewed in the United States on January 26, 2020","January 26, 2020",1580022000,"Leslie Webb",2,"not like the drinks","I wanted to like this because I love the forager drinks, however this has a weird texture and flavor",true
"R1RWA2NOQ7Z874","B077RVB56M","","Reviewed in the United States on January 5, 2020","January 5, 2020",1578207600,"Koey",4,"Acceptable","Ot is ok. Not the best but definitely not the worst.",true
