"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2YEM112UHXRX9","B077RVBXDB","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"CP",5,"Good flavor and healthy","Like that it is non-dairy and has a good flavor. Easy to use and healthy.",true
"R1LFL3ZQMW5UP9","B077RVBXDB","","Reviewed in the United States on May 26, 2021","May 26, 2021",1622008800,"Ann",4,"Good alternative to dairy.","Dairy free probiotic.",true
"R1FIURDHNWOABX","B077RVBXDB","","Reviewed in the United States on April 21, 2021","April 21, 2021",1618984800,"MBRetro",5,"Yummy in my tummy","Delicious",true
"R1VM2P0WXGZKSL","B077RVBXDB","","Reviewed in the United States on April 18, 2021","April 18, 2021",1618725600,"Zamaly",4,"Taste really good","I really like it but I just wish they would make it with less sugar.",true
"RT678E5NE226Z","B077RVBXDB","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"JFG",4,"Tasty dairy free blueberry yogurt shake.","This is a really good tasting and healthy blueberry dairy free yogurt shake that is thick and creamy and very filling.I highly recommend it.",true
"RW9CZ9TH3F7Q0","B077RVBXDB","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"I Hate Shopping in Stores",5,"Good but not better than junk food","I keep buying these because I’m going to eat healthy then I let it go bad in my refrigerator while I eat bad for me food instead. When I do drink this I enjoy it. It’s really good. But apparently it’s not better than the junk I eat instead.",true
"R167VLARGPTMBA","B077RVBXDB","","Reviewed in the United States on March 24, 2021","March 24, 2021",1616565600,"Debbora",5,"Don’t be with out one!","I loved it!",true
"R2JCEE6CBD1WVR","B077RVBXDB","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Charlotte",5,"Great drinkable yogurt","I really enjoy yogurt but am lactose intolerant. I was very happy to find this drinkable cashew milk non-dairy yogurt. Each bottle has 3-4 servings. Its a great pick-me-up mid-morning or mid-day. The flavor is good, just like high quality yogurt. It also comes in single serving bottles. It contains all the probiotics I look for in yogurt. Smaller cartons just like regular yogurt are also available. Of all the nondairy yogurts - almond milk, coconut milk, oat milk, etc, this cashew milk yogurt comes the closest in taste and texture to regular yogurt. Definitely recommended.",true
"R2RXI0KNF6GFNW","B077RVBXDB","","Reviewed in the United States on March 11, 2021","March 11, 2021",1615446000,"Weatherby Williams",5,"Clean and tart. Smooth probioticLOVE","This to me is a great flavor and smooth drinking plant based probiotic yogurt drink. Clean and tart. I’mA big fan. Use it in smoothies every day!",true
"R4HSCNCI0V4PI","B077RVBXDB","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"naigon",5,"Super tasty drink with probiotics","The blueberry and strawberry flavors are the best, 5/5. I like Mango but I'd say it's only 4/5 as far as mangos go. Blackberry is also like 4/5 as it's a bit too tart for a drink though I love blackberry pie.If you can get the strawberry or blueberry you definitely should grab one.",true
"R2ABN3UU5CUHBX","B077RVBXDB","","Reviewed in the United States on January 26, 2021","January 26, 2021",1611644400,"Rachel Friedman",5,"Favorite","So delicious, taste like go-gurt from my childhood but is vegan and healthy! It’s the only things I can eat for breakfast because I usually don’t have an appetite",true
"R9F3X01VOCP8G","B077RVBXDB","","Reviewed in the United States on January 24, 2021","January 24, 2021",1611471600,"KDS",5,"My Kids love it!","My kids love this, they think it's a milkshake😂",true
"R2ZD3FEOQF7RO8","B077RVBXDB","","Reviewed in the United States on December 23, 2020","December 23, 2020",1608706800,"Chintana Owens",5,"I wish I could drink these often!","Due to the amount of sugar I can't consume these the way I wish I could but I would highly recommend these. The flavor is great & just the right consistency!",true
"R1LGNOYKRIY44S","B077RVBXDB","","Reviewed in the United States on December 14, 2020","December 14, 2020",1607929200,"CAT",5,"Excellent source of probiotics without dairy","I needed a good source of probiotics and also calcium that wasn't dairy and this is it. Calcium pills have too many unhealthy byproducts and I don't like dairy so I wasn't getting enough probiotics because I don't eat yogurt. This solves both those problems. It's drinkable, and plant based, with one billion of probiotics per serving. Also organic, which is a plus and different flavors to choose from. But the word is out and sometimes these are sold out. Recommended.",true
"R17XIJ2TXC6FFO","B077RVBXDB","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"L. Chew",5,"Great","Delicious",true
"RN5SN97P8I8QS","B077RVBXDB","","Reviewed in the United States on July 28, 2020","July 28, 2020",1595916000,"Melissa Decorah",5,"Best non dairy yogurt I've come across!","This stuff is delicious and works wonders. It also takes a lot less time and utensils to consume than regular yogurt.",true
"R120SDT9GGZOFN","B077RVBXDB","","Reviewed in the United States on May 13, 2020","May 13, 2020",1589349600,"olga norena",5,"Excellent","Very good",true
"R140TWI0KF6V6Q","B077RVBXDB","","Reviewed in the United States on May 11, 2020","May 11, 2020",1589176800,"Jing Hao",5,"love","lovelovelove",false
