"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3SG5W7B4SYG9Y","B077RYGD4L","","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"AnnaBanana",5,"This is really good.","This is really good.It’s not like yogurt made with milk.I still enjoy it though.",true
"RXH794W8D3792","B077RYGD4L","","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"MinMayAileyBay",5,"Healthy and tastes good","My favorite non dairy plain yogurt. A lot of the other alternatives claim to be healthy but have questionable preservatives.",true
"RK2UUG44RC6B1","B077RYGD4L","","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"Booskerdu",1,"Awful!","Omg this is so gross. It's super loose, sour, and just plain nasty. Has a very gritty texture. Even propped up with add-ins, it's still too soupy.Don't recommend. Going back to coconut yogurt.",true
"R3DUB9HKZWF3EP","B077RYGD4L","","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Skabberdink",1,"Too many gums in it 😵‍💫","I got a headache from this product. To make it more like milk yogurt they use too many gums in it. It affects the taste and your health.I ended up with a headache.",true
"R23QOB89ZVZQ8X","B077RYGD4L","","Reviewed in the United States on August 30, 2021","August 30, 2021",1630303200,"kelsey",2,"Poor taste","I’ve been trying to find a low sugar plant based yogurt for a long time, so I was excited to try this. This is not a winner. The texture was fine, but the flavor is so bad. It tastes like vomit. 🤢",true
"R1V689TWSD76RL","B077RYGD4L","","Reviewed in the United States on August 14, 2021","August 14, 2021",1628920800,"Enzo",5,"Tastes like typical yogurt","I prefer the unsweetened protein version they offer over this one. This one has a thinner consistency and less protein. I only get this one if the protein one is out of stock.",true
"R3FPCY3NF4JQPZ","B077RYGD4L","","Reviewed in the United States on August 3, 2021","August 3, 2021",1627970400,"Amazon Customer",5,"Finally a tart plant based yogurt!","I have been searching for a good tasting plant based yogurt.I find most of them do not really taste like yogurt they don't have that tartness. Someone recommended Forager to me and this is it!Best I have tried.I wish it were a little thicker like Greek style,but the taste is very good.",false
"R1UEDRMM4EZDF1","B077RYGD4L","","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Ashley",5,"Good Alternative to dairy!","We have this yogurt for our toddler to eat and she loves it! I'm not a big fan myself as it is very tart, but I can see how it would work well to add to other snacks or dishes. I would not eat it plain.",true
"R3KP9WOOVZ2V6W","B077RYGD4L","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Terry Patterson",1,"horrific","I had one spoonful and that was enough.Disgusting.",true
"R2RE60WLTEV78O","B077RYGD4L","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Mochi",5,"amazing!","This is one of my favorite non-dairy yogurt. The price is fairly reasonable and it acts just like traditional dairy yogurt pretty much - just slightly more watery.",true
"R2OHCFYPGVT50A","B077RYGD4L","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"YGinNYC",5,"great yogurt alternative for vegans!","Forager makes excellent and affordable yogurt alternatives. This plain yogurt is great for smoothies, breakfast, and as a base for creamy sauces. Taste & consistency is similar to regular plain yogurt.",true
"R2GOEADPJ3PPKF","B077RYGD4L","","Reviewed in the United States on July 2, 2021","July 2, 2021",1625205600,"Joseph Taylor",1,"Gross","Disgusting",true
"RYDR17G2MXV81","B077RYGD4L","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"H",3,"Good yogurt for someone avoiding certain food groups","I liked this product but quality control from the actual container being damaged to the taste & then price went up so I quit buying.",true
"R1RXBKW87QK64R","B077RYGD4L","","Reviewed in the United States on June 17, 2021","June 17, 2021",1623909600,"MJ",5,"Yummy in my tummy","The best yogurt I ever tasted. Better than cow's yogurt. Creamy and thick. Will buy again",true
"R3G41IC7BLVSAD","B077RYGD4L","","Reviewed in the United States on June 16, 2021","June 16, 2021",1623823200,"L.s.",3,"Didn’t eat","Didn’t eat",true
"R1YI62D7FQ54UY","B077RYGD4L","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Angelica Maria Madrid-Kaady",1,"Awful taste","No",true
"R2O6BHJ4KDGLHY","B077RYGD4L","","Reviewed in the United States on June 7, 2021","June 7, 2021",1623045600,"Catheryn Cowings",1,"Terrible","It tasted terrible and was slimy. I had to stop eating it.",true
"R3BP4F5MXN1AFY","B077RYGD4L","","Reviewed in the United States on June 4, 2021","June 4, 2021",1622786400,"Floridayogi",2,"Tastes like nothing","The texture is great. The flavor is of nothing. Plastic only. This is not fermented. They stir in probiotics.Plan on adding lemon or something.",true
"RVZZ0ULBZ8MMA","B077RYGD4L","","Reviewed in the United States on May 27, 2021","May 27, 2021",1622095200,"EF",5,"Where have you been all my life!","I have been looking for a dairy free REAL yogurt for years.... not a ‘yogurt alternative’This is DELICIOUSHas a fantastic smooth TEXTUREVERSATILE Can be used with fruit, or salsa and chips, as sour cream, Tto top your sweet potato and black been enchiladasreal LIVE culturesjust YUM, HEALTHY, good for the planet too!Consider a glass container?",true
"R2W4V3MJDL0T8D","B077RYGD4L","","Reviewed in the United States on May 18, 2021","May 18, 2021",1621317600,"Alicia Reece",4,"I use it as a sour cream replacement, for sauces and breads","I tried Coconut Yogurt first, which works great as just a yogurt - but this is far better for using in sauces and as a replacement for sour cream, as well as a replacement for 3 ingredient dairy free naan. You don't even really need to add lemon because its already a bit tart. That said, I wouldn't use it as a yogurt replacement. It's a bit too powerful of a flavor for that. Price-wise it's amazing deal for sauces, sour creams and breads though :)",true
