"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R14OR1CRER7IRY","B077S1Y86S","","Reviewed in the United States on September 12, 2021","September 12, 2021",1631426400,"Kindle Customer",1,"Not our cup of tea","When our normal non dairy probiotic was out of stock, we tried this. I thought it was disgusting. My husband tried it the next day, he said the same thing.This was a bummer for us. Definitely confused about the good ratings.",true
"R2DOOWL4YZ5M6P","B077S1Y86S","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Jade N",2,"Not tasty","I was excited for the strawberry flavor but it taste like vitamins and medicine and is acidic.",true
"R26DI8Q7BYK76F","B077S1Y86S","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Kindle Customer",4,"Forager succeeds again","Forager is filling in the gap for vegans who miss Kefir.I really like the strawberry flavor.The mango and blackberry flavors have very little taste.I do not prefer blueberry flavor in my foods not pie, tarts, yogurt (I do like blueberries by themselves), so I am unwilling to try that flavor. It is expensive as far as yogurt products go, as is all vegan yogurt.",true
"R3O73VYV67M2AS","B077S1Y86S","","Reviewed in the United States on July 15, 2021","July 15, 2021",1626328800,"Dannon McBee",5,"Repeat customer!","Very good, I keep getting more",true
"R273PDB8JP4UIH","B077S1Y86S","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"juliana",5,"this is my crack.","that's all i need to say. it's my crack. i love it. i drink it every morning. i sip it in the evening. it is the only vegan drinkable yogurt that's tasty. forager, don't ever stop making it. i NEED it. also, it's totally helped regulate my bathroom visits. my bowels wake up ready to work every morning. which, for a pregnant lady, is saying a lot (apparently pregnancy causes constipation -- but not for me! i'm in the bathroom nice and easy every morning like a champ!).",true
"R17WDBIV6IXSAX","B077S1Y86S","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Irene Messimeri",2,"Mold","After opening and taking in a big gulp I tasted something weird and looked and saw the top inside had mold.Buyer beware. Check for mold before drinking.",true
"RM54E7N5L7YU9","B077S1Y86S","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"Debbora",5,"Loved it!!","Great! I loved it!!",true
"R6C4KMYXU2WW","B077S1Y86S","","Reviewed in the United States on April 15, 2021","April 15, 2021",1618466400,"Amazon Customer",5,"Perfect!","My favorite flavor!! Has a good amount of sweetness and a thick consistency.",true
"R8FWYP9WDKSYT","B077S1Y86S","","Reviewed in the United States on April 10, 2021","April 10, 2021",1618034400,"My2sense",4,"DELICIOUS AND SMOOTH","This drink is so good! Makes kefir taste like crap. Once I tried it, I never bought kefir again. This goes down so smooth and is sweetened so subtly perfect. I’m giving it four stars because the price too high , we should ALL be able to eat healthy at an affordable price",true
"R10KITS2DFCTD1","B077S1Y86S","","Reviewed in the United States on March 26, 2021","March 26, 2021",1616738400,"Amazon Customer",5,"So good, A+","Dank asf",true
"R1PU52SJ4LNF0E","B077S1Y86S","","Reviewed in the United States on December 12, 2020","December 12, 2020",1607756400,"Freudian Slips",5,"Excellent for IBS","This product changed my life! Eliminated intestinal/gastric issues.",false
"R3GA1IFD0EZN7M","B077S1Y86S","","Reviewed in the United States on October 9, 2020","October 9, 2020",1602223200,"Nicholas S",5,"My favorite product at Wholefoods","If whole foods stop having this item, I will stop going to whole foods. Joking aside. I love this product! It's why I pay more for other groceries.",true
"R2W5BC49DAPVUJ","B077S1Y86S","","Reviewed in the United States on September 1, 2020","September 1, 2020",1598940000,"jessica blouin",5,"Scrumptious","Delicious dairy free yogurt. I love the flavor of the strawberry. My only complaint is that my local Whole Foods is always sold out of this flavor.",true
"R2U7HTXNX3YOGP","B077S1Y86S","","Reviewed in the United States on July 28, 2020","July 28, 2020",1595916000,"Melissa Decorah",5,"Best non dairy yogurt I've come across yet!","This stuff is delicious, works wonders, and requires fewer utensils than regular yogurt.",true
"RDD2JC7UTX055","B077S1Y86S","","Reviewed in the United States on June 22, 2020","June 22, 2020",1592805600,"Frequent shopper",5,"Yummy! And filling","Not too sweet and not too sour that usually comes with the yogurt taste. Love it.",true
"R1SD882B4LZBQJ","B077S1Y86S","","Reviewed in the United States on March 12, 2020","March 12, 2020",1583992800,"sharfu day",5,"The Best","The taste of this drink is so good that my husband thinks its a milkshake.",true
"R2K5M48T69S646","B077S1Y86S","","Reviewed in the United States on March 7, 2020","March 7, 2020",1583564400,"Matthew",5,"Amazing!","I switched to this from Kefir! It tastes so much better and is healthier!!",true
"R18DTJJJHBKCLL","B077S1Y86S","","Reviewed in the United States on February 4, 2020","February 4, 2020",1580799600,"Saphireblue",5,"Yes","Yummy.",true
