"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3D3MIQA1ID47K","B07818XQJ4","","Reviewed in the United States on November 12, 2020","November 12, 2020",1605164400,"Cindy",5,"Scrumptious","I’ve had a fair share of coconut yogurts but this one right here it’s the absolute best, the texture is amazing and the taste takes you up to the coconut gods! Try it!",false
"R2F8X19L3BTWPZ","B07818XQJ4","","Reviewed in the United States on October 7, 2020","October 7, 2020",1602050400,"skippy",5,"Delicious!","Delicious and the very best non-dairy yogurt on the market. So funky gums or added sugars. Worth the price in my opinion.",true
"R1QNQ8SAWSSBYB","B07818XQJ4","","Reviewed in the United States on July 6, 2020","July 6, 2020",1594015200,"Happy Dad",5,"Someone finally improved on regular yogurt","Anita's is to Greek Yogurt, as Greek Yogurt is to regular mass-produced yogurt.It's literally an evolution in taste and nutrition.Only down side is they have a little bit of consistency issues (some batches are more liquidy, and some more creamy). But overall, they are really on to something here.Definitely worth a try.",true
"R21LFVX89V3OU","B07818XQJ4","","Reviewed in the United States on December 6, 2019","December 6, 2019",1575615600,"ButterflySal",5,"Better than conventional yogurt","I love this yogurt! It's very rich and creamy with a flavor that stands alone.",true
"R19EKQTWNSG2US","B07818XQJ4","","Reviewed in the United States on December 5, 2019","December 5, 2019",1575529200,"lisamarie22",5,"Divine yogurt","So delicious and fresh",true
"R27GPVTR202W6V","B07818XQJ4","","Reviewed in the United States on September 9, 2021","September 9, 2021",1631167200,"Jason Hollander",5,"Delicious","Perfect for non-dairy people, fantastic taste and texture, no unhealthy ingredients or fillersWish it came in a glass container",true
"R3R47ZESEBW8PD","B07818XQJ4","","Reviewed in the United States on August 12, 2021","August 12, 2021",1628748000,"Kristine",5,"Love it! Use thick or stir for creamy.","Best thing is the flavor and simple,organic ingredients. I don’t know if they changed their formula because Amazon posted an image of “this product” in different packaging and containing rice maltodextrin. This product in plastic tub purchased at WF only has coconut and the cultures. Super clean tasting slightly sweet with a nice yogurt tang. Super thick creamy like Greek yogurt or almost feta cheese. There is liquid that settles at bottom of container. I like my yogurt thick but I guess you could stir it up and get a more liquid texture if you enjoy your yogurt that way. This product can go great with veggies or fruit. It is slightly sweet snd can substitute excellent for whipped cream. I had it before with fruit. I think the texture came a little smoother. I think it depends on how it settles. To be expected for such a natural artisan type product. This time I used it with tomatoes snd fresh cucumber doused with garlic powder and oregano. It was like eating a Greek salad. It was thick enough could be used on crackers. Yes expensive. I wish it were more like $7.99 but if memory serves it was $10.99. Simply awesome versatile. Maybe in time as sales increase they will lower the price. I think more people would venture to buy and continue buying. I only saw plain available but I’m ok with that as I can add my own fruit. I would say also it can be used in a salad dressing recipe instead of cream or cheese.",false
"R33HLSWZUPAUU8","B07818XQJ4","","Reviewed in the United States on August 6, 2021","August 6, 2021",1628229600,"ILoveMusic",5,"The most similar to greek yogurt","I'm a yogurt fanatic, and so I find it really hard to find myself unable to eat dairy now. This is the closest replacement to Greek yogurt I've found, in its slightly sweet and tangy creaminess. (I've tried So Delicious, Culina, CoCoJune, and others). One note--I have to dump it out into a bowl and whisk it to get it to the desired consistency.",true
"R2VWJ06P4WW8FT","B07818XQJ4","","Reviewed in the United States on July 11, 2021","July 11, 2021",1625983200,"Amazon Customer",5,"Yum","Good",true
"R1E3LKZHXJ6K82","B07818XQJ4","","Reviewed in the United States on May 21, 2021","May 21, 2021",1621576800,"Self Help Guru",5,"Safe ingredients and completely delicious-","This is great alone or in a parfait or just mixed with your favorite fruit spread and makes a great base for various sauces and frozen yogurt in your ice cream maker.",false
"R2BDXDSMBPYKGT","B07818XQJ4","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Heidi D. Rugg",5,"Yum!","Yes, this stuff is crazy expensive… But I really don’t care. It is nice to have a yogurt product I can eat that is rich, creamy, and tastes great!",true
"R253I60357X6JI","B07818XQJ4","","Reviewed in the United States on April 25, 2021","April 25, 2021",1619330400,"Emily",5,"Amazing product","Delicious and simple. Thick and creamy. Worth the cost to have a great nondairy product.",true
"RQKZOPN18OVTL","B07818XQJ4","","Reviewed in the United States on March 2, 2021","March 2, 2021",1614668400,"Danielle Ricciardi",5,"BEST YOGURT ON THE PLANET!","This yogurt has everything you want and crave.Thick, creamy, smooth, full of probiotics.Nothing artificial.This is the real deal.Best yogurt I've ever had.Support this Women-Owned BIPOC / Brooklyn Based Company today!",false
"R27Q2G2OG48KV1","B07818XQJ4","","Reviewed in the United States on December 29, 2020","December 29, 2020",1609225200,"Elsie M.",5,"Best non dairy yogurt","Great flavor. Very thick and creamy and mildly sweet even with no added sweetener.",true
"R1RSCFRB3G7D4K","B07818XQJ4","","Reviewed in the United States on November 19, 2020","November 19, 2020",1605769200,"Darlene",2,"Very soupy","Flavor was okay but the consistency was more like soup than yogurt.Disappointing",true
