"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2NEQGC77NNIMK","B0785WCQBF","","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"Ryan",3,"Not for me","The consistency is like water in its own way it is not creamy how you want it to be I eat a different brand and by mistake I bought this one",true
"R20TM8BKAI5MNF","B0785WCQBF","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"Rose",5,"BEST GREEK YOGURT!","I have tried so many ""Greek"" yogurts and this is truly how authentic Greek yogurt should look and taste like. It is thick like sour cream, but again this is the consistency of real Greek yogurt.",true
"R1JAKW1264SDPC","B0785WCQBF","","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"JC",4,"good yogurt not exp date","great yogurt. but expires in few days.",true
"R37K41DWB45H1W","B0785WCQBF","","Reviewed in the United States on July 21, 2021","July 21, 2021",1626847200,"Nellie215",5,"Creamy","Oh so creamy and tasty",true
"R37X2SZHTESO98","B0785WCQBF","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Almaz Atnafu Woldekidane",5,"Delicious","Really great tasting - the grass fed version is definitely better tasting. Also a solid amount of protein per serving.",true
"R1FW8YZ9R541G9","B0785WCQBF","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"User",5,"Creamy and delicious","This yogurt has a rich, creamy texture and a pleasant tangy taste that I love in my yogurt. It's also high protein, while being lower in carbs. Highly recommended.",true
"R1CX1TA046TKW5","B0785WCQBF","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Sheri Aguilar",5,"Loved","Grand daughter liked it.",true
"R3CD6XITYIYEPM","B0785WCQBF","","Reviewed in the United States on June 3, 2021","June 3, 2021",1622700000,"G Driver",3,"Overpriced","Not my favorite especially for the price; thinner and more watery than I was expecting.",true
"RUIFLRXJ7AOT1","B0785WCQBF","","Reviewed in the United States on May 31, 2021","May 31, 2021",1622440800,"Ferguson",5,"Love","This yogurt taste phenomenal",true
"R18SSLL7IXXY58","B0785WCQBF","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"sporty",5,"Very good!","I was searching for a plain, organic, greek yogurt but couldn't find all of those features in one.This one was the only one!And grass fed as a bonus!This is a staple for me.",true
"R19LR9SUAIZBC0","B0785WCQBF","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"DAVE",5,"100 % Grass Fed","The only milk a human being should eat or drink is grass fed",true
"R3ELR1B7OYIC5Z","B0785WCQBF","","Reviewed in the United States on May 17, 2021","May 17, 2021",1621231200,"Leni",5,"Great Greek Yogurt. Try mixing with plain low-fat dairy kefir!","I love this Greek yogurt, but it's made from whole milk, so it's pretty high in fat. To lower the fat and also make it less thick, I mix it with low fat plain dairy kefir, like this Lifeway kefir: https://www.amazon.com/Lifeway-Organic-Low-Kefir-Plain/dp/B000QJC5KI/ref=sr_1_1_0o_wf?dchild=1&keywords=kefir+plain+fat+free&qid=1621282298&sr=8-1. The yogurt-kefir mixture tastes great and contains even more different strains of probiotic bacteria than the yogurt alone, because the kefir provides lots of additional strains of probiotic bacteria!",true
"RLN4BXS6BBI6Y","B0785WCQBF","","Reviewed in the United States on March 28, 2021","March 28, 2021",1616911200,"Mike",5,"Smooth & creamy","This yogurt is so smooth, creamy, delicious with no unpleasant smell or aftertaste. It is nothing short of a mouthful of delicious.Once you try this, you won't go back to anything else.",true
"R1ZG8L3CP0QU79","B0785WCQBF","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Man Makes a Picture",5,"Best Yogurt I ever tasted (and I tasted many)","This yogurt is healthy, with great texture and flavor. It is a part of my ""heritage"" collection.",true
"R3JP1E2OHTC9C9","B0785WCQBF","","Reviewed in the United States on March 15, 2021","March 15, 2021",1615788000,"Mahalakshmi Lakshminarayanan",5,"Yummy Yogurt","The yogurt is very yummy,but was very thick, would prefer it to be a little more creamy / liquidy than so thick.",true
"RELIGL9IERWQV","B0785WCQBF","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"SKS",5,"BEST GREEK YOGURT","The BEST Greek yogurt I’ve ever had. Has a natural sweetness and tastesdelicious. And off course very healthy.",true
"R3D36ER80MX6V6","B0785WCQBF","","Reviewed in the United States on February 17, 2021","February 17, 2021",1613545200,"Keren Harrison ",5,"High quality Greek yogurt","This is the only Greek yogurt that I can find is made of organic and grass fed milk! Absolutely delicious and good quality!",true
"R1JC1L2ECK036X","B0785WCQBF","","Reviewed in the United States on February 5, 2021","February 5, 2021",1612508400,"Laletta",5,"Yum","Delicious and creamy. A tiny tiny bit more sour than the Trader Joes Greek yogurt, but much healthier (grass-fed and organic!)",true
"R2S78ZWK4Q7607","B0785WCQBF","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"Ro",5,"Our favorite!","Delicious, organic, & 100% grass-fed!",true
"R29Z7WZVK1MFH9","B0785WCQBF","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"Ellie Giron",5,"Would definitely recommend","Flavor is great.. thickness perfect.",true
