"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1VLGAMG2TZ0L2","B0785WFKRZ","","Reviewed in the United States on June 20, 2021","June 20, 2021",1624168800,"Otter11",5,"Best ever made","Had this when I was traveling in New Zealand. Hands down the best Yogurt ever made.",true
"R3U9FWAY3ZHPPL","B0785WFKRZ","","Reviewed in the United States on May 9, 2021","May 9, 2021",1620540000,"Rachh01",5,"Delicious!","The Wallaby Organic Strawberry Greek Yogurt is so delicious I would give it more stars if I could. Wow! The best ever! Thanks!",true
"R2R3TNSN9LBZ1P","B0785WFKRZ","","Reviewed in the United States on April 16, 2021","April 16, 2021",1618552800,"Curiouso Georgio",5,"Delicious!!!","This is one of the most amazing yogurts out there. My only complaint is that it’s a tad pricey. It’s a dollar or two more than the name brand ones that you see out there, but.....I love the flavor so much that I do buy it.🤗",true
"RYD8K1PSZTVT2","B0785WFKRZ","","Reviewed in the United States on March 22, 2021","March 22, 2021",1616392800,"Gigi",5,"Sooooo good!","This strawberry Greek yogurt from Wallaby is thick and rich and creamy, and really tastes like strawberries. It’s delicious.",true
"RJ5FMHCJEY4N6","B0785WFKRZ","","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Angelita Toscano",5,"Very liquidity!!","Loved the taste, great for smoothies. Very liquidity.",true
"R3AZ9JO7X3WIHK","B0785WFKRZ","","Reviewed in the United States on February 28, 2021","February 28, 2021",1614495600,"jason dean",5,"The absolute best yogurt","Best yogurt brand ever as good as ice cream but wAy better for you",true
"R1G6G7FZ7T5AV9","B0785WFKRZ","","Reviewed in the United States on February 4, 2021","February 4, 2021",1612422000,"Shayna",5,"Oh. My. God.","This is by far the best yogurt....EVER. Please buy it, add granola and frozen blueberries....",true
"R56CQSYF5EZJN","B0785WFKRZ","","Reviewed in the United States on January 28, 2021","January 28, 2021",1611817200,"Claire B.",5,"It is really good tasting yogurt and very thick. Great for many things.","It is great for eating straight but also wonderful to make all kinds of deserts and cheesecakes with itas it is superb substitute for cheese and already has flavors in it. Amazing cold non baked cheesecakes made with it been done to our hearts delight.",true
"R3T4HDK7E7QU6N","B0785WFKRZ","","Reviewed in the United States on January 13, 2021","January 13, 2021",1610521200,"Sandi B",3,"Did not care for consistency","The consistency is too thin. It wasn’t particularly flavorful.",true
"R17VS9PM37GAZO","B0785WFKRZ","","Reviewed in the United States on January 9, 2021","January 9, 2021",1610175600,"Tori L.",5,"The perfect strawberry yogurt","Oh my gosh, BEST strawberry yogurt ever! Flavor is fantastic, it's thick and creamy, and full of protein. Highly recommend this product and all products from wallaby. I haven't had a bad one yet.",true
"R3VJ2DDYJ7WUDC","B0785WFKRZ","","Reviewed in the United States on December 27, 2020","December 27, 2020",1609052400,"Monica Meyers",5,"Pleasant to the taste","A little sweet but good. I prefer the small size ones but I got this when couldn't find those.",true
"R3AS26EHL7RJRV","B0785WFKRZ","","Reviewed in the United States on December 2, 2020","December 2, 2020",1606892400,"Angel Aponte",5,"Delicious! You will not be disappointed.","So delicious, buy it. You will not be disappointed and will keep coming back for more. Yum!!!!",true
"R2QMBGHU0I69SY","B0785WFKRZ","","Reviewed in the United States on November 24, 2020","November 24, 2020",1606201200,"taylor",5,"Soooo good!","This is the best Greek yogurt I’ve ever had and I’m super picky. Absolutely delicious!",true
"R2JVHELE5LPQBC","B0785WFKRZ","","Reviewed in the United States on November 11, 2020","November 11, 2020",1605078000,"Renee Grannis",5,"Best yogurt ever!","So glad I ran across this brand. Love it.",true
"R3RDYDF21FLREK","B0785WFKRZ","","Reviewed in the United States on November 3, 2020","November 3, 2020",1604386800,"Curtis Ed",5,"Good Yogurt","It was my first time trying this brand and I must say that I am glad that I made the decision to do so. The Yogurt is pretty good, even tastes like Ice Cream a bit in which I had seen someone write in their review and it's true to a point. The Yogurt is full of flavor with some chunks of fruit and best off all, tastes natural. I will be purchasing this again when finished with what I currently have.",true
"RYSXC4UW272WS","B0785WFKRZ","","Reviewed in the United States on October 29, 2020","October 29, 2020",1603951200,"Emma",5,"From hater of Greek yogurt to LOVER","My boyfriend and I recently tried this yogurt out. We tried Greek yogurts in the past but they all didn’t taste good at all. But this one IS AMAZING. Doesn’t taste like the Greek yogurt we tried in the past. We are on our 4 or 5th container of it! We add granola to it and it’s heaven!",true
"RCSKT27NYJJIA","B0785WFKRZ","","Reviewed in the United States on August 17, 2020","August 17, 2020",1597644000,"mstreedancer",5,"Loved it","Great taste, small pieces of real strawberry.Good quality.",true
"R3A29SQR4IDFLU","B0785WFKRZ","","Reviewed in the United States on August 17, 2020","August 17, 2020",1597644000,"Debbie",5,"Best yogurt ever!","Delicious Greek yogurt!",true
"RGWSJ8O8BCDZ8","B0785WFKRZ","","Reviewed in the United States on July 26, 2020","July 26, 2020",1595743200,"Amazon Customer",5,"Delicious","Very rich and delicious",true
"R37NBF8CZ7WY4V","B0785WFKRZ","","Reviewed in the United States on July 13, 2020","July 13, 2020",1594620000,"lbeanburrito",5,"like strawberry ice cream!","I've tried a lot of strawberry yogurts, but this, and the Greek Gods Honey & Strawberrry one beats them all! A. This tastes like strawberry ice cream, and who doesn't love that? B. The consistency is key. it doesn't get watery like other greek yogurts do day after day once you've opened them. C. No frozen/unfrozen strawberry chunks. I like my greek yogurts to have a smooth consistency because I add fresh fruit, or chocolate chips to mine, and often times, I find that the fruit pieces that are in greek yogurt, just don't taste very good because obviously, they're frozen. To anyone who is skeptical or picky, GET THIS IMMEDIATELY! It's like dessert for breakfast.",true
