"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RFT29HL0VOW1M","B078837C7L","","Reviewed in the United States on June 27, 2020","June 27, 2020",1593237600,"Mala",5,"Yummmmm","My fave chocolate yogurt",true
"R18T5HEHRLYR8R","B078837C7L","","Reviewed in the United States on February 2, 2020","February 2, 2020",1580626800,"Veydas#One",3,"Just ok","Good but wish it had more protein. Other than calcium and probiotics, the sugar is too high to call it very healthy.",true
"R195JHCUZ1Z5RL","B078837C7L","","Reviewed in the United States on December 28, 2019","December 28, 2019",1577516400,"Tone",5,"When U want a dairy free snack like the rest","Why limit yourself due to food allergies. This is a great alternative with perfect consistency and flavor to match your expectations.",true
"RMF35MNBFNP3M","B078837C7L","","Reviewed in the United States on November 28, 2019","November 28, 2019",1574924400,"crazyartdolls",5,"Excellent product life saver.","I am in the middle of chemo treatment and this product help me so much.I am a. Vegan so I have to watch what I eat otherwise I get nauseated.I have one of these in the morning and night before bed to keep my blood sugar up. I wake up feeling good, would recommend for anyone even if you are not sick.Also, found out I can use my amazon card to pay for it.",true
"R2Q9C3QS9K4A3P","B078837C7L","","Reviewed in the United States on June 25, 2021","June 25, 2021",1624600800,"Dinty Moore",2,"Ewww","I was expecting a chocolate pudding kind of taste, it's sour and very weird tasting. Not edible. Won't order this flavor again, but I do like most all of their other flavors and eat this brand of yogurt nearly every day!",true
"R21XXPOTXS3BU9","B078837C7L","","Reviewed in the United States on June 2, 2021","June 2, 2021",1622613600,"VM",5,"Get 40 of them","So delicious. Like a dessert",true
"R13F7DYIVD6471","B078837C7L","","Reviewed in the United States on April 23, 2021","April 23, 2021",1619157600,"MERLY",3,"Good amount for the money","The test is like sour",true
"R2PIP0W9LJMGH8","B078837C7L","","Reviewed in the United States on April 13, 2021","April 13, 2021",1618293600,"Jen",5,"Omg!? ‘So Delicious’ is an understatement","I have never felt compelled to review a grocery item until now. This is THE best yogurt alternative I’ve ever tried; I wish I had bought a whole case! So creamy, not chalky like dairy yogurt, just overall a delicious product, must try!",true
"R2007TZ61SMXOU","B078837C7L","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"WLC",5,"Very good, hard to find this flavor","I like this yogurt a lot!! I cannot have milk or nuts.... I love chocolate and it is very very hard to find this, or any, non-dairy, nut-free CHOCOLATE yogurt. If you shake it up good before opening, it is smooth and flavorful. I love the vanilla too. Good non-dairy yogurt!",true
"RX3WPWYOMWMQ7","B078837C7L","","Reviewed in the United States on March 14, 2021","March 14, 2021",1615705200,"Saleem Rana",5,"A chocolate dream","Just the right amount of chocolate in the perfect plant-based yogurt. Glad they make them in small tubs. I would probably polish off a pound-sized tub in ten minutes. Always out of stock. The company should triple production!",true
"R2VB2QQIBCM6NJ","B078837C7L","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Rosi T.",3,"Would not buy again","I really like this brand and I love their yogurts, but unfortunately, this flavor is not my favorite. It tasted kind of strange the flavor. Other than that their other flavors are amazing but I would not buy this flavor again.",true
"R1IAJ8ITQIAQ1E","B078837C7L","","Reviewed in the United States on January 25, 2021","January 25, 2021",1611558000,"Ava",5,"Yummy yogurt","This yogurt is delicious.I give it to my 4 year old and he loves it.It is not like having yogurt, more like a dessert.",true
"R2AIM813TG827D","B078837C7L","","Reviewed in the United States on November 16, 2020","November 16, 2020",1605510000,"Roger B",2,"I believe I got a bad sample.","I think(hope) mine was expired or something. It was quite awful",true
"R3L5RN90R4L8UY","B078837C7L","","Reviewed in the United States on September 16, 2020","September 16, 2020",1600236000,"Holly",3,"Not great","My kids and I tried this and weren't thrilled with the flavor. I really wanted to like it but it wasn't happening.",true
