"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2408ZJAWE4BIX","B078B26PZC","","Reviewed in the United States on September 8, 2021","September 8, 2021",1631080800,"Sam Park",2,"Hmmm not so delicious for me","I dont think I will buy this again...",true
"R3T398XLHIKF45","B078B26PZC","","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Dash",5,"Great vegan product","I love it, it just expensive",true
"R2NYKZE4YP7KPF","B078B26PZC","","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"ellen",5,"Yummy","This is yummy. It’s nice to have alternatives to dairy",true
"R39PLP1ZVSJEZE","B078B26PZC","","Reviewed in the United States on July 25, 2021","July 25, 2021",1627192800,"Snowflake",5,"Great plant based yogurt","Nice flavor, creamy, and delicious.",true
"ROHHE9UX1COMP","B078B26PZC","","Reviewed in the United States on June 26, 2021","June 26, 2021",1624687200,"Riderz644",5,"Superior strawberry flavor to other non-dairy yogurts","So delicious yogurt has a great texture and flavor. It has a good strawberry taste to it.",true
"RQL1SDWY2KQSC","B078B26PZC","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Vnus5",1,"always spoiled from WF","I stopped buying these from my local Whole Foods (New Orleans area stores) because they would almost always be spoiled, as in congealed, separated, and gross. They are good purchased from another store. So star rating is for the ones I got at WF, not the product as it's supposed to be.",false
"R37RQS1G1OFUNK","B078B26PZC","","Reviewed in the United States on May 12, 2021","May 12, 2021",1620799200,"Anna Byrd",5,"Yummy!","I enjoy the fact there are finally more non-dairy options in yogurt.",true
"R3BRQFOS3WUAIG","B078B26PZC","","Reviewed in the United States on March 25, 2021","March 25, 2021",1616652000,"Dusty Wade",5,"Have bought again","Delicious and fresh!!",true
"RDUGWAFP2R0N8","B078B26PZC","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Donnarose",5,"Delicious","Texture was nice the smell was wonderful the taste was delicious",true
"R1KZL7RZ88MHHW","B078B26PZC","","Reviewed in the United States on January 14, 2021","January 14, 2021",1610607600,"Sheri Rossman",5,"Good price","Good taste",true
"RVPKMM196K3Q","B078B26PZC","","Reviewed in the United States on October 2, 2020","October 2, 2020",1601618400,"Shianne",4,"Good taste, Thin Consistency","The fruit flavored yogurts from this brand are really thin in consistency. It's a shame because the flavor is still pretty good. But there is a big difference between the consistency of the fruit flavors vs the plain and vanilla. Pretty disappointing.",true
"R1WTMNZYLPDMIE","B078B26PZC","","Reviewed in the United States on August 8, 2020","August 8, 2020",1596866400,"gus krider",5,"Yum","So yummy, I would recommend to any non dairy friend or people who don’t like yogurt.",true
"RYGU35CYPOIBV","B078B26PZC","","Reviewed in the United States on June 15, 2020","June 15, 2020",1592200800,"Mia",4,"Not my favorite but it’s good","When my green Chobani coconut milk yogurt is out of stock, this is my next go to. Pretty good but not my favorite. I shake it in the package so it’s not funny before I eat it.",true
"R2ZHYB149OA7DY","B078B26PZC","","Reviewed in the United States on May 9, 2020","May 9, 2020",1589004000,"Doris Moore",5,"Yogurt","Like",true
"REJ8T753XRUR8","B078B26PZC","","Reviewed in the United States on April 30, 2020","April 30, 2020",1588226400,"Daniela",5,"Delicious!!","My son’s favorite flavor!!",true
"R3F116TV3DNY01","B078B26PZC","","Reviewed in the United States on April 16, 2020","April 16, 2020",1587016800,"Amber",5,"Delicious","Best non dairy yogurt line there is as far as consistency",true
"RL1DHHD9OB8LC","B078B26PZC","","Reviewed in the United States on April 16, 2020","April 16, 2020",1587016800,"Judy Dalton",5,"Just as I remembered yogurt!","Thank you So Delicious for allowing me to enjoy yogurt again. I’d really missed it and yours is as I remembered!Now if you could also do a Greek style?Thanks!",true
"R2C0CD0E4I53WM","B078B26PZC","","Reviewed in the United States on April 11, 2020","April 11, 2020",1586584800,"Antionette",5,"Great yogurt for lactose intolerant people","A great substitute for a person who can’t tolerate dairy it taste.",false
"R3VY78J6V3MG8","B078B26PZC","","Reviewed in the United States on February 16, 2020","February 16, 2020",1581836400,"NKB",1,"Not a fan","Did not like",true
"R2GKFEZQGZFZII","B078B26PZC","","Reviewed in the United States on July 4, 2019","July 4, 2019",1562220000,"electrocat",5,"My favorite!","So delicious and refreshing and not overly sweet! With real strawberry 🍓 pieces too! My favorite flavor by far, although all the other flavors are good as well.",false
