"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R34M8CQT3EK10D","B079NBLLRN","","Reviewed in the United States on April 26, 2021","April 26, 2021",1619416800,"Rashidah F. ",5,"Absolutely Delicious!","Tasty and filling!",true
"R1D7O95KOCNH57","B079NBLLRN","","Reviewed in the United States on April 11, 2021","April 11, 2021",1618120800,"Leslie Bauman",5,"Love this super healthy coconut yogurt","I love that there are only 2g of sugar and no added sugar. It’s vegan, with 5 simple ingredients. The flavors are great, especially the cacao, but I like them all. This is a great way to start the day",false
"R31PF5QR8PBFYU","B079NBLLRN","","Reviewed in the United States on April 11, 2021","April 11, 2021",1618120800,"Chris Gero",1,"horribly overpriced and arrived spoiled","amazing product consumed from grocery many times arrived spoiled hit and overpriced.",true
"R1RMCR5BYEUS25","B079NBLLRN","","Reviewed in the United States on March 31, 2021","March 31, 2021",1617170400,"Melo11",5,"Best dairy free yogurt","This has been my go to dairy free yogurt. It tastes amazing and one jar is enough for two servings. Also the low sugar count was a priority and you can’t even tell it is a low sugar food.",true
"R2N6GOEIHPD9P0","B079NBLLRN","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"Jacqui",4,"Not a stevia fan!","I really love the plain flavor, and mostly adore it for its minimal ingredient list. This particular flavor was ok, I personally don’t like the taste of stevia, so although I wanted to love this one as much as the plain, I prefer the plain which doesn’t have anything else but coconut and live cultures. If it had no stevia in it or sweetener for that matter I would have given it 5 stars.",true
"RVORAVMQJSLR3","B079NBLLRN","","Reviewed in the United States on March 4, 2021","March 4, 2021",1614841200,"Hauskatz",5,"Really good!","It was not love at first ""taste"". It has a slight sour taste with stevia notes at first, BUT don't let that deter you. Because once your tastebuds wake up - the sheer, creamy coconut taste will take over. It is a delish VEGAN creamy yoghurt without all the bad stuff. The aftertaste though got me, it's like someone has awaken all the senses!This yoghurt is very filling, it took me a few days to finish it.The price is a little steep as with most vegan option products, so I buy this maybe 2x a months. But it's worth it, like a little decadent treat in yoghurt form!",true
"R3PYUQIGIZ9XX4","B079NBLLRN","","Reviewed in the United States on March 1, 2021","March 1, 2021",1614582000,"SGTravelpro",1,"Arrived expired","Arrived within days of expiration and shipped at wrong temp so couldn’t eat it",true
"R3E8TC6OT9UMSD","B079NBLLRN","","Reviewed in the United States on February 19, 2021","February 19, 2021",1613718000,"Amazon Customer",5,"very expensive","but real nice",true
"R2MW0AO0D42G65","B079NBLLRN","","Reviewed in the United States on January 17, 2021","January 17, 2021",1610866800,"Theresa Preston",5,"Super yummy - but beware","Loved this - but beware!This is made from Young Thai coconuts. That some reviews say it’s a little greedy that’s because it’s from young tight coconuts and this is the smoothest consistency that I have tasted myself.I have tried to grind up young Thai coconuts at home and I could not get the smooth consistency at home myself. The vanilla flavor is the best flavor compared to the plain coconut flavor. I like this flavor I like the taste I like mixing it with berries. It is a tiny bit grainy but it won’t stop me from buying this again. Yes it is six dollars a jar and yes it will expire on the expiration date it is because of the probiotics that are in here that make it expire.",false
"R1I1VV3YYNL600","B079NBLLRN","","Reviewed in the United States on December 21, 2020","December 21, 2020",1608534000,"Princess Jade",1,"Went bad over three weeks before ""use by"" date","I ordered this in early December, had it delivered, took the cold bag directly from the delivery guy (it did NOT sit on my porch ever). Opened it to try it, not too bad tasting but had a weird lumpy texture. Had about two spoonfuls. Put it in the bottom of the refrigerator (the cold part) for a week while I finished up my other yogurt. Took it out tonight for a snack and it had fermented so badly that it burned my tongue and I had to spit it out. Printed expiration date was 1/13/21 but it had gone bad as of 12/21/20. Except for the two spoonfuls, it was a full tub. Six dollars shot to hell!",false
"R9PD53EUNN84O","B079NBLLRN","","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Louise Cohn",1,"Stinking box of leaking slime.","Stinking box of leaking slime.",true
"R4NZHU8T65GZO","B079NBLLRN","","Reviewed in the United States on July 29, 2021","July 29, 2021",1627538400,"Loyal Whole Foods customer",5,"Yummy new yogurt dairy free","This is my new go-to yogurt. Just love it! On the expensive side but well worth it!",true
"R3QWLRRLK7M3MR","B079NBLLRN","","Reviewed in the United States on July 28, 2021","July 28, 2021",1627452000,"AmazonCustomer123AC",3,"Love flavor not the jar","I would have given this 5 stars but the jar is the worst. There has to be at least a little over a tsp left in the jar that you can’t get out with a spoon. If you use your finger possibly but that is disgusting. I hope they change this jar to make it easier to actually get all of it out. $6 is a lot when you can’t eat the whole thing . The jar can also be more compact and different shape. There is another Brand that doesn’t taste as good but has much better glass jars .",true
"R2IDSTE4ZKQYR","B079NBLLRN","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Shauna ",2,"Wish I could buy in store","It arrived both times leaking. The second shipment is only half full since it leaked so bad even though it was packaged very well.",true
"R37LLH8FA5WXYN","B079NBLLRN","","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"Nikkita",1,"No no no!","Why?! Why was this invented?! It tastes strongly of vinegar. It’s so acidic my tongue still feels it after only half a bite. The best way to describe it is curdled kombucha. Yuck!",true
"R19QZZB1HDCENW","B079NBLLRN","","Reviewed in the United States on July 3, 2021","July 3, 2021",1625292000,"Kat",5,"Really good!","It's really delicious, and filling. Great breakfast snack. My new favorite, since I can't do dairy and nut yogurts.",true
"R34808KD42G9K5","B079NBLLRN","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"CP",5,"Good flavor and healthy","Good flavor and healthy with low sugar",true
"R3UE3XUKZQ7L2Y","B079NBLLRN","","Reviewed in the United States on May 22, 2021","May 22, 2021",1621663200,"Iloveamazon",1,"Pretty awful.","I don’t usually leave bad reviews but this was pretty gross. I love everything about the plain one so much and love vanilla but this one was so off. The texture is clumpy not creamy like the plain one, the vanilla taste is weird, it’s like they add monk fruit or stevia to it but it’s not listed as so.Not a fan at all and would not purchase again. I will continue to just mix vanilla in with the plain.",true
"R33VDRIXJ8HJCI","B079NBLLRN","","Reviewed in the United States on May 20, 2021","May 20, 2021",1621490400,"Amazon Customer",5,"Single greatest nondairy yogurt","As someone allergic to milk, I've run the gamut of nondairy yogurts, almost all of which are some combination of too sweet, mealy textured, and watery thin. It's pricey, but Cocoyo is the single greatest nondairy yogurt I've ever tasted: thick, creamy, tart with fermentation, naturally sweet. (Really, I'm describing yogurt.) I've only ever bought it on sale in supermarkets, but I figured an Amazon review would reach the most people. Enjoy and be well!",false
