"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2T71STWY920SR","B079WV8YY7","","Reviewed in the United States on June 24, 2021","June 24, 2021",1624514400,"Mennu",1,"NOT AS SHOWN","This product arrived UNSEALED in a cheap looking container. No outer seal.No inner seal.The cheap cover was not even tightened and the product spilled out into the ziplock bag. The container was not even half filled. STAY AWAY!",true
"R3AQNBIBSJHDAT","B079WV8YY7","","Reviewed in the United States on May 23, 2021","May 23, 2021",1621749600,"Dori",1,"Doesn’t work","Did not thicken yogurt. Expensive and did not work.",true
"R3GLESL4NFAREJ","B079WV8YY7","","Reviewed in the United States on February 16, 2021","February 16, 2021",1613458800,"Amazon Customer",5,"Works great.","Made yogurt with homemade almond milk, stevia and vanilla added at end. Flavor was very nice.Next time I’ll add a thickener.",true
"R2DGH4066LI624","B079WV8YY7","","Reviewed in the United States on October 19, 2020","October 19, 2020",1603087200,"ANMB",5,"Excelente","Con 1/8 de cdita para 1 lt de leche vegetal da una excelente acidez y sabor",true
"R1P68ZI8GCWT85","B079WV8YY7","","Reviewed in the United States on September 5, 2020","September 5, 2020",1599285600,"Bruce the Goose",5,"fair price","fair price",true
"R2V28VF8C47PWR","B079WV8YY7","","Reviewed in the United States on July 7, 2020","July 7, 2020",1594101600,"eagle eye",5,"Makes great vegan yogurt","Used this with Organic Edensoy Unsweetened Soymilk (high protein).... a little of this starter goes a long way - usually use ⅛ tsp with 2 Qt of soy milk..... 12 hours later great yogurt.I put the whole pot into the fridge to chill for 6-8 hours - thick and tasty",true
"R2MDHESET5RZHC","B079WV8YY7","","Reviewed in the United States on March 14, 2020","March 14, 2020",1584165600,"Charlotte A. Rowe",5,"Best nondaiiry yogurt culture I've found so far.","I get spectacular results with this culture for making soy yogurt.I use organic soy milk that has nothing in it but soybeans and water (I buy Pacific, but there are other brands out there), and I get really nice yogurt. I just warm the milk to 108F (I have a digital thermometer from my breadmaking) then stir in the culture.I pour it into a mason jar, put the lid on, and set it in my furnace closet for about 12 hours, where it stays at about 85 degrees.A yogurt maker probably would work also.Perfect every time, nice flavor.The whey drains off nicely to make a thicker Greek style, too (using a cheesecloth-lined colander).Photo is the latest Greek-style (hung) soy yogurt that is currently in my fridge.",true
"R34IL2SL25KQOE","B079WV8YY7","","Reviewed in the United States on February 14, 2020","February 14, 2020",1581663600,"Loren Woirhaye",5,"yogurt starter","I had great results with Westsoy organic plain soy milk.I could not find unsweetened so it had sugar in it.I bought some micro measuring spoons and used 1/32 tbsp for a quart of soy milk.I'd never made yogurt before so I bought a yogurt thermometer, checked it calibrating in boiling water and devise a system to incubate my yogurt jars.I'm using a heating pad with a flat steel tray on top of it topped with a cardboard box lined with foam.If I put a jar of water in there at 110 degrees the setup will maintain very close to that temperature and never exceeds it.The yogurt thickened up beautifully and developed atart flavor in about 6 hours.It's not as thick as dairy yogurt but I'm not hung up on comparisons.Soy yogurt can be thickened by adding agar, something like tapioca starch, or soy protein isolate if you're looking for a thicker texture.I had some trepidation but I'm pleased at how easy it was to make the yogurt.Reading reviews of yogurt makers it seemed to me a lot of them have reports of getting too hot when measured with a thermometer, or having hot spots.",true
"RL5S4DYGSACGF","B079WV8YY7","","Reviewed in the United States on January 20, 2020","January 20, 2020",1579503600,"Ingrid P.",5,"Great product.","Very easy instructions to follow and the yogurt turned out great.",true
"R2UI42D8ZB56UN","B079WV8YY7","","Reviewed in the United States on May 17, 2019","May 17, 2019",1558072800,"Lynne",5,"Works great!","This stuff is fantastic! I used it to make yogurt with shelf stable Westsoy Unsweetened Plain Soymilk, and it worked great. I used a quart of the soymilk, and a little less than 1/8th teaspoon of this starter. Put the starter in the quart of soymilk, shook it up, poured it into my yogurt maker, and 12 hours later, I had perfect yogurt. Next time I will try using even less, maybe 1/16th tsp.I keep this starter in the fridge to make sure it stays fresh. The bottle is small, but you use such a small amount that the bottle will last a long time. This is the best value I've seen for vegan yogurt starter. Would not hesitate to recommend this.",true
"R1YETVZ5KDQGYV","B079WV8YY7","","Reviewed in the United States on April 8, 2019","April 8, 2019",1554703200,"G. Jones",5,"Great product!","Great product! I fudged and accidentallybought *unsweetened* Ripple pea protein milk so I added a box of coconut milk for the sugars. It worked spectacularly well, and it tastes exactly like Kite brand almond yogurt, which is weird considering there wasn't any almond milk in my mixture.",true
"R2R1AKALH8O9NK","B079WV8YY7","","Reviewed in the United States on February 15, 2019","February 15, 2019",1550214000,"Bundy",5,"Great Starter for yogurt in instant pot","Love this starter for yogurt in my instant pot. Important to refrigerate or it looses its life.",true
"R3CS7D76L1Q1FR","B079WV8YY7","","Reviewed in the United States on November 25, 2018","November 25, 2018",1543129200,"Ana graciela marques",3,"Mas o menos","No he logrado un yoghurt que sirva como esto. No trae instrucciones. Muy poquita cantidad",true
"R34XO65AK6PV8B","B079WV8YY7","","Reviewed in the United States on September 24, 2018","September 24, 2018",1537768800,"Tamera Stephens",5,"Smooth as silk","Worked great. Used 1/16 and soy milk and it was thick and smooth and perfect.",true
"R25GHIUZCGGQD2","B079WV8YY7","","Reviewed in the United States on September 18, 2018","September 18, 2018",1537250400,"Paul E. Hartman",1,"Did not work for me.","Attempted to make Almond Milk Yogurt using home made milk and following a recipe that worked for me previously using store bought almond yogurt as the starter.Used 1/8 of tsp, and this stuff was a complete dud.Did not work at all.Also realize you are getting a tiny amount, ignore the 15 gallon claim.My tiny bottle came about half full.",true
"R1FI46BK7IPUP8","B079WV8YY7","","Reviewed in the United States on September 11, 2018","September 11, 2018",1536645600,"Amazon Customer",3,"EXPENSIVE for what it is...","My review is not for the starter itself but for the quantity you receive from this company. Very little comes in the bottle. I understand “a little goes a long way” but come on, really?I won’t purchase again. The yogurt starter comes in a container the size of a small baby aspirin bottle. The label claims the contents makes up to 15 gallons of vegan yogurt but for what you get for the price it’s just way too expensive for me. I will not be buying this yogurt starter in the future. I’ll spend my money elsewhere. There are several other reputable vegan yogurt starters out there that give you way more bang for your buck.",true
"R36VQG686WNK4R","B079WV8YY7","","Reviewed in the United States on September 8, 2018","September 8, 2018",1536386400,"DC",5,"Makes Great Sweet Soy Yogurt.","Makes the best soy yogurt I have been able to make.It is also the most cost-effective, by far. We have found our best results are with Costco Organic Soy Beverage, porobably because they add a bit of organic sugar to the soy milk.Makes great “cream cheese” spread using a “Yochee” maker.We have also experimented adding the contents of probiotic capsuls and have had wonderful results.The best additive for us has been RenewLife Ultimate Flora Probiotic 30 Billion live cultures.",true
"R12G2DGMRKGK9M","B079WV8YY7","","Reviewed in the United States on August 19, 2018","August 19, 2018",1534658400,"Neil B. Raymond",5,"Excellent results with Almond Milk.","Worked perfect with home made almond milk. Used a few thickeners during the process, and came up with a tangy, rich, full flavored vegan yogurt. Highly recommend this vegan starter.",true
