"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RXE1OZ4WQN7A0","B07C6YLGZB","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"jayn meinhardt",5,"VEGAN and delicious","Love everything from Kite Hill. Wish that they’d bring back their Camembert cheese!How nice to not have to read ingredients knowing that everything from K H is cruelty free",true
"R3KSH8F7ONL37L","B07C6YLGZB","","Reviewed in the United States on April 15, 2021","April 15, 2021",1618466400,"Cassandra L",1,"Ew","Disgusting. I thought the ingredients and nutritional profile looked great so I bought it. I'm a vegan and I really love vegan foods that others might find lacking or unpalatable. I love fermented foods. I can handle a little funk. But this was honestly just gross, almost rancid tasting. I'm baffled by the positive reviews.",true
"RIDGJTDW1P1YP","B07C6YLGZB","","Reviewed in the United States on March 16, 2021","March 16, 2021",1615874400,"Assanuma",1,"Could Not Tolerate The Taste","I'm lactose and so wanted to try a almond yogurt for the first time.Honestly did not like it and could not force myself to eat it.",true
"R1OX9CIANWFK6T","B07C6YLGZB","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Mari",4,"Good","The flavor it's ok",true
"RN0RWVPJXM5WT","B07C6YLGZB","","Reviewed in the United States on March 6, 2021","March 6, 2021",1615014000,"Kri81",5,"Great Dairy Free Greek Yogurt with low sugar","Love that it is low in sugar - hard to find non dairy greek yogurt that is low sugar. Mix with blueberries and granola for a good taste .. add some chia or flaxseed too. Bummed that the past few times WF does not have the larger container or the vanilla. Really hope they are not doing away with this.",false
"R2OYC4I6VKJAHQ","B07C6YLGZB","","Reviewed in the United States on February 27, 2021","February 27, 2021",1614409200,"Amazon Customer",5,"Great taste and great texture","The best tasting and satisfyingly thick yogurt alternative",true
"R3RGYR3XS8UN19","B07C6YLGZB","","Reviewed in the United States on February 23, 2021","February 23, 2021",1614063600,"Lady",2,"Not tasty, has an off flavor","While it's great it's sugar free and non dairy, the taste is somehow very off putting, not palatable. It is slightly bitter or tart, not enough of something. Not yogurt like taste - should be slightly sour, slightly salty, slightly sweet and umami. But definitely nothing bitter.I ended up adding some stevia and vanilla, and monk fruit, and still it was inedible, the bitterness was overpiwering. I tossed it in the trash. Sadly. As I was so excited to try it.The off taste seemed like from too much almond skin I guess. It is night and day compared to other almond based yogurt on Amazon or the lavva plain one. Won't be buying it again.",true
"R2DKS6868VBUNW","B07C6YLGZB","","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Cyndi",5,"Absolutely Wonderful","Great for my vegan sauces",true
"R119A31HIFMYEZ","B07C6YLGZB","","Reviewed in the United States on January 27, 2021","January 27, 2021",1611730800,"Donna Pierotti",5,"Kite Hill is the Best!","Kite Hill makes the best products for dairy free!Delicious taste always!",true
"R32368EYTV7256","B07C6YLGZB","","Reviewed in the United States on August 6, 2020","August 6, 2020",1596693600,"Heather G",5,"Delicious","Delicious yogurt with high protein!",true
"R1CNYL8IDBJ2PX","B07C6YLGZB","","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"Nancy-Sonja",4,"Great sub","Great sub for dairy to use in place of sour cream on hot Mexican foods",true
"R9JU4ACXK8VJR","B07C6YLGZB","","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Enzo",5,"Delicious!","Perfect texture, excellent flavor. I enjoy it with frozen fruit, sage.",false
"RITXL2QQMWHFP","B07C6YLGZB","","Reviewed in the United States on August 26, 2021","August 26, 2021",1629957600,"Rosemary Duckett",5,"Good Product","Almond Greek Yogurt is my favorite and go to.",true
"R2KKQJEJXY73OE","B07C6YLGZB","","Reviewed in the United States on August 23, 2021","August 23, 2021",1629698400,"LC",1,"The worst","I was looking for a non dairy yogurt and decided to try this. Well, I tried and immediately questioned how is this even edible?! I couldn’t even swallow a small spoon of this yogurt that taste and smell like rubber. I felt it lodged in my throat and immediately had to grab a large cup of water to get it down. I know non dairy yogurt won’t come close to the real thing but this is a no. Of course, I threw everything away. Thank goodness I didn’t buy the larger tub to try. Never again!",false
"R18ZLAWKMJ3AXF","B07C6YLGZB","","Reviewed in the United States on August 2, 2021","August 2, 2021",1627884000,"Yuriy_79",5,"Perfect non-dairy yogurt","You get the best live cultures and most important no sugar … it tastes great when you add berries, banana and nut butter or combo of the two.Might make great tzatziki too.",true
"R1PVKO27MB58RD","B07C6YLGZB","","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"AA",1,"Delivered a product that expired 17 days ago","This is a generally good product that is just unreliable to get via Whole Foods prime delivery. I got this in my delivery on July 12, and not only was it not cold packed, but the expiration date on it was June 25. How is that still even on the shelf.",true
"R8IGL5YF2QV39","B07C6YLGZB","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"jeanniecyclone",1,"A bad experience","I don’t know if they were spoiled or if KHis just really awful yogurt, but it smelled like stinky feet and made me sick for two days.",true
"R29KB44E4M05BU","B07C6YLGZB","","Reviewed in the United States on June 9, 2021","June 9, 2021",1623218400,"carri jay",5,"The best yogurt","Fantastic in any sweet or savory recipe that calls for Greek yogurt. Also great in overnight oats mixed with fruit",true
"R3OZNJ0K8URNZI","B07C6YLGZB","","Reviewed in the United States on May 30, 2021","May 30, 2021",1622354400,"WiseShopper",1,"Did not like","Just horrible",true
"R3L35ZNL7HLEZY","B07C6YLGZB","","Reviewed in the United States on April 29, 2021","April 29, 2021",1619676000,"soandso",4,"Great for Keto","This has way fewer carbs than other yogurts. Stir in hemp seeds for an extra vegan keto boost. :)",true
