"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R7LQ8IKAGP4J4","B07CN8Y436","","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Melissa wells",5,"The best","I won't eat any other kind of yogurt. The Madagascar is delicious. Each to his own on flavor. It is bitter but I always put 3 or4 packs of equal it takesthrbitter taste of",true
"RVPQ52W4HRE63","B07CN8Y436","","Reviewed in the United States on July 31, 2021","July 31, 2021",1627711200,"Cat's mom",1,"Perishables need to be insulated properly for food safety","Not properly insulated when I ordered from Whole Foods. I threw this away because it became warm during travel",true
"R2105MS3HO2D8D","B07CN8Y436","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Amazon Customer",5,"Good quality!I love LOW SUGAR.Not sickeningly sweet.","Nice flavor. Versatile. Convenient.",true
"R3BE3G6SLXJDST","B07CN8Y436","","Reviewed in the United States on April 9, 2021","April 9, 2021",1617948000,"Required Name",3,"Don't bother","Unpleasant and sour.",true
"RGHS4Y87505M1","B07CN8Y436","","Reviewed in the United States on March 5, 2021","March 5, 2021",1614927600,"brettson",3,"Good yogurt, perilous expiration dates","Yogurt is good. The expiration dates though are a little too close to purchase. I bought 10 of these and the expiration date was a little over a week from date of delivery.",true
"R94DHV9AK5FKY","B07CN8Y436","","Reviewed in the United States on March 3, 2021","March 3, 2021",1614754800,"Jill Michel",5,"Very good","I eat a yogurt every day",true
"R34WGHPPMR1G45","B07CN8Y436","","Reviewed in the United States on February 11, 2021","February 11, 2021",1613026800,"Laurena white",1,"More flavor","Did not care for",true
"R1N9333D5BH2W3","B07CN8Y436","","Reviewed in the United States on February 6, 2021","February 6, 2021",1612594800,"ssgr",5,"Best flavor","I love this. My favorite flavor.",true
"R31JGBUCI28VKE","B07CN8Y436","","Reviewed in the United States on October 18, 2020","October 18, 2020",1603000800,"Sohel",5,"Less sugar and tasty","Less sugar and tasty",true
"R5499QPYJXETY","B07CN8Y436","","Reviewed in the United States on September 12, 2020","September 12, 2020",1599890400,"Rose Jackson",5,"Delicious","This yogurt feels like I’m indulging in a mousse. Rich and velvety. A must try!",true
"R27B70B1Y0SQD1","B07CN8Y436","","Reviewed in the United States on June 27, 2020","June 27, 2020",1593237600,"WastedSpaceman",5,"Tastes like horchata","Great flavor.Very creamy and smooth.Tastes just like horchata, if you've ever drank that before.",true
"R157JRFA8LW1QJ","B07CN8Y436","","Reviewed in the United States on March 21, 2020","March 21, 2020",1584770400,"Amazon Customer",5,"Great taste","Very good taste. Kids don’t notice a difference and either did my husband.",true
"R356L7CV5Z5FFX","B07CN8Y436","","Reviewed in the United States on March 20, 2020","March 20, 2020",1584684000,"IE",2,"flavor was terrible","Very chemical-tasting vanilla",false
"R3E1PNDZ3OCYCO","B07CN8Y436","","Reviewed in the United States on March 8, 2020","March 8, 2020",1583650800,"Amazon Customer",5,"Best flavor!","Delicious!",true
"R2MTZU9MQIZGK6","B07CN8Y436","","Reviewed in the United States on March 4, 2020","March 4, 2020",1583305200,"June",3,"Won’t buy again!","Just didn’t seem to have enough of the flavor to mix with the yogurt. Yogurt was kinda dry as well. I won’t buy it again.",true
"R1UV6DCR7LVO32","B07CN8Y436","","Reviewed in the United States on February 17, 2020","February 17, 2020",1581922800,"Need slippers",5,"Great taste","Great taste",false
"R1R4W1S0TYEAH8","B07CN8Y436","","Reviewed in the United States on January 11, 2020","January 11, 2020",1578726000,"Rynoctagon",5,"Yum","As soon as it hits your lips, so good.",true
"R2RV0648QAM0GP","B07CN8Y436","","Reviewed in the United States on September 7, 2019","September 7, 2019",1567836000,"Harold Barnhardt",5,"Great taste","Great taste",true
"R2DKQ6LN8VAUW5","B07CN8Y436","","Reviewed in the United States on September 6, 2019","September 6, 2019",1567749600,"Mary Norvell",5,"My favorite flavor","Delicious",true
"R3MPW8ZYI63A78","B07CN8Y436","","Reviewed in the United States on July 8, 2019","July 8, 2019",1562565600,"Barbara B",5,"Delicious product","This product has ruined all other yogurts for me. It’s creamy and delicious. Unfortunately, it’s not getting the store shelf space it needs to become successful, I can’t find this anywhere but Fresh. I’m just enjoying it while I can.",true
