"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R2N9PQXY9FOAMA","B07CRRY9P7","","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Bill",5,"Best yoghurt ever","I used full fat milk, an instant pot with yoghurt setting - Greek style, with the bulk of whey drained out- mixed in some Marionberry jam - it’s truly the best I have ever had. Very tangy, will try 2% milk next- so much better than store bought",true
"R2CO1TPKKZO00D","B07CRRY9P7","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Y",5,"Great Taste...","Just started making our own yogurt and chose Yogourmet 16 Pack Freeze Dried Yogurt Starter to try based on other reviews.We are not disappointed.Easy to make and the taste is great.We made greek yogurt and it turned out wonderfully.We used the Bear Yogurt Maker to process the yogurt.",true
"RBYISHKKBSSNK","B07CRRY9P7","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Janie Bergman",5,"Makes great yogurt","The packets are easily opened. No waste. Yogurt has great consistancy and flavor",true
"R3KFXVRFCUZ43T","B07CRRY9P7","","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"MaryKay",5,"Excellent product","If you’re making yogurt, this is the product you’ll want. It’s excellent.MaryK",true
"R3B3BBX17R1YQ","B07CRRY9P7","","Reviewed in the United States on August 21, 2021","August 21, 2021",1629525600,"Tho Tran",1,"received open box","received open box Please advise",true
"R1HDP8133ZTL18","B07CRRY9P7","","Reviewed in the United States on August 20, 2021","August 20, 2021",1629439200,"Elaine Hughes-Dobles",5,"Excellent product.","My favorite yogurt. Excellent flavor and easy to use. Your can add flavoring and know it is not full of sugar.",true
"R27L8H1VRGHKPY","B07CRRY9P7","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"Danny T.",5,"It works","Makes good yogurt in my yogurt maker with just plain milk and at a reasonable price. You can also set some of you product aside several times for the next batch. Still at this price, just make your next batch whenever you feel like it.",true
"R2G23VBKL2OHQZ","B07CRRY9P7","","Reviewed in the United States on August 18, 2021","August 18, 2021",1629266400,"KinKmg72",5,"Dependable","This starter is dependable. I've used it many years.",true
"R1S74C9UXNVFM2","B07CRRY9P7","","Reviewed in the United States on July 30, 2021","July 30, 2021",1627624800,"R. G.",3,"good","it works",true
"R1MWD0CHK45CNK","B07CRRY9P7","","Reviewed in the United States on April 24, 2021","April 24, 2021",1619244000,"Sam",5,"Makes delicious yoghurt!","Unfortunately, my local market stopped carrying this. So very grateful to find such a great value here!",true
"R2NVS5GRDXSSZ3","B07CRRY9P7","","Reviewed in the United States on March 7, 2021","March 7, 2021",1615100400,"Obsession",1,"Dead cultures","OMG - so much money wasted using this. I purchased this a few months ago along with a yogurt machine. Followed all the instructions exactly as stated and ended up with just watery mix. I wasted gallons of milk thinking maybe the machine is bad or the temperature is not exactly right etc. nothing worked. I returned the yogurt maker. Of course this is non-refundable. It sat in my cabinet. I decided to try again and purchased another yogurt maker with great reviews. Tried again with one of these packets. Just watery mix. This time instead of returning the yogurt maker, I purchased full fat organic plain yogurt and tried it with the new yogurt maker last night(used 4 tbsp of yogurt to 1 quart of cow’s milk). Woke up today to perfect yogurt. So the culprit is this culture. Gallons of milk wasted. And I could have been eating awesome healthy homemade yogurt all this time if not for this.",true
"RD59KDFHCFG63","B07CRRY9P7","","Reviewed in the United States on February 26, 2021","February 26, 2021",1614322800,"Brian",1,"No good for me, dead cultures.","Three times I've tried to use this starter to make yogurt and three times it's turned out horrible. One time a complete watery mess and the other two not edible. I've used an actual fresh plain yogurt several times with great success so I can only assume that these cultures are dead or simply no good. I've followed the directions precisely and used my instant pot twice and stove top once with the same results. When using a live culture yogurt I've had no problems. Your results may vary.",true
"R2B2NEXBZVN57K","B07CRRY9P7","","Reviewed in the United States on February 17, 2021","February 17, 2021",1613545200,"bjorn hansen",4,"Why is it out of stock?","This is the best taste I have ever tried!",true
"R1RAJNM94EWOD3","B07CRRY9P7","","Reviewed in the United States on December 11, 2020","December 11, 2020",1607670000,"idrilla rivendale",5,"love yogurt","i had to use heavy cream because our milk has too much water in it",true
"RKK6H8WF23O0N","B07CRRY9P7","","Reviewed in the United States on October 26, 2020","October 26, 2020",1603692000,"user",1,"Waste of Money","I make yogurt very often; very successful. This is the first time I used this product and couple of times; failed. The final product was little thick compared to the regular yogurt. I wont recommend this product.",true
"R23B4EDTJKH8AY","B07CRRY9P7","","Reviewed in the United States on October 23, 2020","October 23, 2020",1603432800,"parksee",4,"Tastes just like plain greek yogurt!","I use the Suteck yogurt maker (bought on Amazon) which makes around 48 oz each time. I mix in one packet per 1 litre of warm milk as the instructions say. It takes 8 hours for the machine I use and a couple more hours chilling in the fridge. I start making them in the morning so that they're ready by evening. It stays firm and tastes just like plain greek yogurt sold in stores. I've used 10 packets so far and had 100% success rate so far!",true
"R1DX4K1ZNTWPIU","B07CRRY9P7","","Reviewed in the United States on October 17, 2020","October 17, 2020",1602914400,"Subo",5,"Great for the Gut","This works great for GF people with serious gut issues.Specific Carbohydrate Diet recommends this and it really is great.Replenishes good gut flora that is cooked out of regular store bought yogurt, made for mass consumption and held to safety standards.Making your own 24 hr yogurt is a game changer for IBS.",true
"R2Z9AZHECBUOL1","B07CRRY9P7","","Reviewed in the United States on October 1, 2020","October 1, 2020",1601532000,"Solomon C.",3,"Salty final product.","Resulted very salty yogurt. I even added honey before I started, made it even saltier I wonder why.Good success rate though.",true
"R2SR91D3GS02HU","B07CRRY9P7","","Reviewed in the United States on September 6, 2020","September 6, 2020",1599372000,"Amazon Customer",4,"Easy","Easy to use for making homemade yogurt",true
"R17R3PTPTHL03C","B07CRRY9P7","","Reviewed in the United States on August 31, 2020","August 31, 2020",1598853600,"Koko",5,"Works good","It worked good. I'm very happy",true
