"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RDLOKAY4JWCLH","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on January 27, 2021","January 27, 2021",1611730800,"DREHS01",3,"Shipping erratic and major price fluctuations","This product is difficult to get in stock. When I first established the subscribe and save, it was a good deal. The last time I purchased it, the price rose significantly and I missed the window to cancel. This will not happen again as I cancelled my subscription. Poor management of program on this product.",true
"R3QX002FE2CKNT","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on January 7, 2021","January 7, 2021",1610002800,"Ruth Bowens",5,"Excellent","Grandbabies love it!",true
"R3UHGTEWUEIN1Q","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on December 28, 2020","December 28, 2020",1609138800,"Punky",5,"Great cereal","Great if you need emergancy cereal in 24hrs",true
"R26L094T4FCNLC","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on December 1, 2020","December 1, 2020",1606806000,"Richard",5,"Good","Good cereal",true
"R183X61KPOI6UF","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on November 18, 2020","November 18, 2020",1605682800,"DY",5,"Cereal","Fresh",true
"R1QXQ1N1BZLEXQ","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on October 25, 2020","October 25, 2020",1603605600,"B. Morgan",5,"It's delicious cereal!","Cinnamon Toast Crunch.It's delicious and sweet.You already know if you if love it.Great for dinner as well.",true
"RW5T2ZMXU3622","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on August 21, 2020","August 21, 2020",1597989600,"M J H",5,"SUPER SMASHED!!!! WILL NOT BUY AGAIN.","Nothing left to eat but crumbs!)SUPERSMASHED!!!Plus they packed it with my cleaning supplies?!?Thank God the cleaning supplies didn't spill all over.Not impressed.",true
"R22W11YSK0ZNOW","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on August 9, 2020","August 9, 2020",1596952800,"Therealfatimab",5,"My kids love this cereal","My kids love you this cereal",true
"R1WRL7HJ1ARI2T","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"Miche Greg",3,"Product fine, shipping ruined the product","Shipping was awful!The box was shoved in my mailbox and I’m embarrassed to take it to our shared beach house.It looks like it was run over by a truck.",true
"R2AG7BLSDLH9VG","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on July 20, 2020","July 20, 2020",1595224800,"Tiara",5,"best cereal out there.","so yummy! I have like 5 boxes of these!",true
"R169H8P9GAENS","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on August 8, 2021","August 8, 2021",1628402400,"Candace",5,"Good","Good",true
"R336FBD3K7K0UR","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on July 13, 2021","July 13, 2021",1626156000,"Sarahlynn",5,"Yummy","My son's absolute favorite hands down great taste ,the crunchiness combined makes them perfect",true
"R1RC67U92H7W3P","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on July 8, 2021","July 8, 2021",1625724000,"JRII",5,"A family favorite","Tasty",true
"RM0REU9JGYUX8","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on June 1, 2021","June 1, 2021",1622527200,"Edgar Allen Poe",5,"Good Taste","Good Taste",true
"R23COJOZ1L7DUQ","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on May 16, 2021","May 16, 2021",1621144800,"Helena",5,"Will Get More","Flavor ✅ freshness ✅ value for money ✅",true
"R2B36RGC3CQVLE","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on April 14, 2021","April 14, 2021",1618380000,"Amazon Customer",5,"Buy again","Children favorite",true
"R1EJCVZVOS99JT","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on April 3, 2021","April 3, 2021",1617429600,"Glenn",5,"Kids love it!","Kids love this stuff! It's often cheaper on Amazon than in the stores!",true
"R38LBR95KU0SW2","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on March 12, 2021","March 12, 2021",1615532400,"Shell",5,"Great value","My children love these cereal",true
"RM0XPWK3FXR4V","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on February 22, 2021","February 22, 2021",1613977200,"Stephanie M",5,"I do not like doing food reviews....","This cereal Cinnamon Toast Crunch tasted like it should. No complaints.",true
"RRK7H4W4ZRCUE","B07CX3FHMB","B07CX3FHMB","Reviewed in the United States on February 3, 2021","February 3, 2021",1612335600,"Mrgrimmjowx",5,"Good food","Loved it lol",true
