"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"RP152306MLH15","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Marie",5,"Loved it","My son loved it as a snack",true
"R2K37MF3S79BR8","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Miss K",5,"DELICIOUS!","I am fairly certain that I have reviewed this cereal before because I have reordered it a gazillion times. ""Honey Nut Cheerios"" is the #1 brand of Cheerios that are made and it is quite possibly, the #1 breakfast cereal...period!It is simply delicious! It doesn't get soggy unless you let it sit in the bowl forever, (and why would you?) but even then, it's still good and so is the milk after the cereal has been sitting in it.This cereal is great any time of the day or night in my opinion. It is something that I always have in my cupboard.",true
"R71IUELLTGA0K","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Nancy K. Koberg",4,"Good","Tastes good.",true
"R3TUWTDU1FQN2L","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 6, 2021","September 6, 2021",1630908000,"Debra Nichols",5,"Cheerios Honey nut how can you go wrong","Cheerios Honey nut how can you go wrong.And they were shaped like little heartsAwesome!!",true
"R1U4J4NB1B0RZX","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 5, 2021","September 5, 2021",1630821600,"katelyn jacobs",4,"Good, Box Damaged","The packaging could be a bit better, but the cheerios came fresh and still delicious. :)",true
"R2BCRVC3BGU819","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Luckysusu",5,"Heart healthy","Nice size box for great price. Love Cheerios",true
"R3FQH1LLN9I3KY","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 4, 2021","September 4, 2021",1630735200,"Dave",5,"Great Snack & Breakfast","I have eating for years each morning.",true
"R3HQFFSWAX5W0K","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 3, 2021","September 3, 2021",1630648800,"Jo Martin",5,"Favorite cereal","Love the taste. Very fresh",true
"R5HMMVJ5WMDS1","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 1, 2021","September 1, 2021",1630476000,"Amazon Customer",5,"Good deal","Hey I mean it’s the same price as the store and it’s free to ship, why not. I enjoyed it and the cereal was fresh.",true
"R19N7EVWEVGB75","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Judybird",5,"LOVE HONEY NUT CHEERIOS","Great tasting, healthy product, very quick delivery.Thank you.",true
"R1NFPQQGUA9BAK","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 16, 2021","September 16, 2021",1631772000,"Hasiyah",2,"Arrived on a timely fashion","Disappointed cause it arrived with only a three week expiration date.",true
"R1DD3Z07YS3K34","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Wildflower ",5,"Honey nut cheerios","Delicious honey oat cereal. One of my favorites. Very fresh and great value for your money.",true
"R1PWHIAHAY5W0A","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"P F",5,"Very good quality","Good and fresh",true
"R1VEKDRLWPKTFU","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 15, 2021","September 15, 2021",1631685600,"Amy Johnson",4,"Nice","Sent this in a goody box for daughter-in-law",true
"R1QV4GH7A6UUJZ","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"cw",5,"Good buy!","Good price for the huge box and free ship! Cant beat it….plus they are so good !",true
"R2KMORC0UZDNCR","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 14, 2021","September 14, 2021",1631599200,"Ako",5,"The best ever","Im buying it over and oner, nothing like Homey nut cheerios. I like to try others but none came close to this.",true
"R127PIJZ47ST4N","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Amanda Maureen",5,"Love this cereal","Love this cereal. Love it more when it’s dropped off at my front door.",true
"R25RLVSZ3DL63C","B07CZCM4VZ","B07CM8J4NC","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Mary Ann Tuke",5,"Cherry Cherrios","Flavor and crispness were better than the grocery store. Also the money value was much better.",true
"R2WHHJC3J4L2VR","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Arky",5,"One of my favorite cereals and less added sugar is a plus","My favorite flavor of Cheerios.Product arrived timely, undamaged,and was fresh.Great value for money also.",true
"R1LS6X0RDVLILV","B07CZCM4VZ","B07CZCM4VZ","Reviewed in the United States on September 10, 2021","September 10, 2021",1631253600,"jzxdljp2009",5,"nice","nice",true
