"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1NXA85VCFJM5P","B07D3F8NZF","","Reviewed in the United States on September 7, 2021","September 7, 2021",1630994400,"Christine A. George",5,"Honey Nut Cheerios","I absolutely love the price for this great product.",true
"R24RPM1KYBM552","B07D3F8NZF","","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"K.Piash",5,"Nephew and Nieces Loved it","My little nephew and Nieces liked the flavor. They live overseas. After they tasted it, they Absolutely loved it.",true
"R2PHTRJKE05G8Z","B07D3F8NZF","","Reviewed in the United States on August 4, 2021","August 4, 2021",1628056800,"Avonna Hector",5,"Nice","Love this brand",true
"R9V1ADPDTQ9R1","B07D3F8NZF","","Reviewed in the United States on June 15, 2021","June 15, 2021",1623736800,"Felisha coyner",5,"MUCH BIGGER THAN EXPECTED!!","Delicious as usual!!",true
"R1CG6CKTDDBOCN","B07D3F8NZF","","Reviewed in the United States on May 16, 2021","May 16, 2021",1621144800,"i.j. m.",5,"ijm","very tasty for breakfast.",true
"R222DQ7W1UD3I1","B07D3F8NZF","","Reviewed in the United States on January 15, 2021","January 15, 2021",1610694000,"julie marie",5,"Yummmm","Yummy treat with or without milk!",true
"R1FP7V4ECRL03J","B07D3F8NZF","","Reviewed in the United States on November 6, 2020","November 6, 2020",1604646000,"Bo",5,"Honey, get the cereal!","You’ve heard the buzz- this cereal bee good!",true
"R3DU62P7KX33BV","B07D3F8NZF","","Reviewed in the United States on September 25, 2020","September 25, 2020",1601013600,"Roxann Keith",5,"Best place to buy!","I eat this cereal every day. Nothing better.",true
"R7SIGX04DUH4N","B07D3F8NZF","","Reviewed in the United States on September 13, 2020","September 13, 2020",1599976800,"trentj71",5,"5 stars","Nice value",true
"R2386AACKMZPWI","B07D3F8NZF","","Reviewed in the United States on September 3, 2020","September 3, 2020",1599112800,"D C Miresse",5,"Cheerios honey nut","I’ve always love Cheerios and the honey nut makes the flavor even better. The price is great",true
"RUGCRPLEJ88PD","B07D3F8NZF","","Reviewed in the United States on July 11, 2020","July 11, 2020",1594447200,"P2 Avid Reader",5,"WOWZERS this is a BIG family sized box!! a great value!!","Dependable Honey Nut Cheerios brand.Great light flavor, holds up to milk for slow eating kids.I usually add sliced cut up peaches or slices of strawberries to mine.I eat it with almond milk from Amazon Prime Pantry.Price -- huge box, good value $$Flavor -- light flavor, I prefer the touch of sugar in Honey Nut CheeriosMushiness?? -- Holds up well to milk / almond milk for slow kid eating",true
"R2TZ37IZJ99NUT","B07D3F8NZF","","Reviewed in the United States on May 14, 2020","May 14, 2020",1589436000,"Pearlie Burton",5,"They are healthy for you.","I like everything about my Cheerios they was nice and fresh Cheerios.",true
"R1M0HW5KGAXYVS","B07D3F8NZF","","Reviewed in the United States on April 29, 2020","April 29, 2020",1588140000,"Lttle Dove",5,"Delicious","Have eaten Cheerios for years and hope to continue to do so. A healthy product for snacking too.",true
"R3F97UN219V9FJ","B07D3F8NZF","","Reviewed in the United States on April 26, 2020","April 26, 2020",1587880800,"B. A. C. R.",4,"My favorite childhood cereal. Good for when you run out of real food.","Would be five stars if I could teach my kids how to properly open the box.",true
"R2KJD9GQUZJL8N","B07D3F8NZF","","Reviewed in the United States on April 13, 2020","April 13, 2020",1586757600,"wendy jagger",5,"yay cheerios","BIG BOX, BIG FLAVOR.box arrived in good condition...not smushed.:)",true
"RLJVBOX4TSC8C","B07D3F8NZF","","Reviewed in the United States on April 13, 2020","April 13, 2020",1586757600,"Miled Ziadie",5,"Excellent","As expected",true
"R1VUVSWCCEQMYT","B07D3F8NZF","","Reviewed in the United States on March 23, 2020","March 23, 2020",1584943200,"butch2006",5,"nummmy","fresh product, not stale or out of used by date.",true
"R1B7BFQPTFVLU4","B07D3F8NZF","","Reviewed in the United States on March 1, 2020","March 1, 2020",1583046000,"Ceferino Milian",5,"Will repeat","Good taste",true
"R1NN9LZLPXT849","B07D3F8NZF","","Reviewed in the United States on February 28, 2020","February 28, 2020",1582873200,"Karen K Manes",5,"Yummy","Very enjoyable",true
"R3G8TY4ANK3V1","B07D3F8NZF","","Reviewed in the United States on February 19, 2020","February 19, 2020",1582095600,"Mistybluez",5,"😀","😀",true
