"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R3USLBFSAVE8D8","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on July 20, 2021","July 20, 2021",1626760800,"Hilary Nicole Preston",2,"Not impressed","I like the peanut butter ones, the chocolate pb tastes like cardboard and the coconut ones taste awful.. I wouldn’t buy them again.",true
"RG82MRHPQXGXN","B07D7ZYFQD","B01F0FC91M","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"Christina",2,"Lots of sugar","I bought these bars because they were high in protein, organic and I thought low in sugar, wrong.Brown rice syrup is the first ingredient. “Brown rice syrup contains three sugars — maltotriose (52%), maltose (45%), and glucose (3%).However, don’t be fooled by the names. Maltose is just two glucose molecules, while maltotriose is three glucose molecules.Therefore, brown rice syrup acts like 100% glucose inside your body.”—Healthline.com",true
"R2J3VJNQORBIZU","B07D7ZYFQD","B07B9CQFBZ","Reviewed in the United States on July 19, 2021","July 19, 2021",1626674400,"carey mcleod",5,"Delicious","So so so delicious.",true
"R3M65SX479XZ8Q","B07D7ZYFQD","B01F0FC8X6","Reviewed in the United States on July 12, 2021","July 12, 2021",1626069600,"R.L. Carlo",5,"Delicious","Delicious",true
"R4RXEDJVSSOLZ","B07D7ZYFQD","B07NPRJTPB","Reviewed in the United States on July 6, 2021","July 6, 2021",1625551200,"KerrBear",5,"So glad to find them on Amazon!","These bars are SO delicious, and organic. I used to be able to find them in my local stores but haven't lately so I was delighted to find them on Amazon. I hope Clif has not quit making them and that I can continue to get them from Amazon.",true
"R1LT5GV3FTXMTN","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on July 5, 2021","July 5, 2021",1625464800,"Brandon",5,"Thais is what Cliff Bars should have always been from the start","The original bars okay, but let’s be honest…they’re gritty. These are so much tastier. I tried the nut butter variety in the cafe at work one day, and now I’m hooked. I’m back into Cliff Bars again, lol.",false
"RHZV9C4WNF55G","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on July 1, 2021","July 1, 2021",1625119200,"Delana Jamal",5,"Delicious & Nutritious","Delicious & Nutritious",true
"R16UILIX0QKJQH","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on June 30, 2021","June 30, 2021",1625032800,"M",4,"very tasty","Our household really liked these bars",true
"RRBBF3AEG4C2T","B07D7ZYFQD","B07B9CQFBZ","Reviewed in the United States on June 29, 2021","June 29, 2021",1624946400,"Mark Iversen",5,"Prompt deliver","I use these on the go before and after a run.Tasty.",true
"R32LTUP5J2QJWT","B07D7ZYFQD","B07B9CQFBZ","Reviewed in the United States on June 28, 2021","June 28, 2021",1624860000,"sarah taylor",4,"Avoid ordering during hot weather","Love this bar but due to extreme heat the middle contents of the bars were compromised during transport. Still okay, just a bit off since they melted and reformed god knows how many times.",true
"RESG4P8VQRE77","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on September 17, 2021","September 17, 2021",1631858400,"Sarah Rauers",5,"Unsure why you'd ever buy singles from the store","We are long-time Clif bar fans, and these are our favorite yet.My partner is an ICU nurse and this is his favorite snack for long shifts.So nice to be able to buy them in bulk instead of spending double to buy them individually.Wish they'd roll out one with sunflower seed butter so the kids could take them to school as well!!",true
"R3OIOJG39ZVJA5","B07D7ZYFQD","B01F0FC91M","Reviewed in the United States on September 11, 2021","September 11, 2021",1631340000,"Laura",5,"I love these!","Delicious",true
"R1OMMPTXO496NT","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on August 31, 2021","August 31, 2021",1630389600,"Neroyer",5,"So nice for hiking/camping","The coconut is the absolute best, but they're all good.Super filling and great for long hikes or overnight camping. Lightweight but tons of nutrients in a tiny package.",true
"R3A0ANOJ6SF4UC","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on August 28, 2021","August 28, 2021",1630130400,"T. Goodman",3,"Not so good!!!","The taste of each kind was a little overpowering. The cost is too much.",true
"R1DBMXIU3TJYGB","B07D7ZYFQD","B07B9CQFBZ","Reviewed in the United States on August 22, 2021","August 22, 2021",1629612000,"RM",5,"Delicious Snack","Great morning or afternoon snack. These bars really fill me up.Great as a pick up and go bar gift in between meals.",true
"R1CK89ME9UKCO1","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on August 19, 2021","August 19, 2021",1629352800,"Mary Lou Reid",2,"Old & Stale.DO NOT BUY!","I warned you...",true
"RP87GMSAJYSEQ","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on August 16, 2021","August 16, 2021",1629093600,"MaddieTheMermaid",5,"Delicious","I keep these in my office for when I forget breakfast. They are perfect and delicious. I like having flavor options every day.",true
"RZ9J23L4WJ0AG","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on August 9, 2021","August 9, 2021",1628488800,"DebbieC",5,"Why can't I find the Tart Cherry anymore?","LOVE the Tart Cherry Nut Butter bars.Also Coconut Almond is good.I can't find the Tart Cherry or the Maple Almond anymore.Where are they?Peanuts and I do not agree!",false
"R1AX1VIGA17HB6","B07D7ZYFQD","B07D7ZYFQD","Reviewed in the United States on July 27, 2021","July 27, 2021",1627365600,"Gabriel",5,"As advertised","Taste good",true
"R1ILYKOM8NSQXG","B07D7ZYFQD","B07B9CQFBZ","Reviewed in the United States on July 23, 2021","July 23, 2021",1627020000,"Suzanne Schlacks",5,"Tasty with a surprise creamy center!","So good! The creamy cashew butter center is such a nice treat and a change to the usual dry granola feel. Definitely my new favorite.",true
