"id","asin.original","asin.variant","review_data","date.date","date.unix","name","rating","title","review","verified_purchase"
"R1XH5W5BA8EW4X","B07DWFVNZB","","Reviewed in the United States on July 22, 2021","July 22, 2021",1626933600,"Aly",5,"Yummy","Tastes great thick creamy and smooth I made smoothies with it and it was perfect.",true
"R284D2LCED441L","B07DWFVNZB","","Reviewed in the United States on July 17, 2021","July 17, 2021",1626501600,"Christine Nardello",5,"Yogurt","Love this for breakfast",true
"R8KFTHM7VBMNY","B07DWFVNZB","","Reviewed in the United States on June 19, 2021","June 19, 2021",1624082400,"Nirmala D Singh",5,"It's not as thick as greek yogurt, my preference for parfaits.","A bit sweet.",true
"R453VAQYAVRYN","B07DWFVNZB","","Reviewed in the United States on June 12, 2021","June 12, 2021",1623477600,"Anna Mack",5,"pretty darn good","I normally buy a whole milk whole fat Greek style yogurt but I thought I'd give this a try; first off it's a good value for the wonderful taste and I wonder if I strained it if it would work, not that it's running but it is a little on the thin side but very good flavor",true
"RS2BJT51G194D","B07DWFVNZB","","Reviewed in the United States on June 8, 2021","June 8, 2021",1623132000,"Crazy Aunt Mary",5,"A great tasting, organic vanilla yogurt at a great price.","Good taste. Value priced. Always reliable quality.",true
"R12NV0QBPGPIE0","B07DWFVNZB","","Reviewed in the United States on April 22, 2021","April 22, 2021",1619071200,"Sandra L. Larsen",5,"Great any hour","Good, nutrition, exce.lent fla or & consistancy",true
"R28YWUZNIEKZ0H","B07DWFVNZB","","Reviewed in the United States on March 17, 2021","March 17, 2021",1615960800,"Sylwia Oulad Daoud",5,"Delicious Vanilla organic yogurt at the best price","Amazing vanilla flavor organic yogurt . Will keep on buying it for my family",true
"R9P8SL9QGNIOK","B07DWFVNZB","","Reviewed in the United States on February 20, 2021","February 20, 2021",1613804400,"Bookish Keeper",3,"Too sweet","This is a good yogurt, if you like things overly sweetened.The texture is a little too slick.Just not to my liking.Back to Siggi’s!",true
"R2U8Y6ONGX256Q","B07DWFVNZB","","Reviewed in the United States on February 7, 2021","February 7, 2021",1612681200,"Amazon Customer",5,"Great!","Satisfied customer!",true
"R3PAZH3FULO79M","B07DWFVNZB","","Reviewed in the United States on January 14, 2021","January 14, 2021",1610607600,"Mama Teresa",4,"Pretty good...not our favorite","This yogurt is pretty good, but we prefer more natural yogurts that do not have ""natural flavors"" and are more creamy than this one is. We're willing to pay more for the better quality. But this product does taste really good, and it's a good price for what you get.",true
"RGJ77HZEN8PDU","B07DWFVNZB","","Reviewed in the United States on December 31, 2020","December 31, 2020",1609398000,"Rc Pch",3,"By yoplait yogurt instead","Spend the extra money and buy yoplait",true
"R1RVZKXLI1YI48","B07DWFVNZB","","Reviewed in the United States on December 11, 2020","December 11, 2020",1607670000,"Vanessa East",5,"It was gone so fast","Not because the container is small, but because it was very yummy, it disappeared quickly.",true
"R1SKV144LL3R3E","B07DWFVNZB","","Reviewed in the United States on September 29, 2020","September 29, 2020",1601359200,"Shanique Coombs",5,"Excellent product","Creamy and thick!!",true
"R385IG89Z4T1U5","B07DWFVNZB","","Reviewed in the United States on September 17, 2020","September 17, 2020",1600322400,"CatMom",4,"Great yogurt!","I try to eat some yogurt every day, & I love this so it's not a chore.",true
"R1XNO59G3QBU4L","B07DWFVNZB","","Reviewed in the United States on September 14, 2020","September 14, 2020",1600063200,"N. M. Moore",5,"Tastes great","Parfaits are a must with this yogurt!",true
"R3LBI4RR83O1O5","B07DWFVNZB","","Reviewed in the United States on August 24, 2020","August 24, 2020",1598248800,"Jean Petty",5,"Good","Actually the last order I got was not good as my previous orders. It was horribly spoiled. I’m hesitant to buy this item again.",true
"R2MWJE181CYEPA","B07DWFVNZB","","Reviewed in the United States on August 20, 2020","August 20, 2020",1597903200,"sofia flores",5,"Creamy","Not too thick. One of the best yogurts I've tasted",true
"R2FXO2NV1LQH1K","B07DWFVNZB","","Reviewed in the United States on July 22, 2020","July 22, 2020",1595397600,"Family of 4",3,"Not great but will buy again.","Runny, texture is off but flavor is amazing.",true
"R12OXECP4G8366","B07DWFVNZB","","Reviewed in the United States on July 6, 2020","July 6, 2020",1594015200,"The Rafs",5,"Excellent yogurt","Superb yogurt creamy and delicious",true
"R1WPLKQ9O20NZ9","B07DWFVNZB","","Reviewed in the United States on June 27, 2020","June 27, 2020",1593237600,"Lore",5,"Delicious","My family's favorite! We love it. This is the only yogurt that goes quickly at our house.",false
